,Pmin
0,1007.56375
1,1006.63875
2,1004.27
3,1004.523125
4,1005.93375
5,1005.23625
6,1004.009375
7,1005.28125
8,1005.029375
9,1003.803125
10,1001.5575
11,1001.93875
12,1003.26
13,1001.859375
14,1000.176875
15,1000.151875
16,1001.226875
17,999.9975
18,998.3225
19,998.2875
20,997.26125
21,995.96125
22,993.865
23,993.54875
24,994.819375
25,993.908125
26,992.10875
27,991.9
28,991.823125
29,991.065625
30,989.771875
31,989.649375
32,988.785625
33,987.23125
34,983.83875
35,982.74625
36,984.0275
37,986.54375
38,989.869375
39,991.55875
40,992.14375
41,993.435
42,991.560625
43,990.951875
44,991.880625
45,991.80875
46,989.651875
47,989.225
48,990.46875
49,990.860625
50,989.20875
51,988.591875
52,990.451875
53,991.845625
54,989.975
55,989.1625
56,990.88625
57,992.313125
58,992.60375
59,992.405625
60,994.368125
61,997.458125
62,999.085625
63,998.840625
64,1001.078125
65,1003.115625
66,1002.696875
67,1002.250625
68,1004.456875
69,1005.75875
70,1004.23125
71,1003.859375
72,1006.41
