,Pmin
0,1008.783125
1,1006.049375
2,1006.0375
3,1008.734375
4,1008.4975
5,1006.7925
6,1006.94
7,1009.174375
8,1008.549375
9,1006.400625
10,1006.041875
11,1008.019375
12,1007.834375
13,1005.5725
14,1006.431875
15,1007.6975
16,1006.428125
17,1003.295625
18,1002.989375
19,1004.62875
20,1004.659375
21,1002.455
22,1001.665625
23,1002.835625
24,1002.988125
25,999.878125
26,1000.63625
27,1001.9875
28,1002.604375
29,1001.1675
30,1001.56
31,1003.195625
32,1003.46
33,1000.97375
34,1000.42375
35,1001.820625
36,1002.3425
37,1000.82375
38,1000.6225
39,1002.3925
40,1003.13875
41,1000.749375
42,1000.49875
43,1002.3175
44,1003.128125
45,1001.846875
46,1001.63625
47,1003.54875
48,1004.139375
49,1002.23625
50,1001.755
51,1004.08
52,1004.143125
53,1002.841875
54,1001.268125
55,1000.47375
56,999.68875
57,998.32375
58,998.784375
59,1000.86875
60,1002.1275
61,1001.548125
62,1000.845625
63,1001.62125
64,1002.769375
65,1000.045625
66,1000.25875
67,1001.923125
68,1002.63125
69,1001.6025
70,1000.736875
71,1002.87625
72,1003.76625
73,1000.8975
74,1000.869375
75,1001.608125
76,1002.174375
77,1001.413125
78,1002.49125
79,1005.5375
80,1006.248125
81,1003.964375
82,1004.645
83,1007.06125
84,1007.25875
85,1006.589375
86,1006.89375
87,1009.359375
88,1009.908125
89,1008.0275
90,1008.675
91,1011.024375
92,1010.858125
93,1009.8825
94,1009.61625
95,1011.724375
96,1011.7025
97,1008.90625
98,1009.211875
99,1011.33625
100,1011.991875
101,1010.040625
102,1010.241875
103,1012.023125
104,1011.443125
105,1009.11625
106,1009.275
107,1011.270625
108,1011.425625
109,1009.4375
110,1009.694375
