,tot_Prec_max
0,16.847610473632812
1,10.462760925292969
2,8.381843566894531
3,23.283004760742188
4,23.56719970703125
5,17.080307006835938
6,7.6885223388671875
7,20.958900451660156
8,11.46554946899414
9,8.209228515625
10,8.136749267578125
11,7.198333740234375
12,6.184577941894531
13,5.134105682373047
14,6.579875946044922
15,7.485866546630859
16,8.56161117553711
17,9.156227111816406
18,9.890556335449219
19,10.07080078125
20,7.374763488769531
21,6.660938262939453
22,7.945060729980469
23,9.350299835205078
24,14.731884002685547
25,16.70074462890625
26,13.521671295166016
27,20.880699157714844
28,19.797801971435547
29,18.38064193725586
30,18.268585205078125
31,11.24429702758789
32,16.53003692626953
33,12.087821960449219
34,12.883186340332031
35,18.45550537109375
36,15.065193176269531
37,18.33343505859375
38,13.525009155273438
39,16.239166259765625
40,10.451316833496094
41,11.83462142944336
42,9.576797485351562
43,19.193172454833984
44,11.111736297607422
45,11.014938354492188
46,16.249656677246094
47,24.053573608398438
48,26.210784912109375
49,27.451515197753906
50,16.145706176757812
51,36.90910339355469
52,20.492076873779297
53,26.677608489990234
54,27.257919311523438
55,29.295921325683594
56,21.294593811035156
57,22.134780883789062
58,25.484561920166016
59,24.58667755126953
60,25.76446533203125
61,30.72357177734375
62,25.14934539794922
63,29.53338623046875
64,26.846885681152344
65,25.214195251464844
66,25.67434310913086
67,29.28638458251953
68,26.218891143798828
69,36.94725036621094
70,24.300575256347656
71,17.278194427490234
72,19.334793090820312
73,17.91667938232422
74,21.015167236328125
75,22.79186248779297
76,25.382041931152344
77,22.5830078125
78,15.509605407714844
79,12.723922729492188
80,10.156631469726562
81,13.350486755371094
82,12.447834014892578
83,8.513927459716797
84,6.453514099121094
85,7.964134216308594
86,5.068302154541016
87,4.654407501220703
88,4.807949066162109
89,5.94329833984375
90,4.5871734619140625
91,8.724212646484375
92,5.4531097412109375
93,3.258228302001953
94,7.537841796875
95,10.023117065429688
96,11.837959289550781
