,Prec_Intg
0,188.36185336112976
1,202.49774679541588
2,229.89418357610703
3,279.7984890639782
4,322.12797552347183
5,286.8260256946087
6,290.6336076557636
7,291.3108840584755
8,254.00329381227493
9,252.31236591935158
10,271.79278433322906
11,299.5235286653042
12,289.5001508295536
13,266.4112485945225
14,268.7978558242321
15,319.9572488665581
16,251.18345394730568
17,210.97464486956596
18,205.83055913448334
19,261.8930675089359
20,320.3551843762398
21,302.7605824172497
22,317.8090415894985
23,360.27679219841957
24,241.74334481358528
25,229.20118644833565
26,283.1573225557804
27,482.11438581347466
28,541.8989434838295
29,504.29098308086395
30,449.00454580783844
31,476.19298100471497
32,308.69096517562866
33,307.88928270339966
34,362.29096353054047
35,453.54245230555534
36,431.5093159675598
37,379.8220492899418
38,374.533012509346
39,421.1514815688133
40,371.60463631153107
41,341.5708616375923
42,337.48380839824677
