,tot_Prec_Intg
0,632.7684223651886
1,927.9928356409073
2,775.0474661588669
3,669.9201464653015
4,615.507960319519
5,794.6590334177017
6,576.5585601329803
7,524.0507423877716
8,666.7051464319229
9,874.6758103370667
10,710.720494389534
11,422.0066964626312
12,398.5903412103653
13,630.4598599672318
14,511.4273726940155
15,363.2888197898865
16,396.31903171539307
17,795.0115203857422
18,810.0990951061249
19,697.4431127309799
20,643.1432813405991
21,909.796878695488
22,645.1790779829025
23,558.1924319267273
24,500.3818869590759
25,544.6858704090118
26,404.9326479434967
27,476.5810817480087
28,327.7561813592911
29,230.29550909996033
30,241.75047874450684
31,478.1749099493027
32,609.632134437561
33,473.34663569927216
34,448.51794838905334
35,472.25482761859894
36,556.5569549798965
37,594.0008163452148
38,564.7540837526321
39,492.8508400917053
40,433.44028294086456
41,307.77059495449066
42,383.15966725349426
43,312.9264712333679
44,206.03418350219727
45,166.43710434436798
46,240.20835757255554
