,Pmin
0,997.8375
1,999.53125
2,999.1625
3,996.365
4,995.906875
5,997.335625
6,996.15375
7,993.21
8,993.960625
9,995.4575
10,994.00875
11,990.16
12,990.17375
13,991.373125
14,989.519375
15,986.605625
16,987.453125
17,989.61875
18,989.7775
19,987.386875
20,989.193125
21,991.523125
22,991.358125
23,989.67
24,989.65875
25,991.533125
26,990.3175
27,988.4425
28,990.545625
29,991.7525
30,989.830625
31,986.089375
32,985.871875
33,987.155625
34,986.943125
35,987.058125
36,988.944375
37,993.44375
38,995.456875
39,996.09375
40,998.008125
