,tot_Prec_max
0,21.689891815185547
1,7.9936981201171875
2,14.613151550292969
3,40.706634521484375
4,12.960433959960938
5,19.718170166015625
6,22.846221923828125
7,10.24770736694336
8,10.709762573242188
9,10.198593139648438
10,14.358997344970703
11,9.687423706054688
12,8.936882019042969
13,8.820533752441406
14,7.691860198974609
15,16.96300506591797
16,14.901161193847656
17,14.019489288330078
18,10.074615478515625
19,8.709430694580078
20,7.140159606933594
21,6.1187744140625
22,6.013393402099609
23,7.788181304931641
24,6.901264190673828
25,6.7882537841796875
26,7.6465606689453125
27,12.325286865234375
28,9.707450866699219
29,11.519432067871094
30,12.233734130859375
31,19.423484802246094
32,18.900394439697266
33,12.595176696777344
34,12.949466705322266
35,10.642051696777344
36,7.1201324462890625
37,10.61248779296875
38,7.233619689941406
39,19.92654800415039
40,15.698432922363281
