,Pmin
0,1002.376875
1,1004.495625
2,1006.045
3,1004.814375
4,1003.4375
5,1004.6875
6,1006.916875
7,1004.40875
8,1003.559375
9,1004.71625
10,1006.1075
11,1005.886875
12,1004.441875
13,1005.4975
14,1006.204375
15,1004.640625
16,1002.523125
17,1003.41
18,1005.000625
19,1004.084375
20,1001.9875
21,999.34875
22,1003.489375
23,1001.72
24,998.333125
25,998.273125
26,1000.445625
27,998.498125
28,995.955625
29,996.615625
30,999.06
31,997.1
32,994.531875
33,995.3225
34,998.535
35,998.048125
36,995.875
37,996.199375
38,999.1575
39,996.285
40,992.804375
41,991.9525
42,993.451875
43,991.70875
44,989.441875
45,989.948125
46,991.094375
47,989.7375
48,988.4075
49,989.02875
50,990.2375
51,989.49625
52,987.419375
53,988.581875
54,987.91125
55,987.911875
56,985.885625
57,987.715625
58,989.046875
59,987.69875
60,986.613125
61,988.079375
62,992.91375
63,989.87375
64,987.079375
65,988.846875
66,996.570625
67,996.30375
68,995.39125
69,996.28
70,999.591875
71,997.9575
72,996.535625
73,997.360625
74,998.08375
75,997.89125
76,997.355625
77,999.124375
78,999.0225
79,997.891875
80,997.75375
81,998.963125
82,1000.39125
