,tot_Prec_max
0,7.373809814453125
1,7.256031036376953
2,8.137226104736328
3,7.002830505371094
4,8.95547866821289
5,17.216205596923828
6,22.43328094482422
7,13.849735260009766
8,13.019084930419922
9,11.249065399169922
10,10.589599609375
11,15.658378601074219
12,14.946937561035156
13,14.611244201660156
14,19.947528839111328
15,23.245811462402344
16,21.411418914794922
17,23.772239685058594
18,16.20197296142578
19,23.489952087402344
20,22.470474243164062
21,31.538009643554688
22,33.33282470703125
23,31.747817993164062
24,23.863792419433594
25,17.869949340820312
26,14.561653137207031
27,17.490863800048828
28,18.620014190673828
29,18.61715316772461
30,24.69491958618164
31,25.991439819335938
32,23.01931381225586
33,25.379657745361328
34,15.832901000976562
35,10.438919067382812
36,6.9427490234375
37,14.416694641113281
38,22.664546966552734
39,28.21207046508789
40,25.513172149658203
41,14.09769058227539
42,8.53109359741211
43,8.794784545898438
44,9.624958038330078
45,11.574745178222656
46,16.163349151611328
47,17.303466796875
48,20.518779754638672
