,Prec_Intg
0,275.5923382937908
1,283.1117808818817
2,334.3414142727852
3,404.5904241502285
4,326.59586519002914
5,263.2947638630867
6,258.564967662096
7,465.584397315979
8,480.4592952132225
9,400.49683302640915
10,300.6397746503353
11,426.6682453453541
12,321.71597704291344
13,285.8973294496536
14,303.0971437692642
15,458.7661288678646
16,416.16758331656456
17,375.09841844439507
18,366.9082000851631
19,405.9513285756111
20,314.3543750047684
21,245.9995448589325
22,209.95723083615303
23,299.2372028529644
24,302.31770128011703
25,310.98848208785057
26,303.11599373817444
27,349.50755536556244
28,233.65026339888573
29,155.39802610874176
30,178.7877269089222
31,227.77697071433067
32,220.3364111483097
33,177.57076770067215
34,151.65338292717934
35,191.09003245830536
36,188.8721063733101
37,164.23914581537247
38,150.73638409376144
39,170.64884305000305
40,198.3538269996643
41,194.8346570134163
42,176.56052485108376
43,192.826297134161
44,176.68379470705986
45,153.05114910006523
46,152.46739611029625
47,256.2188170850277
48,304.21555042266846
49,288.42100873589516
50,228.45881059765816
51,219.0067060291767
52,217.5336331129074
53,195.11114805936813
54,143.62171292304993
55,135.92783361673355
56,151.58971771597862
57,148.2132449746132
58,136.71588152647018
59,109.69586670398712
60,72.01699540019035
61,31.798742711544037
62,27.69654616713524
63,44.245123863220215
64,49.997325986623764
65,32.5111486017704
66,20.602401345968246
67,20.95036208629608
68,18.580202013254166
69,13.94743099808693
70,13.637840747833252
71,22.77171239256859
72,32.25242719054222
73,33.76821056008339
74,31.341277062892914
