,Pmin
0,1008.059375
1,1005.090625
2,1007.315
3,1009.2925
4,1008.52
5,1006.350625
6,1005.996875
7,1007.369375
8,1006.1175
9,1003.625
10,1004.946875
11,1006.570625
12,1005.628125
13,1003.93375
14,1002.823125
15,1004.49875
16,1003.02875
17,998.10125
18,997.945
19,999.04
20,998.053125
21,995.998125
22,996.096875
23,997.179375
24,994.06625
25,991.188125
26,993.493125
27,995.750625
28,995.778125
29,994.06625
30,996.826875
31,1000.12875
32,1000.32125
33,998.67125
34,1002.283125
35,1005.44125
36,1006.735625
37,1005.770625
38,1007.07125
39,1009.68875
40,1009.718125
41,1007.885625
42,1008.161875
