,tot_Prec_Intg
0,827.2326737642288
1,685.4275614023209
2,811.3361150026321
3,873.6173808574677
4,863.8162910938263
5,1477.1024137735367
6,1308.8013976812363
7,1238.4561449289322
8,1144.7087675333023
9,1471.6385304927826
10,1354.5452058315277
11,1258.6146593093872
12,1087.7130925655365
13,1465.597078204155
14,1367.1845197677612
15,1366.7678087949753
16,1496.1955696344376
17,1848.556473851204
18,1742.01138317585
19,1309.9447637796402
20,1007.4178129434586
21,843.6440676450729
22,764.9165391921997
23,793.1489497423172
24,928.5028278827667
25,1103.307604789734
26,932.2667866945267
27,740.2406632900238
28,608.0394983291626
29,752.9600709676743
30,775.211751461029
31,571.4116990566254
32,352.05721855163574
33,311.2933039665222
34,309.00418758392334
35,350.3786027431488
36,484.69409346580505
37,562.6179277896881
38,654.9188494682312
39,722.791850566864
40,767.7096128463745
41,690.1933252811432
42,596.873015165329
43,342.0020639896393
44,283.95019471645355
45,305.69784343242645
46,362.4662011861801
47,321.5378522872925
48,252.40972638130188
49,419.22494769096375
50,402.30318903923035
51,353.059321641922
52,332.3889523744583
53,345.7518666982651
54,384.2269629240036
55,393.26585829257965
56,400.3782570362091
57,257.238894701004
58,249.5938539505005
59,219.0924435853958
60,193.94755363464355
61,129.34081256389618
62,81.52514696121216
63,45.9560751914978
64,73.20016622543335
65,89.49242532253265
66,139.24755156040192
