,w10max
0,10.053400039672852
1,10.068488121032715
2,10.920647621154785
3,14.840230941772461
4,17.055763244628906
5,15.680521011352539
6,13.678037643432617
7,14.108735084533691
8,13.186339378356934
9,13.804166793823242
10,14.104547500610352
11,14.540214538574219
12,13.597403526306152
13,13.923601150512695
14,15.909077644348145
15,16.857362747192383
16,18.269567489624023
17,17.928743362426758
18,20.596895217895508
19,20.488115310668945
20,19.877361297607422
21,19.746105194091797
22,20.554433822631836
23,20.215042114257812
24,19.91025733947754
25,18.79399299621582
26,18.608003616333008
27,19.81126594543457
28,19.30564308166504
29,18.647634506225586
30,17.338869094848633
31,19.12347984313965
32,20.072717666625977
33,20.57841682434082
34,20.300424575805664
35,20.633146286010742
36,20.925195693969727
37,20.948606491088867
38,20.97609519958496
39,21.477249145507812
40,20.753129959106445
41,21.58056640625
42,17.753620147705078
43,18.53769302368164
44,18.54914665222168
45,17.338518142700195
46,17.7032527923584
47,17.092626571655273
48,16.61905288696289
49,16.238771438598633
50,14.590144157409668
51,13.786314964294434
52,12.842669486999512
53,12.629817962646484
54,12.930989265441895
55,13.103655815124512
56,13.092010498046875
57,12.87545108795166
58,17.285303115844727
