,w10max
0,13.242209434509277
1,14.061126708984375
2,15.274747848510742
3,13.716768264770508
4,13.975719451904297
5,17.30017852783203
6,18.241474151611328
7,18.40070152282715
8,16.7276668548584
9,18.555166244506836
10,16.832347869873047
11,15.720375061035156
12,15.430286407470703
13,17.323726654052734
14,18.578655242919922
15,19.78438377380371
16,15.200376510620117
17,15.601810455322266
18,16.568387985229492
19,16.572795867919922
20,15.380005836486816
21,17.48587989807129
22,18.518285751342773
23,20.027881622314453
24,18.4085693359375
25,17.470491409301758
26,17.202510833740234
27,18.123788833618164
28,18.557809829711914
29,21.295339584350586
30,21.7359619140625
31,22.570777893066406
32,22.563053131103516
33,22.55354881286621
34,23.749649047851562
35,24.93110466003418
36,25.13593292236328
37,25.271602630615234
38,23.427955627441406
39,21.760717391967773
40,20.816755294799805
41,18.974573135375977
42,18.811260223388672
43,17.8369083404541
44,17.23050880432129
45,16.58564567565918
46,18.454862594604492
47,19.243513107299805
48,17.597097396850586
49,17.851476669311523
50,18.880048751831055
51,19.476261138916016
52,18.31092643737793
53,19.02393341064453
54,19.494619369506836
55,19.817840576171875
