,out_div100,out_div200,out_div250,out_div300,out_div400,out_div500,out_eqt1000,out_eqt200,out_eqt250,out_eqt300,out_eqt400,out_eqt500,out_eqt600,out_eqt700,out_eqt850,out_eqt925,out_sh850_200,out_sh850_250,out_sh925_200,out_sh925_250,out_ws10,out_wstrss10
0,1.2119293519249056e-05,9.462843203694703e-06,4.692273521107627e-06,2.4411516279152555e-06,-3.2140152712767516e-06,-2.7255368505138924e-06,334.9185781835026,354.8917330191838,352.1243862452843,349.43457231482034,342.325967986554,335.9528489409641,331.3277090792834,332.5991242357309,328.1902920813976,327.15720722784147,15.378985917655543,12.808547697974856,15.629308327251882,13.007386922724235,6.70996256117396,1.0467541597448329
1,1.3695154652696579e-05,8.708657726903209e-06,2.945218907521192e-06,-2.2865318067185245e-07,-5.141193755041814e-06,-3.216440933560827e-06,334.47266296545666,354.3729047695796,351.85250898996986,349.3404992580414,342.1944439490636,335.8225601196289,331.2953652938207,332.2490660985311,328.24859329859413,327.153045463562,15.134726990332517,12.565613312580778,15.542259231411542,13.133261259404632,7.079040446598083,1.1043303100324313
2,1.365383755971182e-05,9.93340758463479e-06,3.7190556320151302e-06,-2.81961338887557e-07,-4.416394188896814e-06,-2.9041238223009373e-06,333.508707537196,353.8553447090244,351.49850095851787,349.0952827960129,342.0074576381826,335.620294626323,331.113171945469,331.7474106911307,328.0315849019284,327.05295386255034,15.43482195793485,12.372073210911106,16.06872082821623,13.298582066035989,7.280230507111617,1.1357159586483225
3,1.3166301846426603e-05,9.957229454747701e-06,5.303445076172003e-06,9.446461443919872e-07,-2.9247392131028933e-06,-2.937006138675642e-06,333.13005101680756,353.4435733238856,351.09640526771545,348.6743079185486,341.71754380861915,335.5636584043503,330.96617294152577,331.68426077365876,328.0561369498571,326.9028810580572,15.466952182678506,12.009792670339811,16.12530660778284,13.019783724817293,7.305307276081294,1.1396279351984655
4,1.1573634907742531e-05,8.693739215172475e-06,5.568571179863086e-06,3.5467407546270887e-06,-3.4250903772915964e-06,-3.534152814255314e-06,332.50506322710345,353.8142317934155,351.1791380490505,348.6913684116854,342.0283711619397,335.4352943926926,330.96257945808634,332.73644934848136,327.9433875024566,326.18881288900417,17.85571978614507,14.323056380917546,18.1174395537599,14.879654661346521,7.462124043557777,1.1640913503430976
5,8.954217352111794e-06,6.329477802056686e-06,4.901251464964253e-06,3.8606292878917935e-06,-3.5390973380286403e-06,-1.0788712808728132e-06,332.73599396546683,353.7687083005905,351.0297519127528,348.622092294693,341.7416855971018,335.18145903746284,330.5415386120478,332.19891107082367,327.72147207260133,326.0815117518107,18.13908029939436,14.166277215870407,18.38018133287551,14.672038223765169,7.460736290223819,1.1638748617631791
6,8.169080757669533e-06,5.756328275434199e-06,4.463097836279277e-06,3.0016791453517466e-06,-3.3781477131109017e-06,4.752399150488353e-08,333.16735597451526,354.11421510378517,351.35058975219727,348.8560313542684,341.82706410884856,335.23695437908174,330.5998754898707,331.84835476875304,327.88110811710357,326.42474132378896,17.646018181236773,14.15421641980453,18.097152724462408,14.781327769804436,7.75055218868268,1.2090861407409343
7,8.282885986903947e-06,5.9005644992581045e-06,2.9051264856894363e-06,2.7295015726119e-06,-2.8477724500724593e-06,6.382333899088155e-07,334.16795159975686,354.62346750100454,351.8233319362005,349.21762667497,342.0183696190516,335.1729934136073,330.8835055351257,332.0548952817917,328.54645727475486,327.25668834845226,17.496579177700916,14.241360264876857,18.01888759951107,14.73277153268767,7.864217744030369,1.2268179685265446
8,9.40681346178011e-06,9.706339919837715e-06,5.715007966455796e-07,-1.3095318022503013e-06,-2.5294033346158945e-06,-1.2972429190249875e-06,334.28713161150614,355.30516484578453,352.2030217250188,349.76298056443534,342.48765569527944,335.5210922241211,331.2956900199254,332.21068524519603,328.4848681529363,327.1741515556971,17.751248043736755,14.088067930905769,17.958347702686055,14.263080490333959,7.786282061723371,1.2146600019827019
9,8.924978564236556e-06,9.776467757681024e-06,-6.960364067001383e-07,-1.223537422939333e-06,-3.809561961239568e-06,-3.004735837046126e-06,333.73226107756295,355.0492623567581,351.9562084436417,349.48968020280205,342.43031294345855,335.4529899756114,331.2600854794184,332.3967143932978,328.2893129428228,326.76780602137245,17.783900038339198,13.97110375945146,18.144764898275024,14.423444336520818,8.033458193065599,1.253219477533518
