,out_div100,out_div200,out_div250,out_div300,out_div400,out_div500,out_eqt1000,out_eqt200,out_eqt250,out_eqt300,out_eqt400,out_eqt500,out_eqt600,out_eqt700,out_eqt850,out_eqt925,out_sh850_200,out_sh850_250,out_sh925_200,out_sh925_250,out_ws10,out_wstrss10
0,1.1910024672250082e-05,1.0063102833931293e-05,1.8897099857059683e-06,-2.217372754102392e-06,-4.04613295380904e-06,5.519899565610152e-07,333.55191821307983,349.6584742276806,347.78994871596285,345.4367544282102,340.7110068287476,337.5199590558323,334.08489147473045,334.0047597882668,328.4018717248198,325.87355258698244,19.914231892489425,19.220715106669182,19.974633977998906,19.22004690967275,7.500485369683975,1.1700757161264956
1,9.845582661561121e-06,9.16788100545525e-06,3.977736943934033e-07,-1.8824150239655826e-06,-2.5424476936086564e-06,7.70489735693429e-07,333.87522002855934,349.36375115712485,347.4674015045166,345.1865512609482,340.6318497021993,337.25668114821116,333.7985125144323,333.67648859818775,328.2130501270294,325.65724358558657,19.90964843154264,18.663388297497296,19.949420498078688,18.649320116223922,7.567271000992817,1.180494276448735
2,7.85107329228929e-06,8.840194356912634e-06,3.6090222778434956e-06,-2.1296343016938938e-06,-1.707982017099867e-06,-1.3715590429578728e-07,334.0627463086266,349.38616167609,347.4439491581406,345.2186798513536,340.7197192543639,337.47583823769446,334.0731298850199,333.48897598806633,327.18809825017206,324.7722765312303,21.652572408922882,19.62239617971572,21.622666212422878,19.525980085650332,7.673719409437481,1.1971002271000966
3,7.39188873963223e-06,9.966234191552404e-06,5.039630680441405e-06,-1.6241094919226296e-06,-1.3015222623175004e-06,-7.209898606610337e-07,332.8761351982752,349.332700586319,347.3584759314855,345.30343481699623,340.6834738016129,337.3174084583918,334.07471799055736,333.19425558249156,326.66726064682007,324.4682152668635,22.664590284686223,20.881896345426018,22.684416167872648,20.81584902641674,7.800969140499364,1.2169511859785416
4,9.312197915639347e-06,1.010257581473863e-05,3.882614656606105e-06,-1.3800089073428651e-06,-2.991227989776912e-07,-2.204904477279386e-07,331.92387545050286,349.57742904785283,347.64894605009357,345.6665583112633,340.89551815583826,337.3403348851284,334.1967833747361,333.32296459658204,326.4173316255893,324.517720684898,22.731209200248028,21.135566996946043,22.86498366156942,21.18331600873854,7.873049691612023,1.2281957521565015
5,1.0069539894864282e-05,1.1384767750916129e-05,5.483537822515335e-06,-3.76065063483551e-07,-6.551660827122663e-08,-2.510636563631506e-07,332.0196748733521,350.1312478303909,348.19209880828856,346.1953805446625,341.2115915218989,337.519038438797,334.2461223284403,333.3493234475454,326.5623499552409,324.79315342903135,22.31341984382986,20.752218601685794,22.448955588927493,20.869882273650727,8.005390707186113,1.2488409500879547
6,9.765448634338017e-06,1.1277816927131311e-05,8.230048178327238e-06,-1.7020584542007998e-06,-2.691651181622344e-06,-1.4699643919242394e-06,331.2513223626884,350.3868442023949,348.28436969903913,346.20225093272944,341.42336830369754,337.03914604295414,334.2028247987968,333.54754276024346,326.2753219978965,324.11745080575866,22.736871242723364,20.8059643764146,22.553692963781728,20.624076382438208,7.854634143849024,1.2253229267831707
7,9.812018759043386e-06,1.0090425919802225e-05,7.349865759746238e-06,-1.4310975916109742e-06,-2.8983350631694024e-06,-3.0916569107893358e-06,332.07141039175013,349.9986911971758,348.10518156468976,345.9566952334113,341.255314347295,336.6050240652902,333.37141413332665,332.8571186622456,326.1451387082659,323.8092791932524,22.084068209618074,20.31218005033526,21.974076904581672,20.150811150165776,7.469070790666106,1.1651750427414067
8,9.559407506290267e-06,9.536043258333903e-06,6.367370544305167e-06,-2.5635469779166643e-06,-2.8735100599577265e-06,-3.095188539534343e-06,333.0623427449933,349.5591559009754,347.7702576960744,345.65957927777765,340.9729300804207,336.5472062391016,332.97466445800654,332.75373425258283,326.3261260237382,323.8824672753175,21.1947717938858,19.259645615613174,21.240724914174336,19.192001091174394,7.213657368756917,1.1253305495639883
9,1.0481547968243614e-05,6.7703049796696835e-06,3.256041042812195e-06,-4.331877644116478e-06,-2.3504261089187887e-06,-2.4466124181396456e-06,333.7404029687246,349.28217906951903,347.47328763802847,345.3109616279602,340.8020079533259,336.5605446656545,332.56400450865425,332.7978185097376,326.61219721635183,323.9531268040339,20.688894524176916,18.22738382917984,20.887423598766325,18.28756752771636,7.297749076302474,1.138448856076866
10,9.284942083518963e-06,6.718818204301872e-06,5.583179032104833e-06,-3.9568524993075474e-06,-2.269739028767506e-06,-2.5250153110789207e-06,332.99826357266727,348.98054580471677,346.9567026755693,344.88739847761195,340.8391370524488,336.76988032189985,332.51405230802766,332.4742394429835,325.8248893720055,323.0692622806329,20.64549124915296,19.14862067700664,21.054514081987477,19.457339812390597,7.151821295702621,1.1156841211215343
11,8.385231803626428e-06,6.865836900269175e-06,3.5326713455360607e-06,-2.7982052498703793e-06,-1.8120097214203708e-06,-2.0021515515035075e-06,331.61847281554924,348.9950470746305,346.7916026689205,344.66448752217275,340.66115021606697,336.29170768389565,332.4835738186025,331.8025354567405,325.3993253351742,322.7126377390628,21.143694730931546,19.11456161123774,21.633964418081945,19.48316340088454,7.100011736881065,1.107601832732736
12,9.014424489744516e-06,9.903936525251709e-06,1.6283649433960725e-06,-2.324667357664023e-06,-1.2658099918775686e-06,-8.7178765271547e-07,330.5150655767647,349.40084748205305,346.98772410513726,344.7049905140866,340.6805307816486,336.03118125464187,332.68166192660067,331.4097788442909,325.32161502744515,322.7375649738238,21.43505773929871,18.981484719731338,22.004385363375054,19.401928997430897,7.167661637891574,1.1181552182200711
13,9.48234632519145e-06,9.976890974645417e-06,1.2481522100375037e-06,-2.2112439330074693e-06,-6.120707496002261e-07,-1.6987320380260363e-07,330.52313160101573,349.9154020388921,347.3705633242925,344.8477773507436,340.8139765183131,336.2863833983739,333.34251305262245,331.73133931159975,325.742240357399,323.6771817843119,21.12249780660495,18.251148270318904,21.68364385664463,18.644855482876302,7.153024108459552,1.115871759878549
14,8.247458200431145e-06,1.1794840540400981e-05,1.7410234595919359e-06,-5.235086269468112e-06,-3.700289503573592e-06,-1.028227161798736e-06,330.19697511279287,350.3735392636275,347.6735689266188,344.8938939758001,340.77899892851843,336.05503002059334,333.2196894620808,331.82767131217105,325.90287787462813,323.86624524710993,21.198483746270743,17.716406218305295,21.777612225410707,18.16011494772282,6.72243030469367,1.048699126477098
15,8.741516801984716e-06,1.1438837214155144e-05,-1.1728648566953444e-06,-8.068198887930896e-06,-3.488832418292879e-06,-7.055020166714899e-07,331.3661289712743,350.0075090270854,347.4151247261538,344.6593377466382,340.3955366745133,335.34629953039985,332.9759819722551,331.8548337384054,325.55032768042565,323.06394699518455,20.346907954535045,17.383337561026682,20.913271380160644,17.766693976553057,6.226111008467846,0.9712733166326954
16,1.022574488451327e-05,7.560534094247459e-06,-3.0387852861414314e-06,-8.108747541568398e-06,-2.615703611209288e-06,5.526631389578935e-07,333.3836275266757,349.65434985307417,346.90802341738095,344.1218579429522,339.33613899012187,333.7217719024603,331.6766150476273,330.5646861654571,324.0652724640279,321.1642086233042,19.59025053816598,16.89510643891788,20.151669040326155,17.281169628025303,5.856777181562582,0.9136572401834451
17,8.332820795233124e-06,6.489760827507017e-06,-1.8353582604067018e-06,-6.039423344619937e-06,-1.7458161197120754e-06,1.1226057209277421e-06,332.1679499467214,349.28646465937294,346.52777723471326,343.84720120429995,339.1375250975291,333.5786399126053,331.59763124783836,330.72246777216594,323.95462284088137,320.87145399252574,19.446579071010152,15.958693043002858,19.92890220955014,16.331242791237308,5.880139126613115,0.9173017045866193
18,6.426653824980038e-06,8.726708841571009e-06,2.9588740486457157e-06,-4.57319143278176e-06,-3.1918602384329226e-06,9.024499150969306e-07,330.1799060345558,349.1319925618153,346.3184643614603,343.86264824085043,339.4267039593416,334.2273810112455,332.23126208877665,331.8855901120461,324.82674030923806,321.43922621013274,20.149071535624387,15.758442224658019,20.339221862020864,15.810793585476718,5.810427631080936,0.9064267104690319
19,4.891121016899082e-06,7.4544139342861515e-06,2.365852570063211e-06,-2.6395332138721377e-06,-1.59968411297795e-06,-4.2551211728410444e-07,329.5875378050745,349.17799358447064,346.0146001443823,343.59078046395075,339.34913127155227,334.3987314216329,332.08911666236975,331.71633070633123,324.8581341707855,321.16544824813906,20.183445544441952,15.469308738446026,20.515296230579562,15.620800243404643,5.756941492126335,0.8980828730376916
20,3.541625076341744e-06,6.988253047597589e-06,3.754269198109243e-07,-2.10903772578613e-06,3.1087152482625173e-07,-4.6981617697006237e-07,328.58029478324903,349.4944259103525,345.959966266842,343.4639181315945,339.28505481117855,334.3997956701903,331.7119144014966,331.3031939676768,324.60574801225005,320.9412944599566,19.617639423248164,14.990245038565048,20.124362163628696,15.303423923504996,5.95005334148848,0.9282083216514723
21,4.473489868160394e-06,8.589543142551788e-06,-8.277600961383488e-07,-1.9245075330777408e-06,1.4039095331243023e-06,-7.30725601806014e-07,329.5879965384801,349.76016846497856,346.04552640120187,343.5171272277832,339.39949520428974,334.7561981598536,331.9782768646876,331.8582314491272,325.0510114431381,321.629029750824,19.06386599864345,14.47408997124682,19.45147761042851,14.705080525410207,5.704250661563128,0.8898631033206281
22,7.583507580127824e-06,6.918201523419103e-06,-4.79192177902978e-07,-6.920516933596003e-07,-1.006723665959719e-06,-8.855620473881507e-07,330.8838802496592,349.7619432369868,346.4054463704427,343.7620204289754,339.4571573972702,334.7306580464045,332.1633573770523,332.4385780413946,325.1800564686457,321.96332527796426,17.9678610089235,13.68394796291832,18.311947220920896,13.994359155697747,5.322251681808848,0.8302712619076676
23,5.701057342389256e-06,6.3111039381683056e-06,-4.828579908466857e-07,-6.49963517660064e-07,-2.0524247227540297e-06,-9.146676948727784e-08,329.95199704964955,349.29772384961444,346.1244198560715,343.47576813697816,339.1306868314743,334.3186925729116,331.75378675460814,331.8339501539866,324.8036506970723,321.5028538783391,17.841813854089317,13.356060183257796,17.99248734692422,13.524400125164538,5.042771255938957,0.7866723157164718
24,4.923066706277503e-06,5.291137596116768e-06,-1.02086360863618e-06,-1.6992141903075335e-07,-2.2901179132679114e-06,5.732672744016935e-07,328.26219153404236,348.8568291266759,345.8516827185949,343.21513388156893,338.9051316102346,334.18776497840884,331.7898862044016,331.72580842177075,325.0788276195526,321.36547622680666,17.828617300787787,13.055309747283657,17.89743108829716,13.205571711948142,5.086118460330181,0.7934344778642601
25,1.212910127989612e-06,2.192248189326895e-06,-2.850938089099993e-06,-1.209015822541437e-06,-2.9905042518753773e-07,3.953589975275866e-06,326.12295650641124,348.65596996943157,345.62039534250897,342.9802910089493,338.5515940666199,333.9169895728429,331.45477661291756,331.4722243150075,324.8017551024755,321.2497482140859,18.252042885722283,12.995698856189847,18.351085744503266,13.17555613668325,5.184373743944646,0.8087623034240096
26,-2.3894910014578736e-07,1.5266126872380547e-06,-3.1664755004635025e-06,-1.6981679534970364e-06,-4.5971996788079137e-07,3.1245953745394927e-06,323.357009768486,348.8406423807144,345.7663703838984,343.0623803695043,338.17920033137005,333.16038654645286,330.4644781748454,330.8847793976466,324.2173006137212,320.851954293251,18.63039000708959,13.655248323711566,18.583638219193865,13.69471878610396,4.603085692833217,0.7180813679119941
