,div100,div200,div250,div300,div400,div500,eqt1000,eqt200,eqt250,eqt300,eqt400,eqt500,eqt600,eqt700,eqt850,eqt925,sh850_200,sh850_250,sh925_200,sh925_250,ws10,wstrss10
0,1.3639161807077471e-05,3.173114964738488e-05,2.634806696732994e-05,1.6607420548098162e-05,6.7578671405499335e-06,-9.457464784645708e-07,338.13287353515625,354.962890625,353.220947265625,351.5320739746094,348.97216796875,347.25701904296875,343.7181396484375,344.9627380371094,337.4173278808594,334.5113525390625,10.553131103515625,8.922629356384277,10.690013885498047,9.019466400146484,5.552427291870117,0.8661786913871765
1,8.992508810479194e-06,2.7778258299804293e-05,3.0135983251966536e-05,1.8628916222951375e-05,1.55666348291561e-05,-2.198722313551116e-06,337.04132080078125,355.8572082519531,353.8313293457031,351.8187255859375,349.3411865234375,347.21209716796875,343.3959045410156,344.2657775878906,337.69439697265625,335.0892333984375,7.99971342086792,7.663359642028809,8.151995658874512,7.667265892028809,5.606200695037842,0.8745673298835754
2,1.4912160622770898e-05,9.109214261115994e-06,5.021626293455483e-06,9.72949419519864e-06,2.1723310055676848e-05,-1.3323644907359267e-06,339.9239807128906,356.4998779296875,354.0561828613281,352.10894775390625,350.1158752441406,347.5361022949219,343.9565124511719,344.59283447265625,337.9710998535156,335.216064453125,6.407268047332764,7.815934181213379,6.411355495452881,7.515663146972656,6.57377290725708,1.0255086421966553
3,3.836731775663793e-05,1.7261299944948405e-05,1.1063968486269005e-05,1.932944724103436e-05,3.779365670197876e-06,-1.6806912753963843e-05,340.8298645019531,356.2997131347656,354.0606689453125,352.67132568359375,350.106201171875,346.89947509765625,342.89862060546875,343.8043212890625,337.6578369140625,335.30645751953125,8.247453689575195,8.910789489746094,7.420707702636719,8.159536361694336,7.19696044921875,1.1227259635925293
4,2.978263182740193e-05,2.7612044505076483e-05,1.442715529265115e-05,1.16835044536856e-05,-1.2699591934506316e-05,-1.1770041965064593e-05,336.7437438964844,356.3151550292969,354.2535095214844,352.4894104003906,349.421630859375,345.7048645019531,341.4104309082031,343.011474609375,337.1342468261719,334.9447021484375,9.816149711608887,8.625831604003906,8.941657066345215,8.145405769348145,7.384822845458984,1.1520322561264038
5,2.5396602723049e-05,2.0749468603753485e-05,1.3625993233290501e-05,5.316266197041841e-06,-5.227108886174392e-06,2.5602832920412766e-06,336.1943664550781,356.72454833984375,354.2135925292969,352.18798828125,348.7618713378906,345.22894287109375,341.62176513671875,342.91998291015625,337.0934143066406,335.18121337890625,9.783781051635742,8.038389205932617,9.565256118774414,8.512338638305664,7.424173831939697,1.1581710577011108
6,4.8640449676895514e-05,3.2296517019858584e-05,3.50163973052986e-05,2.443179619149305e-05,7.679199370613787e-06,-5.639200026053004e-06,338.7008361816406,356.8990173339844,355.1551208496094,352.98590087890625,348.8092041015625,345.35223388671875,344.52227783203125,347.1607666015625,338.8253479003906,336.20916748046875,10.562453269958496,8.783456802368164,10.718789100646973,9.493390083312988,8.119059562683105,1.266573190689087
7,5.532869545277208e-05,3.6890338378725573e-05,2.903355380112771e-05,2.7150324967806228e-05,4.109630026505329e-06,-1.8894696040661074e-05,338.78045654296875,357.8341064453125,355.6002197265625,353.54071044921875,349.5522155761719,345.6005554199219,342.69866943359375,345.7454833984375,339.0174560546875,336.3113098144531,11.547893524169922,11.20885181427002,12.36684799194336,12.10838508605957,9.470921516418457,1.477463722229004
8,6.279509398154914e-05,2.7663503715302795e-05,1.4511255358229391e-05,1.2907958989671897e-05,-9.798778592085e-06,-1.8877874026657082e-05,341.3187561035156,358.2126159667969,355.9165954589844,354.6844482421875,350.0117492675781,346.04302978515625,341.73187255859375,344.7364501953125,339.26177978515625,336.15704345703125,12.789454460144043,13.648062705993652,13.387383460998535,14.208946228027344,10.27066421508789,1.6022236347198486
9,6.24499298282899e-05,2.3832011720514856e-05,1.391219484503381e-05,2.7380072424421087e-05,-1.6359272194677033e-06,-1.9746850739466026e-05,341.929443359375,358.4051513671875,356.1528015136719,355.14837646484375,350.64788818359375,346.2507019042969,342.00787353515625,343.9422607421875,339.0797424316406,336.59307861328125,14.585884094238281,15.036639213562012,14.920300483703613,15.378908157348633,11.63381576538086,1.8148753643035889
10,4.89466983708553e-05,2.46040835918393e-05,1.95999164134264e-05,1.8245496903546154e-05,-2.802722747219377e-06,-1.5848088878556155e-05,339.4334411621094,357.4159240722656,355.3962097167969,355.1131591796875,351.21588134765625,346.7944030761719,343.7074279785156,345.6473083496094,338.3452453613281,334.7992248535156,12.632713317871094,12.621395111083984,12.28206729888916,12.429590225219727,8.823928833007812,1.376532793045044
