,out_div100,out_div200,out_div250,out_div300,out_div400,out_div500,out_eqt1000,out_eqt200,out_eqt250,out_eqt300,out_eqt400,out_eqt500,out_eqt600,out_eqt700,out_eqt850,out_eqt925,out_sh850_200,out_sh850_250,out_sh925_200,out_sh925_250,out_ws10,out_wstrss10
0,7.624673761719987e-06,2.657510417051861e-06,1.831720200262498e-06,1.3648525409288267e-06,-2.2828963646743553e-06,-6.359008230181676e-07,331.43730323443276,350.1773261311638,348.45928849026376,346.7302747148696,342.54032920900715,338.7181396326089,335.4405906012444,335.10130071837875,328.9019277580546,326.6560781091081,13.477092769622988,12.73794285560421,12.882714751551383,12.075465184926244,4.001367370139603,0.6242133097675304
1,7.010807005061968e-06,2.1044731314599312e-06,2.0178506655521103e-06,1.334294513357162e-06,-3.5156493447183882e-06,-2.879908327119152e-07,331.06495850086213,349.86214339733124,348.12624848683674,346.428915866216,342.19941701889036,338.3224138736725,335.1585630655289,334.7415019194285,328.4745155096054,326.30491591294606,13.510059748073399,12.715138438499222,12.737517464859412,11.918632009000673,4.244820638761545,0.6621920195155933
2,7.925991203803595e-06,1.819320578596644e-06,1.8339135656728126e-06,1.436610923269675e-06,-1.7081832589141409e-06,1.1144079147308854e-06,330.994359004547,349.6853818933004,347.86231666185057,346.15571480272223,341.7688690676234,337.85761464384086,335.0546324084903,334.4972664211796,328.1406233854808,326.0717913045923,14.012870888832447,12.814189579090513,13.22981845962726,12.052442305848867,4.360416981505609,0.680225049143346
3,7.929847804493313e-06,3.889538310992546e-06,9.80155733310469e-07,1.1705278088295611e-06,-1.3991444047736316e-06,1.989161343031627e-06,331.2058554093043,349.55846753915154,347.6922142505646,345.8860547860464,341.47538468043007,337.89229652881625,335.43200710614525,334.5606529076894,328.24226020971935,326.2676154136658,14.667154753759194,12.952009630870695,14.050502456429724,12.293377332218613,4.413912491087103,0.6885703490722032
4,6.816673473115815e-06,3.922807668215131e-06,1.661648056310259e-06,1.321267043335091e-06,-1.0696132679580718e-06,4.051728630417861e-07,331.0771881103516,349.73706044356027,347.5494909365972,345.53547815481824,341.4278511762619,338.00533944765726,335.54668786525724,335.02007655302685,328.4447208881378,326.2914218902588,15.035378284333273,13.246316449111328,14.503781613195315,12.698959825948501,4.1759577349027195,0.6514494061415462
5,5.013162142677533e-06,5.715471175473062e-06,2.469986449780724e-06,1.6898045935985196e-07,-7.113913025680665e-07,6.608129094782857e-08,331.3312077760696,349.9074218114217,347.81725749969485,345.6089390834173,341.15030585924785,337.9212949434916,335.5530395269394,334.94426307678225,328.4307263056437,326.3947780529658,14.965848814696074,13.425140939777096,14.515915163295965,12.945182354950036,4.332157456888429,0.6758165634981803
6,3.675749969806991e-06,8.55838396214553e-06,2.963737077310108e-06,-4.029524174432904e-07,1.889077051961362e-08,5.840347461385316e-07,332.27163564120093,350.3359208957783,348.28036562337917,345.83631967410014,341.1293009999382,338.19310015761505,335.79980678479205,335.1512115921717,328.59311195626793,326.91718826452234,14.767482007625686,13.236631491488131,14.396544378544533,12.75942923651073,4.446231607121659,0.6936121303483088
7,2.245834669724565e-06,8.602504329923919e-06,2.0019583762645456e-06,-1.870510502177796e-06,2.0473036496281132e-07,6.411833677411107e-07,332.7532380978266,350.81863803068796,348.67279069423677,346.0845167160034,341.2594715277354,338.5240016222,335.90718715985616,335.3770767688751,329.0856229066849,327.7928559621175,14.34757324202607,12.914591466418157,14.076491349438827,12.490538807407331,4.60232706546473,0.7179630229870175
8,2.226598762150105e-06,8.301637899711476e-06,3.217925289827157e-06,-1.8433053556754106e-06,-1.188052037920246e-06,-7.265753246705705e-07,332.2624134285321,351.00177893895824,348.69183701004727,346.1467084765929,341.37410653775163,338.702140744791,336.429683922732,336.327239673662,329.27535391843173,327.43435493247637,14.98456701036558,12.753117821229567,14.567374446889177,12.257373974998616,4.622677992882508,0.7211377670873957
9,4.938478404743531e-07,6.43138171517917e-06,2.0550028186595385e-06,-3.020611323175983e-06,-2.146867857855406e-06,-4.414742964637767e-07,332.01173366705575,350.6884956439336,348.38232536315917,346.0098082939784,341.25529651641847,338.23267900943756,335.75926241079964,336.128341905276,329.14447216192883,327.2505300283432,14.414485807468493,12.189662447183704,14.060896423396965,11.878000913418752,4.963564475534562,0.7743160580852418
