,div100,div200,div250,div300,div400,div500,eqt1000,eqt200,eqt250,eqt300,eqt400,eqt500,eqt600,eqt700,eqt850,eqt925,sh850_200,sh850_250,sh925_200,sh925_250,ws10,wstrss10
0,4.084515239810571e-05,2.0028652215842158e-05,1.6873664208105765e-05,2.88888850263902e-06,6.799105449317722e-06,-2.8881102025479777e-06,332.31658935546875,332.31658935546875,332.31658935546875,332.31658935546875,332.31658935546875,332.31658935546875,332.31658935546875,332.31658935546875,332.31658935546875,332.31658935546875,14.458388328552246,12.831731796264648,14.265813827514648,12.754899978637695,5.668995380401611,0.8843632340431213
1,4.0805720345815644e-05,3.448513962212019e-05,2.6109413738595322e-05,1.9706430975929834e-06,-5.377079105528537e-06,-9.040984878083691e-06,332.339111328125,332.339111328125,332.339111328125,332.339111328125,332.339111328125,332.339111328125,332.339111328125,332.339111328125,332.339111328125,332.339111328125,15.547460556030273,13.069876670837402,15.142547607421875,12.83564281463623,6.37509822845459,0.9945153594017029
2,4.127566171518993e-06,1.976001658476889e-05,1.501653969171457e-05,7.0746882556704804e-06,1.0386835128883831e-05,-4.1163280002365354e-06,332.7190856933594,332.7190856933594,332.7190856933594,332.7190856933594,332.7190856933594,332.7190856933594,332.7190856933594,332.7190856933594,332.7190856933594,332.7190856933594,17.130496978759766,16.65427589416504,16.853891372680664,16.407499313354492,7.296521186828613,1.1382572650909424
3,-1.492906449129805e-06,1.9616647477960214e-05,1.3567734640673734e-05,6.172654593683546e-06,4.266596533852862e-06,1.1011111382686067e-06,332.7667236328125,332.7667236328125,332.7667236328125,332.7667236328125,332.7667236328125,332.7667236328125,332.7667236328125,332.7667236328125,332.7667236328125,332.7667236328125,17.43583106994629,17.6588134765625,17.405040740966797,17.614097595214844,7.744194507598877,1.2080943584442139
4,1.995439743041061e-05,2.362471423111856e-05,2.1003648726036772e-05,3.024922307304223e-06,6.575602583325235e-06,5.6170001698774286e-06,332.73358154296875,332.73358154296875,332.73358154296875,332.73358154296875,332.73358154296875,332.73358154296875,332.73358154296875,332.73358154296875,332.73358154296875,332.73358154296875,17.478233337402344,17.97274398803711,17.939138412475586,18.494365692138672,8.568038940429688,1.3366140127182007
5,3.0488066840916872e-05,1.8215117961517535e-05,1.5313012227125e-06,2.9682355489057954e-06,1.9049142792937346e-05,6.015344752086094e-06,329.74114990234375,329.74114990234375,329.74114990234375,329.74114990234375,329.74114990234375,329.74114990234375,329.74114990234375,329.74114990234375,329.74114990234375,329.74114990234375,17.23600196838379,17.900177001953125,18.41412925720215,19.15610122680664,9.599380493164062,1.4975035190582275
6,1.6001014955691062e-05,9.83311292657163e-06,1.064025127561763e-05,7.1734789344191086e-06,2.2175488993525505e-05,-2.9105410703778034e-06,328.37982177734375,328.37982177734375,328.37982177734375,328.37982177734375,328.37982177734375,328.37982177734375,328.37982177734375,328.37982177734375,328.37982177734375,328.37982177734375,16.381406784057617,16.293489456176758,18.11627960205078,18.063074111938477,10.039134979248047,1.5661051273345947
7,1.791507202142384e-05,4.10263328376459e-06,1.479763159295544e-05,4.404635546961799e-06,1.6804773622425273e-05,-3.966317308368161e-06,327.0852966308594,327.0852966308594,327.0852966308594,327.0852966308594,327.0852966308594,327.0852966308594,327.0852966308594,327.0852966308594,327.0852966308594,327.0852966308594,13.965879440307617,15.281207084655762,14.80543327331543,16.188152313232422,10.200881958007812,1.5913375616073608
8,2.9911345336586237e-05,9.588409739080817e-06,1.4303341231425293e-05,5.484222128870897e-06,5.022320692660287e-06,-6.44077590550296e-06,326.60357666015625,326.60357666015625,326.60357666015625,326.60357666015625,326.60357666015625,326.60357666015625,326.60357666015625,326.60357666015625,326.60357666015625,326.60357666015625,12.88240909576416,13.06192398071289,12.860288619995117,13.479789733886719,9.869714736938477,1.5396754741668701
9,2.9624479793710634e-05,2.172973381675547e-06,1.0248287253489252e-05,2.4226746972999536e-06,9.197055987897329e-07,-3.683415343402885e-06,327.39300537109375,327.39300537109375,327.39300537109375,327.39300537109375,327.39300537109375,327.39300537109375,327.39300537109375,327.39300537109375,327.39300537109375,327.39300537109375,14.149240493774414,12.457170486450195,13.385187149047852,12.010907173156738,9.108231544494629,1.420884132385254
10,2.2034790163161233e-05,-1.7403276615368668e-06,-3.2555294637859333e-06,7.735056897217873e-07,8.305303708766587e-06,9.648897503211629e-08,327.460205078125,327.460205078125,327.460205078125,327.460205078125,327.460205078125,327.460205078125,327.460205078125,327.460205078125,327.460205078125,327.460205078125,15.2099027633667,14.63498306274414,15.32447624206543,14.814440727233887,9.660662651062012,1.507063388824463
11,1.6078538465080783e-05,-3.0141036404529586e-06,1.7562588254804723e-06,4.037677626911318e-06,5.350686024030438e-06,8.84765358932782e-06,326.6593017578125,326.6593017578125,326.6593017578125,326.6593017578125,326.6593017578125,326.6593017578125,326.6593017578125,326.6593017578125,326.6593017578125,326.6593017578125,14.452929496765137,14.612915992736816,16.187376022338867,15.965377807617188,10.401788711547852,1.6226791143417358
12,2.490614861017093e-05,5.380816219258122e-06,1.9267133666289737e-06,3.903155175066786e-06,-2.4628509436297463e-06,1.5639749108231626e-05,326.6506042480469,326.6506042480469,326.6506042480469,326.6506042480469,326.6506042480469,326.6506042480469,326.6506042480469,326.6506042480469,326.6506042480469,326.6506042480469,13.27082347869873,13.769594192504883,15.315765380859375,15.710366249084473,10.504341125488281,1.6386770009994507
13,1.3763054994342383e-05,-6.211126674315892e-06,2.985671585520322e-07,2.861032271539443e-06,-2.7315979878039798e-06,1.9626902940217406e-05,327.970947265625,327.970947265625,327.970947265625,327.970947265625,327.970947265625,327.970947265625,327.970947265625,327.970947265625,327.970947265625,327.970947265625,13.385940551757812,14.897432327270508,14.672657012939453,16.166170120239258,10.631099700927734,1.6584516763687134
14,1.693963713478297e-05,3.923677468264941e-06,-9.013631370180519e-07,-9.184563168673776e-06,-8.74947272677673e-06,1.735865225782618e-05,331.03466796875,331.03466796875,331.03466796875,331.03466796875,331.03466796875,331.03466796875,331.03466796875,331.03466796875,331.03466796875,331.03466796875,13.253335952758789,14.846707344055176,13.827399253845215,15.457179069519043,10.014997482299805,1.5623395442962646
15,1.893952867249027e-05,5.1298502512509e-07,-9.34661875362508e-06,-1.61286152433604e-05,-7.344128789554816e-06,2.076464625133667e-05,332.3956298828125,332.3956298828125,332.3956298828125,332.3956298828125,332.3956298828125,332.3956298828125,332.3956298828125,332.3956298828125,332.3956298828125,332.3956298828125,12.99581527709961,14.223037719726562,13.042360305786133,14.306180000305176,9.288223266601562,1.4489630460739136
16,1.7906530047184788e-05,1.86018951353617e-07,-1.5741356037324294e-05,-8.987835826701485e-06,-2.479104296071455e-06,1.6849669918883592e-05,332.2166442871094,332.2166442871094,332.2166442871094,332.2166442871094,332.2166442871094,332.2166442871094,332.2166442871094,332.2166442871094,332.2166442871094,332.2166442871094,12.128629684448242,12.80129623413086,12.374610900878906,13.16244888305664,9.250130653381348,1.4430204629898071
17,1.4390815522347111e-05,-8.115807759168092e-06,-1.5135855392145459e-05,-4.7394905777764507e-07,7.666614692425355e-06,1.013054497889243e-05,332.02801513671875,332.02801513671875,332.02801513671875,332.02801513671875,332.02801513671875,332.02801513671875,332.02801513671875,332.02801513671875,332.02801513671875,332.02801513671875,11.654045104980469,12.297392845153809,12.084062576293945,12.818204879760742,9.17949104309082,1.4320005178451538
18,1.0519738680159207e-05,-1.9008399249287322e-05,-1.5100086784514133e-05,4.064443601237144e-06,7.764709152979776e-06,1.04445307442802e-05,331.9005432128906,331.9005432128906,331.9005432128906,331.9005432128906,331.9005432128906,331.9005432128906,331.9005432128906,331.9005432128906,331.9005432128906,331.9005432128906,11.320842742919922,11.621256828308105,12.09399127960205,12.532642364501953,8.947484970092773,1.3958077430725098
19,1.2087123650417197e-05,-9.169861186819617e-06,-1.1792762961704284e-05,1.614637949387543e-05,7.844508218113333e-06,5.92200422033784e-06,331.91015625,331.91015625,331.91015625,331.91015625,331.91015625,331.91015625,331.91015625,331.91015625,331.91015625,331.91015625,11.228900909423828,11.470447540283203,12.125518798828125,12.456178665161133,8.816523551940918,1.3753777742385864
