,div200,div300,div400,div500,eqt1000,eqt200,eqt250,eqt300,eqt400,eqt500,eqt600,eqt700,eqt850,eqt925,sh850_200,sh850_250,sh925_200,sh925_250,ws10m,wstrss10m
0,6.549553393594484e-06,3.0617097677304323e-07,-1.4854752184810295e-06,-2.40185828051231e-07,335.69005129337313,353.43932677110035,351.56433403491974,348.83966898123424,343.0572474559148,338.9799679199854,335.4921508391698,336.3236967484156,332.37935531139374,331.3208252429962,15.241288776191261,13.682244834722951,15.088348256944057,13.666943201965962,4.427574978924046,0.6907016965689157
1,8.15729094067232e-06,6.724656308601991e-07,1.5819292463123415e-08,2.4882705260571383e-07,335.3672315120697,352.9318903048833,351.0935039997101,348.5688390016556,342.93322930336,339.0543225288391,335.55110648473106,336.30391259988147,332.0827290534973,330.97227645715077,15.387961912962298,13.68858781544647,15.242161076609046,13.637698387461326,4.613237654497303,0.7196650740702656
2,9.613719445359115e-06,9.67061577865358e-08,2.0451470044875742e-07,-7.525371993209508e-07,334.22667845884956,352.9756571531296,350.93519786198937,348.6099269469579,343.8340125799179,339.3259469032288,335.83914608160654,336.4075320402781,331.64726939996086,330.3187009334564,15.693301137397066,13.689407228418471,15.94798581043724,14.020157917689842,4.855222070023834,0.7574146426387718
3,8.478898349733911e-06,-1.2389602718568723e-07,1.5905745527142422e-06,-6.541119180645052e-07,334.3064078966776,352.94834385712943,350.72418689727783,348.43842124144237,344.0120059887568,339.24109484354653,335.83462932904564,336.118324247996,330.74581090609234,329.7746432940165,16.757439456313538,14.861430726666004,16.954563096926236,15.12923562428914,5.236501569217459,0.8168942446696746
4,6.066197449576726e-06,1.4284195222931395e-06,4.451718012857004e-06,5.739204798758078e-07,335.0774021625519,353.40023946762085,350.8309030214945,348.5850143750509,344.4551721572876,339.33304706414543,335.95793565909065,336.1700025399526,330.6265254656474,330.17030266126,17.996493364218622,15.820754312576415,18.02003591119816,15.92715667654605,5.4051116906184085,0.8431974233365812
5,7.184855360228779e-06,4.082879559647642e-06,5.062434129462391e-06,-7.267208732025336e-07,335.99919460614524,353.9482728322347,351.28094055652616,349.0474059820175,344.78684860865275,339.3012487093608,335.5608778238296,336.05278083483375,331.1227301120758,330.7982054233551,18.04196133959728,15.61668682047166,18.07596963859784,15.73197673878943,5.338697090459755,0.832836745519065
6,6.812030680934667e-06,4.720118870831999e-06,2.4386355872627745e-06,-2.1801493149852086e-06,335.6188091754913,354.73642596403755,352.085534397761,349.6950132926305,345.1979598045349,339.24902923107146,334.97669423421223,335.7440351963043,331.472775944074,330.5548116922379,17.394873060255,15.96199696396167,17.5124910317827,16.185954162152484,5.396366498892894,0.8418331733129889
7,8.477096270631419e-06,5.3645931142237705e-06,8.863490855882719e-07,-2.7065593018854816e-06,335.3346292257309,354.55262359778084,352.2406578938166,349.82712275187174,345.0326398611069,339.36169792016346,334.2956536531448,335.0906333287557,330.96969219048816,329.8516880830129,17.206989550427533,15.935520401337028,17.200255312689116,16.001457042363473,5.244694755927776,0.8181723821386792
8,8.844455009308453e-06,3.203878130519228e-06,-5.104723912556045e-07,-2.759216174582294e-06,334.6534544626872,354.2174672285716,352.11971521377563,349.8596241871516,344.7573464075724,339.2710490942001,333.94971605141956,334.52348210016885,330.5003164927165,329.34798341592153,16.968094042898155,15.260861419777696,16.866722471072958,15.207223741756753,5.3203856906698395,0.8299801676315838
9,9.07716861811581e-06,-4.5097474572416975e-09,-7.942208606985061e-08,-2.9866813750253445e-06,334.4977830648422,353.8918982982635,351.82254524230956,349.67313861052196,344.2718901395798,338.7702762762705,333.73517446517945,334.2429401954015,330.02012407779694,328.9820114930471,16.75025078582888,15.094889869261532,16.614484216001195,14.973830224146756,5.730812007864006,0.8940066724033386
10,9.161092671827742e-06,8.944500555650482e-07,9.411711273921384e-07,-2.5885773215020744e-06,333.444962310791,353.84339937369026,351.4863072156906,349.6685885190964,344.6511270523071,338.45595923264824,334.09277794361117,334.9527164459229,329.97841189702353,328.25655195713045,17.52750858523262,16.168580533439915,17.179595016183644,15.916128944427085,5.781964994485316,0.9019865399252012
11,7.096364347012063e-06,1.9938446510686657e-06,-5.801028039015277e-07,-3.5582814771224305e-06,333.71832588513695,353.7803392251333,351.41822333335875,349.5568552573522,344.53352401256564,338.1445033709208,333.8999430100123,334.23312901655834,329.7011723915736,328.3396450599035,17.78381250264744,15.844630791495243,17.420510828060408,15.518887096643448,6.104846623990064,0.9523560732166516
12,7.4067304425886115e-06,3.557937502451115e-06,-1.8597529507613509e-06,-2.6984520506212356e-06,334.9911842425664,354.4477169593175,351.92906171480814,349.76734420458473,344.5450313170751,337.76870593229927,333.44346656004586,333.7314694404602,329.82161564826964,329.3521151145299,17.980831174893925,15.56689533609897,17.753686470693598,15.197800598091757,6.331015651204507,0.9876384413836907
13,1.2034354631975756e-05,-1.6884073521569036e-07,-8.635787764552557e-07,-2.6815570348687895e-06,335.9835530042648,355.06566120783486,352.5458458979925,350.2086503505707,344.37160051663716,338.036674507459,333.33379723230996,333.9004388093948,330.7114080031713,330.75197025140125,17.937494925262097,14.909778160012017,17.793570137396454,14.545827404332037,6.2426352651634565,0.9738511002726834
14,9.742162804660289e-06,-1.0021582143073433e-08,-1.2023639195858175e-06,-5.4535204733783396e-06,335.41179772218067,355.4339146455129,353.16188343365985,350.71266508102417,344.4836988925934,338.5952736934026,334.2020310163498,335.24306638240813,331.1105213244756,330.1387252569199,18.060727513333163,14.497437906213841,18.121749877894764,14.559126952445755,6.255245623469818,0.9758183176631671
15,7.074916401733633e-06,-9.648874959428816e-07,-2.0401538091004467e-06,-6.3091316368344895e-06,335.06462438901264,355.28039418061576,353.14557276566825,350.5324769973755,344.12280316352843,338.47632710933686,333.4225027402242,334.4772095918655,330.7819531758626,329.7291187445323,17.743431778942856,14.432563924855398,17.56528149836231,14.329969966919938,5.842716106715185,0.9114637130847162
16,7.289186632410128e-06,-6.822532441416266e-07,4.161329462465622e-07,-5.6111298812453836e-06,334.76174464225767,354.9302226940791,352.80935333569846,350.21906354427335,343.86039978663126,338.2822777032852,333.2104544878006,333.89166848659517,330.6826277891795,329.61802861690524,17.831394887094696,14.357846436331359,17.5123720053467,14.136036501079797,5.636357596223631,0.8792717850471187
17,5.682832777710127e-06,6.4311768699432e-07,1.6448519090726346e-06,-3.881487671961112e-06,334.575617257754,354.45935858885446,352.3655519167582,350.0173458655675,343.42279663085935,337.92419719696045,333.31613296667734,333.84417780240375,330.6492729187012,329.74454327424365,17.71183389184686,14.290013773747098,17.328366509824992,13.989197491765177,5.53444857528278,0.8633739769007661
18,3.925930426497993e-06,2.286068124200622e-06,-1.65635743721917e-06,-4.243080828254346e-06,334.0601456085841,354.6975742419561,352.35051604906715,350.1544755220413,343.60657187302905,336.91151175498965,332.9880516052246,333.7249402681986,330.0746414264043,328.98022589683535,17.248804917795738,13.996527713436324,16.91602731423918,13.638155477680266,4.913515532298091,0.7665084225647054
