,div200,div300,div400,div500,eqt1000,eqt200,eqt250,eqt300,eqt400,eqt500,eqt600,eqt700,eqt850,eqt925,sh850_200,sh850_250,sh925_200,sh925_250,ws,wstrss10m
0,2.393569411651697e-05,-6.706189878968871e-07,2.9774064387311228e-06,-5.161862191016553e-06,332.75897216796875,354.24615478515625,352.57373046875,350.813720703125,348.5881042480469,346.4345703125,341.40673828125,340.13751220703125,333.14154052734375,330.48284912109375,11.011034965515137,10.018718719482422,10.757684707641602,9.770654678344727,5.125385761260986,0.7995601892471313
1,1.8398255633655936e-05,-1.819233034439094e-06,2.1750111045548692e-08,1.4226891380531015e-06,332.9755859375,353.888671875,351.886474609375,349.916015625,347.94500732421875,345.91778564453125,341.595458984375,339.8408508300781,333.3433837890625,330.78662109375,10.665426254272461,8.54234790802002,10.374670028686523,8.090703964233398,4.946901321411133,0.7717165946960449
2,2.304925146745518e-05,2.6617763069225475e-06,7.838341844035313e-06,9.540010069031268e-06,333.0744934082031,353.4026184082031,351.564208984375,349.8823547363281,348.13421630859375,345.986572265625,343.01934814453125,341.8402404785156,335.2846984863281,332.64178466796875,12.183374404907227,8.420401573181152,12.345527648925781,8.467018127441406,4.889186382293701,0.7627130746841431
3,2.0552783098537475e-05,1.2072940080543049e-05,2.7242209398536943e-05,1.092380171030527e-05,333.7542419433594,353.7790222167969,351.89044189453125,349.89129638671875,348.5334167480469,346.08795166015625,343.9011535644531,341.7917175292969,334.685546875,332.563232421875,12.239155769348145,8.848210334777832,12.440274238586426,9.143526077270508,5.932003498077393,0.9253925681114197
4,3.934984852094203e-05,2.2627489670412615e-05,1.5615223674103618e-05,-3.833974005829077e-06,334.11737060546875,354.9569091796875,353.437255859375,351.2640686035156,349.2240905761719,346.0897216796875,343.0395812988281,341.627197265625,334.6395263671875,332.50762939453125,13.547484397888184,11.262859344482422,13.376317977905273,11.062978744506836,6.465574264526367,1.008629560470581
5,2.4109252990456298e-05,7.572813956358004e-06,5.405356205301359e-06,-3.648092842922779e-06,334.2352294921875,356.288818359375,354.680419921875,352.69488525390625,349.5249938964844,346.426025390625,341.9837646484375,341.88922119140625,334.8680725097656,332.4818420410156,13.012907028198242,12.341492652893066,12.842424392700195,12.283710479736328,7.406935691833496,1.1554820537567139
6,2.4386958102695644e-05,2.2494396034744568e-05,5.894858986721374e-06,3.0850942493998446e-06,335.47454833984375,356.0548095703125,354.65283203125,353.3443603515625,350.6135559082031,347.84539794921875,343.8309326171875,343.8973693847656,335.65277099609375,333.4016418457031,14.710005760192871,13.07122802734375,14.613840103149414,13.232131958007812,8.468420028686523,1.3210736513137817
7,2.847868381650187e-05,-4.809974143427098e-06,-3.633313099271618e-07,2.5528022433718434e-06,335.31787109375,355.3895263671875,354.37103271484375,353.30731201171875,350.4432373046875,347.906005859375,342.70440673828125,343.98876953125,336.2882080078125,333.5303649902344,13.594348907470703,11.886545181274414,14.006265640258789,12.509966850280762,9.52655029296875,1.4861419200897217
8,3.4912223782157525e-05,-1.4590195860364474e-06,-5.1982806326122954e-06,1.7577808648638893e-06,335.4814453125,354.8988037109375,353.85479736328125,353.1721496582031,350.77337646484375,348.269775390625,342.694091796875,343.5150451660156,336.46099853515625,333.4017333984375,14.507463455200195,12.653656005859375,14.94009780883789,13.050374031066895,9.85659408569336,1.5376286506652832
9,4.238783003529534e-05,1.661749956838321e-05,-9.602834325050935e-06,-7.709476449235808e-06,335.8287048339844,354.6287536621094,354.17523193359375,353.60699462890625,350.28900146484375,348.3382263183594,342.4658203125,342.7216796875,336.70208740234375,333.38299560546875,15.338637351989746,15.133918762207031,15.635178565979004,15.496553421020508,10.220727920532227,1.5944335460662842
