time,P_min,W10_max
2020-11-20:12.00.00,1006,11
2020-11-20:15.00.00,1008,12
2020-11-20:18.00.00,1009,12
2020-11-20:21.00.00,1007,12
2020-11-21:00.00.00,1006,12
2020-11-21:03.00.00,1008,14
2020-11-21:06.00.00,1009,14
2020-11-21:09.00.00,1006,14
2020-11-21:12.00.00,1005,13
2020-11-21:15.00.00,1007,13
2020-11-21:18.00.00,1008,14
2020-11-21:21.00.00,1006,14
2020-11-22:00.00.00,1006,14
2020-11-22:03.00.00,1007,14
2020-11-22:06.00.00,1009,14
2020-11-22:09.00.00,1007,13
2020-11-22:12.00.00,1007,14
2020-11-22:15.00.00,1010,13
2020-11-22:18.00.00,1012,12
2020-11-22:21.00.00,1011,12
2020-11-23:00.00.00,1012,11
2020-11-23:03.00.00,1013,11
2020-11-23:06.00.00,1011,10
2020-11-23:09.00.00,1010,9
2020-11-23:12.00.00,1012,10
