,time,P_min,W10_max,div200,div300,div400,div500,eqt1000,eqt200,eqt250,eqt300,eqt400,eqt500,eqt600,eqt700,eqt850,eqt925,sh850_200,sh850_250,sh925_200,sh925_250,ws10m,wstrss10m,u10,v10,2mdewtmp,2mtmp,conv_ppt,tot_cld_ice,tot_cldwtr,tot_cld_rain,vi_div_cld_froz_wtr,vi_div_cld_liq_wtr,vi_div_gpot_flux,vi_div_ke_flux,vi_div_mass_flux,vi_div_moisture_flux,vi_div_olr_flux,vi_div_tot_enrgy_flux,vi_ke,vi_pe_inte,vi_pe_ie_latentenrgy,vi_temp,vi_olr,vi_tot_enrgy,vi_moisture_div,cape,inst_10m_wnd_gst,inst_moisture_flux,inst_ssh_flux,surfmean_swr_flux,surfmean_lhf,surfmean_lwr_flux,surfmean_shf,dwnwrdmean_swr_flux,topmean_lwr_flux,topmean_swr_flux,vimean_moisture_div,surf_lhf,surf_shf,tot_suprcool_liqwtr,tot_wtr_vpr,mslp,conv_rrate,ls_rrate,mn_conv_prate,mn_ls_prate,mn_tot_prate,sst,vort_10,vort_20,vort_30,vort_50,vort_70,vort_100,vort_150,vort_200,vort_250,vort_300,vort_400,vort_500,vort_600,vort_700,vort_800,vort_850,vort_900,vort_925,vort_950,vort_975,vort_1000,rhum_10,rhum_20,rhum_30,rhum_50,rhum_70,rhum_100,rhum_150,rhum_200,rhum_250,rhum_300,rhum_400,rhum_500,rhum_600,rhum_700,rhum_800,rhum_850,rhum_900,rhum_925,rhum_950,rhum_975,rhum_1000,pvor_10,pvor_20,pvor_30,pvor_50,pvor_70,pvor_100,pvor_150,pvor_200,pvor_250,pvor_300,pvor_400,pvor_500,pvor_600,pvor_700,pvor_800,pvor_850,pvor_900,pvor_925,gpot_10,gpot_20,gpot_30,gpot_50,gpot_70,gpot_100,gpot_150,gpot_200,gpot_250,gpot_300,gpot_400,gpot_500,gpot_600,gpot_700,gpot_800,gpot_850,gpot_900,gpot_925,gpot_950,gpot_975,gpot_1000,temp_10,temp_20,temp_30,temp_50,temp_70,temp_100,temp_150,temp_200,temp_250,temp_300,temp_400,temp_500,temp_600,temp_700,temp_800,temp_850,temp_900,temp_925,temp_950,temp_975,temp_1000,vvel_10,vvel_20,vvel_30,vvel_50,vvel_70,vvel_100,vvel_150,vvel_200,vvel_250,vvel_300,vvel_400,vvel_500,vvel_600,vvel_700,vvel_800,vvel_850,vvel_900,vvel_925
0,2020-05-31:18.00.00,1009,9,6.549553393594484e-06,3.061709767730433e-07,-1.4854752184810297e-06,-2.40185828051231e-07,335.6900512933732,353.43932677110035,351.56433403491974,348.83966898123424,343.0572474559148,338.9799679199854,335.4921508391698,336.3236967484156,332.37935531139374,331.3208252429962,15.24128877619126,13.682244834722953,15.088348256944055,13.666943201965962,4.427574978924046,0.6907016965689157,3.3844932556152343,0.9701385498046875,297.4619944254557,301.1073465983073,0.00019140938917795817,0.05324699878692627,0.08029241561889648,0.026151593526204428,-1.9397314948340257e-07,-1.1385806525746981e-07,708.9166666666666,2.352978515625,0.00046470463275909423,-8.511555691560109e-05,-370.05,132.51328125,515768.5686035156,2678864076.8,2816846208.0,2641443.3833333333,2667254946.133333,2817361587.2,-0.1368359883626302,1208.7850911458333,6.522453338063012,-3.63408587872982e-05,-8.157401529947917,0.0,-84.94069010416666,-42.82711995442708,-7.731538899739584,0.0,-226.611865234375,0.0,-3.80085160334905e-05,-305786.45,-27833.283333333333,0.02511599063873291,55.17606964111328,1010.4390488281249,5.2413903176784515e-05,9.64505597949028e-06,5.3169003998239835e-05,9.590480476617814e-06,6.275922060012817e-05,303.36060223381963,-1.2533409365763267e-06,-5.121536863346895e-07,2.1411979105323553e-06,-7.278230623342097e-06,-4.257796293434997e-06,-3.378430847078562e-07,-2.2442856182654698e-05,-2.3392110597342254e-05,-1.9716552924364805e-05,-1.1285433235267798e-05,-5.282904021441937e-06,-3.53641031930844e-06,-8.127264057596524e-07,1.189236839612325e-06,1.7465635513265928e-06,1.1690737058719e-06,9.342640017469724e-07,1.1389764646689097e-06,1.314918821056684e-06,9.089475497603417e-07,1.2985741098721822e-07,0.04803855676824848,0.23402209281921388,0.6045985380808513,4.0121960327029225,82.23041442930699,89.02381307681402,82.51657240490118,80.86942372967799,67.30284762978553,58.05422356153528,62.298034604638815,63.3891031285127,63.40254160563151,65.79413960923752,72.79135119418304,76.5386259590586,80.45147959391277,84.11173470417658,87.57094954252243,87.46264368096988,82.31885732014975,8.909426784763734e-05,3.65841881527255e-05,2.340605230225871e-05,1.1450135692333182e-05,6.851358921267092e-06,1.5022383498338363e-06,1.9027926706864188e-07,5.8125745757327726e-08,5.5666957147574674e-08,1.589794919709675e-07,2.3527736630057917e-07,2.3332316535136972e-07,1.830427208915353e-07,1.675876167913278e-07,1.4827334477255741e-07,1.5448022168129681e-07,8.910331719865401e-08,7.064372766762972e-08,305160.1109375,259814.67838541666,234085.18997395833,202650.12213541666,183416.116015625,163910.81484375,140628.84986979168,122871.59934895833,108199.39934895834,95609.3859375,74767.5123046875,57823.610026041664,43500.96399739583,31039.884895833333,19961.62626953125,14845.2001953125,9973.659114583334,7622.917805989583,5327.554264322916,3088.440087890625,899.7472330729166,230.84452285766602,223.26432622273762,218.78600006103517,208.30543111165363,190.81708221435548,193.24430414835612,207.94411977132162,222.68104604085286,235.46401697794596,245.32111638387045,258.9834851582845,269.10319697062175,276.8241928100586,284.2105097452799,290.5125920613607,293.1806996663411,295.5911387125651,296.6311747233073,297.68290659586586,299.0923736572266,300.96905110677085,0.001077162226041158,-0.0018054962158203125,0.00043479402860005696,0.001072588562965393,0.0025937795639038087,-0.009998055299123128,-0.004699055353800456,-0.0432464599609375,-0.0641855239868164,-0.06988836924235026,-0.06046937306722005,-0.04560082753499349,-0.04624455769856771,-0.05567747751871745,-0.045090738932291666,-0.028809483846028647,-0.014699840545654297,-0.00664059321085612
1,2020-05-31:21.00.00,1007,10,8.15729094067232e-06,6.724656308601991e-07,1.5819292463123415e-08,2.488270526057139e-07,335.3672315120697,352.9318903048833,351.0935039997101,348.5688390016556,342.93322930336,339.0543225288391,335.55110648473106,336.30391259988147,332.0827290534973,330.9722764571508,15.387961912962298,13.68858781544647,15.242161076609046,13.637698387461326,4.613237654497303,0.7196650740702656,3.7085914611816406,0.7548528035481771,297.4083541870117,300.6718434651693,0.0002928201109170914,0.06406077543894449,0.09698794682820638,0.041456953684488936,-2.1490171396483976e-07,6.139744073152542e-08,1013.7895833333333,2.660286458333333,0.0013525277376174928,-0.00010593514889478683,-284.065625,469.83802083333336,500712.1498738607,2673599078.4,2812067097.6,2636293.55,2662109772.8,2812567705.6,-0.451928965250651,1299.2884765625,7.096775202515224,-3.951932109581928e-05,-10.755582682291667,0.0,-98.7347900390625,-39.757318115234376,-11.049015299479167,0.0,-218.09597981770833,0.0,-0.00012553371489048003,-355446.31666666665,-39776.45,0.04111031691233317,55.37003784229358,1009.3551341145834,8.895161251227061e-05,4.27547221382459e-05,8.133801942070326e-05,3.918713579575221e-05,0.00012052683159708976,303.3700856684435,-1.1865534664442141e-06,-1.964427065104246e-06,3.3235284111772974e-06,-5.487193508694569e-06,-5.296208352471392e-06,-1.0454551860069235e-06,-2.0779025120039782e-05,-2.230268825466434e-05,-1.9589322619140148e-05,-1.2031577837963898e-05,-4.382470312217871e-06,-2.7178709084788957e-06,-4.2207539081573485e-07,9.124632924795151e-07,1.454586163163185e-06,6.954185664653778e-07,-4.3104713161786396e-08,1.7369166016578673e-08,9.556921819845835e-08,1.9896930704514187e-07,-6.349291652441025e-07,0.045187637706597644,0.2513237436612447,0.6110442201296489,4.096288617451986,79.59174194335938,88.70710368553797,82.53468990822633,82.70183766682943,71.5175263904035,61.98776663939158,63.71100110610326,65.06965482234955,65.96740196521084,67.51151207387447,74.41928460846344,78.55444545696179,82.73529103597005,86.13278299967448,89.56240804195404,89.8349257181088,84.78771578570208,8.865050040185452e-05,3.596975293476135e-05,2.3459576186724008e-05,1.143816625699401e-05,7.040441172042241e-06,1.4943837110574046e-06,1.9389620623163258e-07,7.289345376193523e-08,5.1886490837205204e-08,1.608366195190077e-07,2.4369583115912976e-07,2.4687524273758755e-07,1.8510424221555392e-07,1.6914273146539926e-07,1.5177744595954817e-07,1.5078112483024598e-07,8.722417987883091e-08,5.647889338433742e-08,304867.09296875,259534.96328125,233873.88854166667,202464.675390625,183170.214453125,163671.66276041666,140403.46979166666,122663.778515625,108014.147265625,95439.82265625,74615.00403645834,57678.126627604164,43364.7279296875,30910.967057291666,19842.725651041666,14732.919563802083,9868.28828125,7520.921842447917,5228.634765625,2992.138395182292,805.7896484375,231.39791056315104,222.63999659220377,218.68202438354493,208.19189987182617,191.00257212320963,193.2375035603841,207.77753601074218,222.36607182820637,235.11816431681316,245.04706217447918,258.8463989257813,268.984405263265,276.5994216918945,283.99086608886716,290.1731623331706,292.77240397135415,295.1505442301432,296.2108749389648,297.2824401855469,298.64937896728514,300.52427876790364,2.5728344917297362e-05,-0.0008446623881657919,-0.00036543806393941246,-0.00190543532371521,0.005310630798339844,-0.008743476867675782,-0.007734282811482748,-0.04137112299601237,-0.07455682754516602,-0.08751926422119141,-0.08538386027018229,-0.08409233093261718,-0.08621711730957031,-0.09243348439534506,-0.06515115102132162,-0.04509118398030599,-0.024689737955729166,-0.012679513295491536
2,2020-06-01:00.00.00,1007,11,9.613719445359117e-06,9.67061577865358e-08,2.0451470044875745e-07,-7.525371993209508e-07,334.2266784588496,352.9756571531296,350.93519786198937,348.6099269469579,343.8340125799179,339.3259469032288,335.83914608160654,336.4075320402781,331.64726939996086,330.3187009334564,15.693301137397066,13.689407228418473,15.94798581043724,14.020157917689842,4.855222070023834,0.7574146426387718,3.6595179767529498,0.5020746887966805,297.5797006440855,300.4850861482106,0.0003541900903852154,0.07346664523682654,0.10195357769851368,0.06521331027335646,2.513189425235962e-07,-1.566389892482164e-07,838.1845014263486,2.4195186884076763,-0.0014693947253880165,-0.00010269956037216661,-1043.30005186722,-460.33313342842325,527192.9324672588,2671801103.93361,2810231668.846473,2634484.7178423237,2660267070.6721992,2810759126.572614,-0.39393140864075465,971.5204875518672,7.098873183440371,-4.6512166243935337e-05,-10.791873662798237,0.0,-104.2881771103475,-41.21189380186722,-12.689041834154564,0.0,-211.29607571803683,0.0,-0.00010942282827563305,-375437.8049792531,-45680.609958506226,0.04574315082977422,55.35538897375843,1009.1145539419086,9.275948110952417e-05,5.142863731661278e-05,9.838739000415406e-05,5.010422705614715e-05,0.00014849072051740782,303.3444531145331,-1.472744634722773e-06,-3.049456605231737e-06,4.470231822069688e-06,-4.409718980792431e-06,-5.5449702235951215e-06,-1.2399364529463512e-06,-1.9303897851730282e-05,-2.1098542927582727e-05,-1.8951137206242785e-05,-1.1230781249300078e-05,-2.480278185789021e-06,-1.6587338105029586e-06,5.4820506404544305e-08,5.714002131055499e-07,1.8700223060564381e-06,1.3171509681153594e-06,-2.326799317019609e-07,-8.122456410737453e-07,-6.610380787077781e-07,-3.648388558898229e-08,-3.8088871266584673e-07,0.04468841032275768,0.24571279173570054,0.5739594247825908,4.2754185822989434,69.79982126995736,85.74530788674889,81.55866450194996,86.63183973735794,78.3356408414999,64.16769604762065,68.89021130889283,67.44850899767579,69.90233089716108,69.72742199229997,75.14567049904977,78.60378573247506,82.19995420008775,85.58845048326674,89.47843638693149,88.57757558862204,83.22261721662466,9.000097706728456e-05,3.580129032720777e-05,2.4575220396321003e-05,1.1569732912193938e-05,7.236126425803573e-06,1.5163495996580517e-06,1.8772874101155913e-07,7.709579403281281e-08,6.196379100737699e-08,1.4845881275629772e-07,2.776684833780372e-07,2.646570408396052e-07,1.9992429509959897e-07,1.683157237818565e-07,1.6027195639985603e-07,1.552115127838437e-07,6.196332305159683e-08,3.755958006945265e-08,304866.14859958505,259572.6836099585,233895.78034232365,202496.95824688795,183147.0927126556,163612.1875,140342.36566390042,122604.45215248963,107958.89030082988,95391.58713692946,74552.46414678423,57611.62840378631,43306.44108207987,30863.79086164419,19804.520244424275,14699.072144061203,9839.379676154045,7494.649029110477,5205.118751620851,2970.297902214082,784.586083376556,231.50709419725348,222.79700947995008,219.0990624645439,207.9535454081302,191.94432264145973,193.38781136793713,207.68761149679477,222.37313906087914,234.93538605622732,245.03068612126393,259.0587464645196,268.904498974812,276.30363166777425,283.7542969003258,289.9384887188797,292.5445933994911,294.87817066240115,295.92202277599034,296.97541068302644,298.50152841148537,300.42240544869196,0.00016899275520035836,0.0003567115399847387,0.002240934065268742,-0.0014843594483814793,0.006196800851228326,-0.0016829198326807299,0.0005123249228069891,-0.038578025532955945,-0.07451339974937597,-0.08386538731112025,-0.08887936366544225,-0.08323452185793041,-0.07259225251763689,-0.06865796607559647,-0.027372324615098628,-0.009275859816935052,0.005940714317733321,0.016104045250603768
3,2020-06-01:03.00.00,1007,13,8.478898349733911e-06,-1.2389602718568726e-07,1.5905745527142422e-06,-6.541119180645052e-07,334.3064078966776,352.94834385712943,350.72418689727783,348.4384212414424,344.0120059887568,339.24109484354653,335.83462932904564,336.118324247996,330.74581090609234,329.7746432940165,16.757439456313538,14.861430726666004,16.954563096926236,15.12923562428914,5.236501569217459,0.8168942446696746,3.3779728679736127,0.3999360270519969,297.6192160958571,300.8086445282109,0.0002857627834027239,0.06835385081184356,0.09330407613540587,0.06625271239221343,4.546767046590069e-08,-1.2660576842137887e-07,772.7171159799663,2.591332906509336,-0.0011756736707885236,-7.610219333676382e-05,-895.9502074688796,-310.69421032157675,560288.5567946058,2677705771.551867,2815456829.6099586,2640580.041493776,2666330994.7219915,2816016884.315353,-0.3209367807475363,968.7223807053942,7.799404543959748,-5.800592427091727e-05,-29.160986935943985,76.88587590767635,-126.49244582306794,-45.31004675394272,-28.073504562694502,506.0519806794606,-211.8516222688667,299.34935814315355,-8.914882464032945e-05,-455372.6265560166,-101064.39419087138,0.04794508589748525,55.08353319603378,1010.7829330912863,7.622976520744102e-05,5.1456059163042124e-05,7.937843930671818e-05,5.015533000107128e-05,0.00012952361364087624,303.35180973318745,-2.500109004505999e-07,-3.864137427804072e-06,5.69102598530051e-06,-4.372857892653939e-06,-4.97618096221733e-06,-1.2747356373453474e-06,-1.709207273387887e-05,-2.032040166224187e-05,-1.9502241543157963e-05,-1.0055571956815066e-05,-2.775844611629411e-06,-1.3969857941277295e-06,1.1463073773997452e-06,7.907943065854029e-07,2.3322568286627654e-06,5.891900200443149e-07,-2.045845187798575e-06,-2.482338881900696e-06,-2.657629441299874e-06,-2.345921378969157e-06,-2.0864079571116517e-06,0.04362406642601296,0.23524377603253882,0.5702895311893764,4.43463401453129,63.640466523862976,85.94383904548107,77.87409042421713,86.08189928754237,77.30017946023663,63.582457585948134,67.94189745855529,65.8271914918393,69.41843894260059,68.63336558510159,72.26970223025168,77.44781020765977,82.16907455416636,85.5066247955892,88.64628063099018,87.22426263326432,81.6933946095067,9.104581858916402e-05,3.604915050289273e-05,2.489026839491289e-05,1.1588987994347835e-05,7.333910707152483e-06,1.5420829408697753e-06,2.447871251719621e-07,9.298042090623195e-08,6.540571521176412e-08,1.5290595503636014e-07,2.6028515641573676e-07,2.6816677334607304e-07,2.032323499863264e-07,1.6769288973380422e-07,1.6464157652156233e-07,1.2175539166461753e-07,-8.728311211643625e-09,-5.665857632764271e-08,305198.83843361,259809.04745850622,234117.14782157677,202697.64626556018,183330.99403526972,163768.55770228215,140489.98508817426,122751.31729771785,108109.55433091287,95548.83298755187,74709.22121369294,57760.26192946058,43453.4078060166,31009.800376037343,19949.40012318465,14844.382958376556,9985.745202282158,7641.140821528138,5350.712301040586,3115.0104524604512,928.3970921939834,231.6189773369627,223.25892620165814,219.19739187406802,207.72745947620186,192.5716022792199,193.41063003223468,207.73043069799905,222.3634936700718,234.82340408261882,244.94642873423723,259.18880364509045,268.9859902789484,276.33262412676675,283.7870680939607,290.0241955009239,292.52320868147854,294.8276007561268,295.95416740955653,297.0969901816974,298.61784824988655,300.55171197281834,-0.0009056543042550938,0.0013782602128151542,-0.00015763326304582144,-0.003244940918016236,0.0030842965074594584,-0.00484192000385142,-0.0013752616787352503,-0.032365114362408014,-0.06797769554423098,-0.07562618730473815,-0.08827898017598386,-0.08626015057702283,-0.0669245423123055,-0.05030753107981068,-0.015687823790237615,-0.0060415386658981135,0.003474120777177613,0.010848575607869636
4,2020-06-01:06.00.00,1006,15,6.066197449576726e-06,1.4284195222931395e-06,4.451718012857004e-06,5.739204798758078e-07,335.0774021625519,353.40023946762085,350.8309030214945,348.5850143750509,344.4551721572876,339.33304706414543,335.95793565909065,336.1700025399526,330.6265254656474,330.17030266126,17.996493364218622,15.820754312576415,18.02003591119816,15.92715667654605,5.4051116906184085,0.8431974233365812,3.182037607828776,0.5851804097493489,297.6326685587565,301.97098541259766,0.00027313741544882455,0.0759738286336263,0.10720713933308919,0.07996482849121093,-4.237440104285876e-07,7.349687318007152e-08,1166.9057291666666,3.2633382161458333,0.001153607169787089,-9.83471671740214e-05,-377.35651041666665,545.8591145833333,589965.1708007812,2679651618.133333,2817510434.133333,2642451.05,2668233898.6666665,2818100488.5333333,-0.4277460734049479,1009.3852864583333,8.295134735107421,-6.707063294015825e-05,-46.53933512369792,364.9845296223958,-157.25781656901043,-54.9276123046875,-64.34075520833333,1179.148828125,-221.4610331217448,846.1203369140625,-0.00011881732692321141,-566127.9,-231626.53333333333,0.05347962379455566,55.126486206054686,1010.9071126302083,7.708802198370298e-05,5.845694492260615e-05,7.587013145287832e-05,5.770114560921987e-05,0.00013357270509004593,303.35110860232,-4.5862204084793726e-07,-4.373329769199093e-06,5.974524538032711e-06,-5.602283636108041e-06,-3.414828097447753e-06,-1.5853166890641053e-06,-1.6346434131264685e-05,-2.0578751961390177e-05,-2.0127611545224985e-05,-1.0659685358405113e-05,-4.390440881252289e-06,-2.3930488775173825e-06,2.0208535715937614e-06,8.348608389496803e-07,1.8865413342912992e-06,-4.091300070285797e-07,-2.6198880126078925e-06,-3.335694782435894e-06,-3.576790913939476e-06,-3.068467291692893e-06,-2.679073562224706e-06,0.04713267783323924,0.20797681601446433,0.5949164112408956,4.8502863566080725,63.25819245427847,89.90757591525714,75.3177028859655,82.2143702355524,73.9257303873698,62.7090183754762,67.84764566918214,64.67271100183328,69.39015302682917,67.65412402252356,70.9024429321289,77.29998578329881,80.5423817952474,82.3459696451823,84.6683853149414,82.95840657552084,77.3204778512319,8.635365714629492e-05,3.610631877866884e-05,2.4871636802951495e-05,1.1582511554782589e-05,7.35822298641627e-06,1.4685128311005732e-06,2.576109788302953e-07,9.152657488205781e-08,5.699075700249523e-08,1.4473547101564085e-07,2.430749494427194e-07,2.644585644399437e-07,2.026417253849407e-07,1.6510214967032274e-07,1.4925414385894933e-07,7.50393761942784e-08,-8.841937718292077e-08,-1.4036583403746287e-07,305264.82708333334,259835.30026041667,234120.84596354168,202732.065625,183431.80234375,163877.27213541666,140596.78919270833,122840.590234375,108184.67955729166,95621.18919270833,74768.13053385417,57807.375260416666,43499.300390625,31052.847135416665,19988.034798177083,14881.035514322917,10017.40224609375,7668.129264322916,5372.323795572916,3131.874479166667,941.2060546875,230.92497889200845,224.1980288187663,218.8459248860677,207.151389058431,192.55719146728515,193.1903429667155,207.88457946777345,222.64874013264975,234.928697458903,245.03917541503907,259.3989214579264,269.1103978474935,276.3597620646159,283.91595255533855,290.14944508870445,292.6562876383463,295.30076853434247,296.65118001302085,297.9151331583659,299.46524505615236,301.4110422770182,-0.0023295330504576367,-0.0001676023006439209,-0.00018473764260609944,-0.003948185841242472,-0.006428547700246175,-0.013837989171346028,-0.008344904581705729,-0.03157329559326172,-0.06214555104573568,-0.07754141489664713,-0.11264959971110027,-0.13443406422932944,-0.11924184163411458,-0.09272041320800781,-0.059833717346191403,-0.03859370549519857,-0.025938669840494793,-0.017274125417073568
5,2020-06-01:09.00.00,1004,13,7.184855360228779e-06,4.082879559647642e-06,5.062434129462391e-06,-7.267208732025336e-07,335.99919460614524,353.9482728322347,351.28094055652616,349.0474059820175,344.78684860865275,339.3012487093608,335.5608778238296,336.0527808348337,331.1227301120758,330.7982054233551,18.04196133959728,15.61668682047166,18.07596963859784,15.73197673878943,5.338697090459755,0.832836745519065,3.2298482259114585,0.5808934529622396,297.4746699015299,302.5429173787435,0.00042108427733182906,0.10757318337758383,0.11447968482971191,0.08295933405558269,-1.26473605632782e-07,1.6118865460157393e-07,1621.6739583333333,3.742333984375,0.0020434945821762086,-0.00012952759861946107,-415.07604166666664,887.1091145833333,598714.6333333333,2673589666.133333,2810612915.2,2636019.475,2661697271.4666667,2811211767.4666667,-0.5026639302571615,1141.216015625,8.638211015611887,-6.536333433662852e-05,-41.918314615885414,354.22864990234376,-162.34576822916668,-53.59320882161458,-53.85616861979167,1229.5566813151042,-221.0001993815104,851.8864501953125,-0.0001396254946788152,-584444.6166666667,-193883.08333333334,0.05892731348673503,54.79255676269531,1008.8666184895833,0.0001253969967365265,7.325907548268636e-05,0.00011696792207658291,7.409580672780672e-05,0.00019106697291135789,303.3659561666591,-2.7962727472186088e-06,-4.431146468656758e-06,5.2025037196775275e-06,-7.86562159191817e-06,-3.283245799442132e-06,-4.357549672325452e-06,-1.649825911348065e-05,-2.2071320563554765e-05,-2.072470961138606e-05,-1.4530991514523824e-05,-6.4603984355926515e-06,-3.042126384874185e-06,1.466188890238603e-06,3.2862493147452674e-07,5.220451081792513e-07,-1.1160271242260933e-06,-2.6506371796131133e-06,-3.332505002617836e-06,-3.4972714881102243e-06,-2.7260355030496916e-06,-2.3299828171730043e-06,0.05195124117599335,0.19633687734603883,0.6017508506774902,5.068537469084064,71.55335488965115,93.98092244466146,74.79558690985044,78.45925083210071,70.81607102851073,62.2616400214533,66.48833672578137,64.0043183679382,69.18836519444982,66.95032987048229,71.25080248514811,76.00491370558738,78.62994181315104,80.60853220621745,82.96677888880173,81.04518351207177,75.8308667053779,8.328381615380446e-05,3.647618480802824e-05,2.519129872477303e-05,1.1994136730208994e-05,7.395780024429163e-06,1.3679491530638188e-06,2.4638769294445716e-07,7.640252685329566e-08,7.634122691039617e-08,1.317934220423922e-07,2.4449254851788285e-07,2.7963093695386003e-07,2.0647518491993348e-07,1.650410316263636e-07,1.3464208071430523e-07,7.571070455014706e-08,-9.524131504197915e-08,-1.450418494641781e-07,305021.81223958335,259669.80625,233928.46979166666,202527.53671875,183330.426953125,163820.29010416666,140544.885546875,122760.30377604166,108083.16888020834,95504.02643229166,74624.23509114583,57654.34752604167,43350.79778645833,30907.643815104166,19839.427408854168,14727.630794270834,9855.506119791668,7501.530436197917,5201.7818359375,2958.7540201822917,766.4807779947917,230.07431081136068,224.6800328572591,218.7851448059082,206.94576619466145,191.71296768188478,192.8901336669922,208.16629333496093,222.99845403035482,235.24526799519856,245.32194900512695,259.65743789672854,269.14868621826173,276.1998051961263,283.9793202718099,290.2808303833008,293.0588190714518,295.87547556559247,297.2522272745768,298.49446360270184,300.0634694417318,301.97570241292317,-0.0019557212789853414,-0.001513784130414327,-0.0005889217058817546,0.00045699278513590494,-0.00816536545753479,-0.01958688497543335,-0.02594334284464518,-0.050205326080322264,-0.08294194539388021,-0.10951175689697265,-0.1592760721842448,-0.17361507415771485,-0.15679810841878256,-0.12314573923746745,-0.08267237345377604,-0.05440937678019206,-0.03801170984903971,-0.02889216740926107
6,2020-06-01:12.00.00,1003,13,6.812030680934667e-06,4.720118870831999e-06,2.4386355872627745e-06,-2.1801493149852086e-06,335.6188091754913,354.73642596403755,352.085534397761,349.6950132926305,345.1979598045349,339.24902923107146,334.97669423421223,335.7440351963043,331.472775944074,330.5548116922379,17.394873060255,15.96199696396167,17.5124910317827,16.185954162152484,5.396366498892894,0.8418331733129889,3.689655303955078,0.7062756856282552,297.49196370442706,302.4305648803711,0.0005476596454779307,0.13088484605153403,0.08903131484985352,0.06472775141398111,-3.1176023185253143e-07,-3.9348378777503967e-07,1678.6697916666667,3.9709228515625,-0.000885660449663798,-0.00015939082950353623,-1439.3744791666666,-153.31171875,632506.7454264323,2671089715.2,2806106077.866667,2633479.95,2658951500.8,2806739404.8,-0.5538831075032552,982.7468098958333,8.333446102465192,-5.5154366418719294e-05,-14.000439453125,117.15359700520834,-134.33612060546875,-46.68484090169271,-23.09544677734375,634.2327880859375,-208.91364135742188,379.7931315104167,-0.00015385734538237255,-483609.86666666664,-83142.83333333333,0.05619183381398519,53.98983561048905,1007.7967669270834,0.00014877850189805032,5.802921950817108e-05,0.0001521284847209851,5.917300780614217e-05,0.0002113006388147672,303.3846547985952,-6.425943380842606e-06,-3.1162654825796683e-06,4.204058980879684e-06,-8.216941690382858e-06,-5.373770060638587e-06,-7.416214793920517e-06,-1.6176541491101184e-05,-2.1673603138575952e-05,-2.0940923908104498e-05,-1.900731585919857e-05,-7.004034705460071e-06,-1.7523571538428465e-06,7.279450073838234e-07,4.5347648362318676e-07,-6.113046159346898e-07,-1.8822184453407923e-06,-2.9600846270720165e-06,-3.44976627578338e-06,-3.516441211104393e-06,-3.3940887078642845e-06,-2.8990286712845167e-06,0.050759772309296146,0.19502110878626505,0.5928143138686816,4.2771888462205725,74.35176055878401,96.3828135172526,78.58244773447514,79.743224538366,76.76750907202562,63.89400124723713,66.83235275199016,63.90716814920306,66.97174611290296,65.39377899169922,70.91819219986597,73.49389542937278,76.56613074839115,79.2527833799521,81.85230051676432,79.98948635061582,74.90853916009267,8.201259188354016e-05,3.686695320842167e-05,2.5471025340569518e-05,1.2196385068818926e-05,7.653523061890155e-06,1.2348507880233229e-06,2.3823267838452012e-07,8.301352257452284e-08,1.0243323534571877e-07,9.457823277140657e-08,2.73324743223687e-07,2.8543272492242975e-07,2.0805261253068844e-07,1.687556505203247e-07,1.357179523135225e-07,1.0593115196873745e-07,-3.2188836485147475e-09,-2.0633645666142306e-08,305071.9518229167,259835.7453125,234054.703515625,202573.34635416666,183308.76953125,163837.34140625,140575.47369791666,122757.38125,108052.916796875,95456.04713541667,74544.97825520833,57574.2306640625,43272.51477864583,30830.186263020834,19756.9677734375,14640.533561197917,9764.699609375,7409.803678385417,5109.82177734375,2866.7315266927085,674.2259765625,230.4228838602702,224.75645650227864,218.91968892415363,208.05927149454752,191.58831634521485,192.50507303873698,208.38350372314454,223.46821568806965,235.64455134073893,245.66534016927082,259.86375783284507,269.0967839558919,276.14559173583984,284.0772267659505,290.49175720214845,293.37719777425133,296.08155670166013,297.3579564412435,298.59644775390626,300.16663665771483,302.07354838053385,-0.0007932546238104502,4.828969637552897e-05,0.0012918959061304729,0.005100067456563314,0.003907326857248942,-0.013966484864552816,-0.04171298344930013,-0.07057539621988933,-0.10705254872639974,-0.1396853764851888,-0.16845652262369792,-0.1692047119140625,-0.14998950958251953,-0.12358951568603516,-0.060305213928222655,-0.02359161376953125,-0.004696400960286459,0.001306915283203125
