year,basin,region,no,name,time,intensity,lat,lon
2004,WP,MM,67,MUIFA,2004-11-22:00:00:00,TS,11.475,113.675
2004,WP,MM,68,MUIFA,2004-11-22:03:00:00,TS,11.2769,113.313
2004,WP,MM,69,MUIFA,2004-11-22:06:00:00,TS,11.075,113
2004,WP,MM,70,MUIFA,2004-11-22:09:00:00,TS,10.9262,112.794
2004,WP,MM,71,MUIFA,2004-11-22:12:00:00,TS,10.8,112.625
2004,WP,MM,72,MUIFA,2004-11-22:15:00:00,TS,10.6712,112.413
2004,WP,MM,73,MUIFA,2004-11-22:18:00:00,TS,10.55,112.2
2004,WP,MM,74,MUIFA,2004-11-22:21:00:00,TS,10.445,112.024
2004,WP,MM,75,MUIFA,2004-11-23:00:00:00,TS,10.325,111.825
2004,WP,MM,76,MUIFA,2004-11-23:03:00:00,TS,10.1481,111.549
2004,WP,MM,77,MUIFA,2004-11-23:06:00:00,TS,9.975,111.25
2004,WP,MM,78,MUIFA,2004-11-23:09:00:00,TS,9.86373,110.982
2004,WP,MM,79,MUIFA,2004-11-23:12:00:00,TS,9.775,110.725
2004,WP,MM,80,MUIFA,2004-11-23:15:00:00,TS,9.68619,110.488
2004,WP,MM,81,MUIFA,2004-11-23:18:00:00,TS,9.575,110.225
2004,WP,MM,82,MUIFA,2004-11-23:21:00:00,TS,9.41118,109.911
2004,WP,MM,83,MUIFA,2004-11-24:00:00:00,TS,9.225,109.525
2004,WP,MM,84,MUIFA,2004-11-24:03:00:00,TS,9.05178,109.081
2004,WP,MM,85,MUIFA,2004-11-24:06:00:00,TS,8.875,108.55
2004,WP,MM,86,MUIFA,2004-11-24:09:00:00,TS,8.67245,107.944
2004,WP,MM,87,MUIFA,2004-11-24:12:00:00,TS,8.5,107.213
2004,WP,MM,88,MUIFA,2004-11-24:15:00:00,TS,8.38558,106.417
2004,WP,MM,89,MUIFA,2004-11-24:18:00:00,TS,8.36154,105.523
2004,WP,MM,90,MUIFA,2004-11-24:21:00:00,TS,8.49238,104.532
2004,WP,MM,91,MUIFA,2004-11-25:00:00:00,TS,8.63333,103.667
2004,WP,MM,92,MUIFA,2004-11-25:03:00:00,TS,8.61418,102.741
2004,WP,MM,93,MUIFA,2004-11-25:06:00:00,TS,8.6,101.864
2004,WP,MM,94,MUIFA,2004-11-25:09:00:00,TS,8.70348,101.086
2004,WP,MM,95,MUIFA,2004-11-25:12:00:00,TS,8.9375,100.45
2004,NI,BB,96,MUIFA,2004-11-25:15:00:00,TS,9.38332,99.8979
2004,NI,BB,97,MUIFA,2004-11-25:18:00:00,TS,9.95,99.575
2004,NI,BB,98,MUIFA,2004-11-25:21:00:00,TS,10.595,99.5641
2004,NI,BB,99,MUIFA,2004-11-26:00:00:00,TS,11.3,99.9
