time,latitude,longitude
2009-11-09:03.00.00,11,72
2009-11-09:06.00.00,11.6333,71.4333
2009-11-09:09.00.00,11.9176,71.2202
2009-11-09:12.00.00,12.1286,71.0857
2009-11-09:15.00.00,12.367,70.9207
2009-11-09:18.00.00,12.65,70.8
2009-11-09:21.00.00,13.0387,70.7888
2009-11-10:00.00.00,13.45,70.8
2009-11-10:03.00.00,13.9134,70.955
2009-11-10:06.00.00,14.35,71.15
2009-11-10:09.00.00,14.6451,71.1837
2009-11-10:12.00.00,14.95,71.3
2009-11-10:15.00.00,15.3675,71.6351
2009-11-10:18.00.00,15.8,71.75
2009-11-10:21.00.00,16.4951,72.175
2009-11-11:00.00.00,17,72.6
2009-11-11:03.00.00,17.8562,72.7002
2009-11-11:06.00.00,18.75,73.3
2009-11-11:09.00.00,19.3626,73.7058
2009-11-11:12.00.00,19.7,73.9
