time,latitude,longitude
2017-05-27:06.00.00,13.9,87.4
2017-05-27:09.00.00,13.8378,87.9201
2017-05-27:12.00.00,13.8,88.4
2017-05-27:15.00.00,13.8124,88.815
2017-05-27:18.00.00,13.9,89.2
2017-05-27:21.00.00,14.0399,89.6002
2017-05-27:00.00.00,14.24,89.7
2017-05-28:03.00.00,14.6567,90.1297
2017-05-28:06.00.00,15.1143,90.4572
2017-05-28:09.00.00,15.4649,90.7301
2017-05-28:12.00.00,15.75,90.85
2017-05-28:15.00.00,16.0212,91.0001
2017-05-28:18.00.00,16.3,91.1
2017-05-28:21.00.00,16.6175,91.1888
2017-05-29:00.00.00,17,91.25
2017-05-29:03.00.00,17.3138,91.325
2017-05-29:06.00.00,17.75,91.45
2017-05-29:09.00.00,18.2388,91.5612
2017-05-29:12.00.00,18.65,91.6
2017-05-29:15.00.00,18.9925,91.5964
2017-05-29:18.00.00,19.85,91.65
2017-05-29:21.00.00,20.2513,91.7212
2017-05-30:00.00.00,21,91.9
2017-05-30:03.00.00,21.8988,91.9716
2017-05-30:06.00.00,23,92
2017-05-30:09.00.00,23.9274,92.1737
2017-05-30:12.00.00,24.65,92.35
2017-05-30:15.00.00,25.1952,92.5802
2017-05-30:18.00.00,25.65,92.85
