time,latitude,longitude
2009-12-10:09.00.00,6.5,85
2009-12-10:12.00.00,6.5,85
2009-12-10:15.00.00,6.46589,85.034
2009-12-10:18.00.00,6.66,85
2009-12-10:21.00.00,7.05891,84.7804
2009-12-11:00.00.00,7.42857,84.6286
2009-12-11:03.00.00,7.68624,84.6562
2009-12-11:06.00.00,8.35,84.7
2009-12-11:09.00.00,8.70751,84.7825
2009-12-11:12.00.00,8.8,84.85
2009-12-11:15.00.00,9.18249,84.8513
2009-12-11:18.00.00,9.3,84.8
2009-12-11:21.00.00,9.61501,84.7113
2009-12-12:00.00.00,9.9,84.6
2009-12-12:03.00.00,9.93999,84.5038
2009-12-12:06.00.00,9.95,84.4
2009-12-12:09.00.00,9.91876,84.0212
2009-12-12:12.00.00,9.85,83.65
2009-12-12:15.00.00,9.74999,83.5637
2009-12-12:18.00.00,9.4,83.5
2009-12-12:21.00.00,9.29191,83.3251
2009-12-13:00.00.00,9.3,83.15
2009-12-13:03.00.00,9.27125,83.0825
2009-12-13:06.00.00,9,83
2009-12-13:09.00.00,8.9201,82.9245
2009-12-13:12.00.00,8.95,82.8
2009-12-13:15.00.00,8.94626,82.5725
2009-12-13:18.00.00,8.95,82.3
2009-12-13:21.00.00,9.0161,82.0607
2009-12-14:00.00.00,8.95,81.8
2009-12-14:03.00.00,8.59998,81.5137
2009-12-14:06.00.00,8.5,81.5
2009-12-14:09.00.00,8.485,81.2038
2009-12-14:12.00.00,8.5,81.1286
2009-12-14:15.00.00,8.50332,81.0886
2009-12-14:18.00.00,8.5,81.025
2009-12-14:21.00.00,8.50008,80.8011
2009-12-15:00.00.00,8.5,80.5
