time,latitude,longitude
2010-05-15:12.00.00,9.3,56.5
2010-05-15:15.00.00,9.31508,56.795
2010-05-15:18.00.00,9.4,57
2010-05-15:21.00.00,9.59247,57.0525
2010-05-16:00.00.00,9.8,57
2010-05-16:03.00.00,9.92244,56.9525
2010-05-16:06.00.00,10,56.8
2010-05-16:09.00.00,10.0802,56.4425
2010-05-16:12.00.00,10.1,56.1
2010-05-16:15.00.00,10.0299,55.9524
2010-05-16:18.00.00,9.9,56
2010-05-16:21.00.00,9.72753,56.2401
2010-05-17:00.00.00,9.6,56.6
2010-05-17:03.00.00,9.65756,56.9723
2010-05-17:06.00.00,9.7,57.3
2010-05-17:09.00.00,9.53745,57.5251
2010-05-17:12.00.00,9.3,57.6
2010-05-17:15.00.00,9.04747,57.5174
2010-05-17:18.00.00,8.9,57.3
2010-05-17:21.00.00,8.99008,56.9926
2010-05-18:00.00.00,9.2,56.7
2010-05-18:03.00.00,9.37744,56.5849
2010-05-18:06.00.00,9.6,56.5
2010-05-18:09.00.00,9.89996,56.3375
2010-05-18:12.00.00,10.2,56.1
2010-05-18:15.00.00,10.4225,55.7875
2010-05-18:18.00.00,10.6,55.4
2010-05-18:21.00.00,10.7651,54.935
2010-05-19:00.00.00,10.9,54.5
2010-05-19:03.00.00,11.0074,54.2199
2010-05-19:06.00.00,11.1,54
2010-05-19:09.00.00,11.066,53.794
2010-05-19:12.00.00,11.2,53.6667
2010-05-19:15.00.00,11.41,53.3728
2010-05-19:18.00.00,11.45,53.3
2010-05-19:21.00.00,11.5175,52.9925
2010-05-20:00.00.00,11.6,52.95
2010-05-20:03.00.00,11.6787,52.9
2010-05-20:06.00.00,11.75,52.85
2010-05-20:09.00.00,12.0537,52.8
2010-05-20:12.00.00,12.35,52.5
2010-05-20:15.00.00,12.4512,52.1657
2010-05-20:18.00.00,12.45,51.9
2010-05-20:21.00.00,12.5037,51.8197
2010-05-21:00.00.00,12.55,51.8
2010-05-21:03.00.00,12.5788,51.7138
2010-05-21:06.00.00,12.6,51.65
2010-05-21:09.00.00,12.6362,51.6675
2010-05-21:12.00.00,12.65,51.7
2010-05-21:15.00.00,12.6037,51.69
2010-05-21:18.00.00,12.55,51.65
2010-05-21:21.00.00,12.5425,51.3288
2010-05-22:00.00.00,12.55,51
2010-05-22:03.00.00,12.55,50.9463
2010-05-22:06.00.00,12.55,50.9
2010-05-22:09.00.00,12.55,50.6075
2010-05-22:12.00.00,12.55,50.55
2010-05-22:15.00.00,12.55,50.4763
2010-05-22:18.00.00,12.55,50.35
