time,latitude,longitude
2006-09-19:06.00.00,19.4,68.7
2006-09-19:09.00.00,19.4126,68.535
2006-09-19:12.00.00,19.4,68.4
2006-09-19:15.00.00,19.3499,68.3075
2006-09-19:18.00.00,19.3,68.2
2006-09-19:21.00.00,19.285,68.015
2006-09-20:00.00.00,19.3,67.8
2006-09-20:03.00.00,19.3425,67.5925
2006-09-20:06.00.00,19.4,67.4
2006-09-20:09.00.00,19.45,67.2425
2006-09-20:12.00.00,19.5,67.1
2006-09-20:15.00.00,19.5575,66.9425
2006-09-20:18.00.00,19.6,66.8
2006-09-20:21.00.00,19.6075,66.6925
2006-09-21:00.00.00,19.6,66.6
2006-09-21:03.00.00,19.574,66.394
2006-09-21:06.00.00,19.5667,66.2667
2006-09-21:09.00.00,19.5771,66.1914
2006-09-21:12.00.00,19.6,66.15
2006-09-21:15.00.00,19.65,66.1425
2006-09-21:18.00.00,19.7,66.15
2006-09-21:21.00.00,19.725,66.1712
2006-09-22:00.00.00,20,66.2
2006-09-22:03.00.00,20.05,66.225
2006-09-22:06.00.00,20.1,66.25
2006-09-22:09.00.00,20.1287,66.2713
2006-09-22:12.00.00,20.4,66.55
2006-09-22:15.00.00,20.4288,66.6
2006-09-22:18.00.00,20.45,66.65
2006-09-22:21.00.00,20.45,66.675
2006-09-23:00.00.00,20.7,66.95
2006-09-23:03.00.00,20.7325,67
2006-09-23:06.00.00,20.75,67.05
2006-09-23:09.00.00,20.7075,67.0863
2006-09-23:12.00.00,20.65,67.1
2006-09-23:15.00.00,20.625,67.0825
2006-09-23:18.00.00,20.6,67.05
2006-09-23:21.00.00,20.5537,67.025
2006-09-24:00.00.00,20.5,67
2006-09-24:03.00.00,20.45,66.9713
2006-09-24:06.00.00,20.3143,66.9429
2006-09-24:09.00.00,20.1283,66.9333
2006-09-24:12.00.00,19.88,66.92
2006-09-24:15.00.00,19.535,66.865
2006-09-24:18.00.00,19.5,66.8
2006-09-24:21.00.00,19.4775,66.7
2006-09-25:00.00.00,19.5,66.6
2006-09-25:03.00.00,19.5925,66.55
2006-09-25:06.00.00,19.7,66.5
2006-09-25:09.00.00,19.7575,66.4
2006-09-25:12.00.00,19.8,66.3
2006-09-25:15.00.00,19.85,66.2425
2006-09-25:18.00.00,19.9,66.2
2006-09-25:21.00.00,19.9425,66.165
2006-09-26:00.00.00,20,66.1
2006-09-26:03.00.00,20.1,65.9725
2006-09-26:06.00.00,20.2,65.8
2006-09-26:09.00.00,20.2625,65.605
2006-09-26:12.00.00,20.3,65.4
