time,P_min,W10_max
2020-11-22:06.00.00,1008,10
2020-11-22:09.00.00,1006,12
2020-11-22:12.00.00,1008,9
2020-11-22:15.00.00,1010,10
2020-11-22:18.00.00,1009,11
2020-11-22:21.00.00,1007,12
2020-11-23:00.00.00,1006,13
2020-11-23:03.00.00,1008,13
2020-11-23:06.00.00,1007,13
2020-11-23:09.00.00,1004,13
2020-11-23:12.00.00,1005,14
2020-11-23:15.00.00,1007,13
2020-11-23:18.00.00,1006,12
2020-11-23:21.00.00,1004,12
2020-11-24:00.00.00,1003,13
2020-11-24:03.00.00,1005,14
2020-11-24:06.00.00,1004,15
2020-11-24:09.00.00,1000,18
2020-11-24:12.00.00,998,18
2020-11-24:15.00.00,1000,18
2020-11-24:18.00.00,1000,16
2020-11-24:21.00.00,996,16
2020-11-25:00.00.00,998,18
2020-11-25:03.00.00,998,18
2020-11-25:06.00.00,996,20
2020-11-25:09.00.00,992,20
2020-11-25:12.00.00,994,20
2020-11-25:15.00.00,996,20
2020-11-25:18.00.00,996,20
2020-11-25:21.00.00,996,20
2020-11-26:00.00.00,998,18
2020-11-26:03.00.00,1002,18
2020-11-26:06.00.00,1002,18
2020-11-26:09.00.00,1000,18
2020-11-26:12.00.00,1003,14
