time,latitude,longitude
2014-10-06:06.00.00,10.7,96.1
2014-10-06:09.00.00,10.6925,96.0075
2014-10-06:12.00.00,10.7,95.9
2014-10-06:15.00.00,10.735,95.765
2014-10-06:18.00.00,10.8,95.6
2014-10-06:21.00.00,10.8925,95.415
2014-10-07:00.00.00,11,95.2
2014-10-07:03.00.00,11.18,94.966
2014-10-07:06.00.00,11.3667,94.7333
2014-10-07:09.00.00,11.5403,94.4459
2014-10-07:12.00.00,11.7,94.1
2014-10-07:15.00.00,11.7962,93.7999
2014-10-07:18.00.00,11.9,93.5
2014-10-07:21.00.00,12.0431,93.1709
2014-10-08:00.00.00,12.2,92.85
2014-10-08:03.00.00,12.35,92.5575
2014-10-08:06.00.00,12.55,92.1
2014-10-08:09.00.00,12.7538,91.4388
2014-10-08:12.00.00,12.9,90.85
2014-10-08:15.00.00,13.0824,90.41
2014-10-08:18.00.00,13.25,90.1
2014-10-08:21.00.00,13.4537,89.6425
2014-10-09:00.00.00,13.6,89.3
2014-10-09:03.00.00,13.6962,89.0675
2014-10-09:06.00.00,13.8,88.85
2014-10-09:09.00.00,13.9212,88.6462
2014-10-09:12.00.00,14.05,88.45
2014-10-09:15.00.00,14.1212,88.2
2014-10-09:18.00.00,14.2,88
2014-10-09:21.00.00,14.4,87.8
2014-10-26:00.00.00,14.55,87.65
2014-10-10:03.00.00,14.775,87.35
2014-10-10:06.00.00,14.9,87.15
2014-10-10:09.00.00,15.1,86.9612
2014-10-10:12.00.00,15.3,86.8
2014-10-10:15.00.00,15.4863,86.5288
2014-10-10:18.00.00,15.6,86.3
2014-10-10:21.00.00,15.725,86.0174
2014-10-11:00.00.00,15.85,85.7
2014-10-11:03.00.00,15.975,85.4175
2014-10-11:06.00.00,16.1,85.15
2014-10-11:09.00.00,16.1175,85.0174
2014-10-11:12.00.00,16.2,84.85
2014-10-11:15.00.00,16.3137,84.7825
2014-10-11:18.00.00,16.55,84.65
2014-10-11:21.00.00,16.8,84.3899
2014-10-12:00.00.00,17.15,84.15
2014-10-12:03.00.00,17.375,83.7751
2014-10-12:06.00.00,17.6,83.4
2014-10-12:09.00.00,17.7887,83.0748
2014-10-12:12.00.00,18,82.8
2014-10-12:15.00.00,18.3238,82.5287
2014-10-12:18.00.00,18.75,82.25
2014-10-12:21.00.00,19.0138,82.0851
2014-10-13:00.00.00,19.7,81.55
2014-10-13:03.00.00,20.4787,81.4562
2014-10-13:06.00.00,20.8286,81.4143
2014-10-13:09.00.00,21.1382,81.4125
2014-10-13:12.00.00,21.44,81.44
2014-10-13:15.00.00,21.6576,81.5
2014-10-13:18.00.00,22.3,81.5
2014-10-13:21.00.00,23.6421,81.4798
2014-10-14:00.00.00,24.8,81.5
2014-10-14:03.00.00,25.1,81.6
2014-10-14:06.00.00,25.6,81.7
2014-10-14:09.00.00,26.3,81.8
