time,latitude,longitude
2004-05-04:00.00.00,11.1,74.3
2004-05-04:03.00.00,11.14,74.09
2004-05-04:06.00.00,11.2,73.9
2004-05-04:09.00.00,11.2925,73.7425
2004-05-04:12.00.00,11.4,73.6
2004-05-04:15.00.00,11.515,73.4575
2004-05-04:18.00.00,11.6,73.3
2004-05-04:21.00.00,11.63,73.0925
2004-05-05:00.00.00,11.6,72.9
2004-05-05:03.00.00,11.518,72.928
2004-05-05:06.00.00,11.4333,72.9667
2004-05-05:09.00.00,11.3614,72.9471
2004-05-05:12.00.00,11.3,73
2004-05-05:15.00.00,11.2026,72.9138
2004-05-05:18.00.00,11.15,73.1
2004-05-05:21.00.00,11.2062,73.1512
2004-05-06:00.00.00,11.3,73.15
2004-05-06:03.00.00,11.3538,73.1538
2004-05-06:06.00.00,11.4,73.15
2004-05-06:09.00.00,11.4425,73.1575
2004-05-06:12.00.00,11.5,73.15
2004-05-06:15.00.00,11.5962,73.1113
2004-05-06:18.00.00,11.7,73.05
2004-05-06:21.00.00,11.7788,72.9787
2004-05-07:00.00.00,11.85,72.9
2004-05-07:03.00.00,12.4288,72.2988
2004-05-07:06.00.00,12.7143,72.0714
2004-05-07:09.00.00,12.7634,72.2749
2004-05-07:12.00.00,12.76,72.62
2004-05-07:15.00.00,12.5425,73.0001
2004-05-07:18.00.00,12.4,73.1
2004-05-07:21.00.00,12.4901,73.3149
2004-05-08:00.00.00,12.7,73.5
2004-05-08:03.00.00,12.935,73.5525
2004-05-08:06.00.00,13.2,73.5
2004-05-08:09.00.00,13.4575,73.3726
2004-05-08:12.00.00,13.7,73.2
2004-05-08:15.00.00,13.9075,73.0574
2004-05-08:18.00.00,14.1,72.9
2004-05-08:21.00.00,14.2774,72.7298
2004-05-09:00.00.00,14.5,72.5
2004-05-09:03.00.00,14.8318,71.8795
2004-05-09:06.00.00,15.32,71.08
2004-05-09:09.00.00,15.9033,70.4656
2004-05-09:12.00.00,16.48,70.08
2004-05-09:15.00.00,17,70
2004-05-09:18.00.00,17.5,70
2004-05-09:21.00.00,18,70
2004-05-10:00.00.00,18.5,70
2004-05-10:03.00.00,19,70
2004-05-10:06.00.00,19,70
2004-05-10:09.00.00,19.5,70
