time,latitude,longitude
2012-10-27:06.00.00,11.1,87.1
2012-10-27:09.00.00,10.9175,86.9575
2012-10-27:12.00.00,10.7,86.8
2012-10-27:15.00.00,10.435,86.615
2012-10-27:18.00.00,10.2,86.4
2012-10-27:21.00.00,10.0775,86.1576
2012-10-28:00.00.00,10,85.9
2012-10-28:03.00.00,9.89998,85.65
2012-10-28:06.00.00,9.74,85.52
2012-10-28:09.00.00,9.62838,85.26
2012-10-28:12.00.00,9.55714,84.9429
2012-10-28:15.00.00,9.50993,84.6425
2012-10-28:18.00.00,9.5,84.35
2012-10-28:21.00.00,9.56871,84.0469
2012-10-29:00.00.00,9.6,83.7
2012-10-29:03.00.00,9.47623,83.2849
2012-10-29:06.00.00,9.05,82.9
2012-10-29:09.00.00,8.8588,82.6045
2012-10-29:12.00.00,8.8,82.45
2012-10-29:15.00.00,8.7238,82.4226
2012-10-29:18.00.00,8.7,82.5
2012-10-29:21.00.00,8.72375,82.6379
2012-10-26:00.00.00,8.8,82.75
2012-10-30:03.00.00,8.9025,82.7225
2012-10-30:06.00.00,9.05,82.65
2012-10-30:09.00.00,9.485,82.625
2012-10-30:12.00.00,9.7,82.6
2012-10-30:15.00.00,9.93618,82.5837
2012-10-30:18.00.00,10.4,82.5
2012-10-30:21.00.00,10.5363,82.28
2012-10-31:00.00.00,10.9,81.75
2012-10-31:03.00.00,11.2887,81.2574
2012-10-31:06.00.00,11.7,81
2012-10-31:09.00.00,12.2961,80.4799
2012-10-31:12.00.00,12.7,79.8
2012-10-31:15.00.00,13.0102,79.211
2012-10-31:18.00.00,13.1714,78.2857
2012-10-31:21.00.00,13.253,77.6726
2012-11-01:00.00.00,13.32,77.3
2012-11-01:03.00.00,13.5,77
2012-11-01:06.00.00,13.5,77
2012-11-01:09.00.00,13.6989,77
2012-11-01:12.00.00,14,77
2012-11-01:15.00.00,14.267,77
2012-11-01:18.00.00,14.5,77
