time,latitude,longitude
2006-10-27:06.00.00,7.4,78.1
2006-10-27:09.00.00,8.02747,78.2075
2006-10-27:12.00.00,8.6,78.4
2006-10-27:15.00.00,9.08004,78.7275
2006-10-27:18.00.00,9.5,79.1
2006-10-27:21.00.00,9.90001,79.4375
2006-10-28:00.00.00,10.3,79.7
2006-10-28:03.00.00,10.7349,79.8227
2006-10-28:06.00.00,11.2,79.9
2006-10-28:09.00.00,11.7,80.05
2006-10-28:12.00.00,12.2,80.2
2006-10-28:15.00.00,12.6425,80.315
2006-10-28:18.00.00,13.1,80.4
2006-10-28:21.00.00,13.6725,80.465
2006-10-29:00.00.00,14.16,80.5
2006-10-29:03.00.00,14.535,80.505
2006-10-29:06.00.00,14.6714,80.5
2006-10-29:09.00.00,15.0112,80.5037
2006-10-29:12.00.00,15.1,80.5
2006-10-29:15.00.00,15.1825,80.4788
2006-10-29:18.00.00,15.5,80.45
2006-10-29:21.00.00,15.5537,80.4287
2006-10-30:00.00.00,15.6,80.4
2006-10-30:03.00.00,15.7186,80.2471
2006-10-30:06.00.00,15.82,80.18
2006-10-30:09.00.00,15.9067,80.0983
2006-10-30:12.00.00,16,79.9
