time,latitude,longitude
2015-11-04:12.00.00,14,66.9
2015-11-04:15.00.00,13.9851,66.6499
2015-11-04:18.00.00,14,66.4
2015-11-04:21.00.00,14.0574,66.1376
2015-11-05:00.00.00,14.1,65.84
2015-11-05:03.00.00,14.0767,65.4149
2015-11-05:06.00.00,14.0429,64.8
2015-11-05:09.00.00,14.0129,64.3169
2015-11-05:12.00.00,13.95,63.95
2015-11-05:15.00.00,13.8537,63.6175
2015-11-05:18.00.00,13.8,63.3
2015-11-05:21.00.00,13.7,62.9213
2015-11-05:00.00.00,13.6,62.5
2015-11-06:03.00.00,13.45,62.1963
2015-11-06:06.00.00,13.25,61.9
2015-11-06:09.00.00,13.15,61.55
2015-11-06:12.00.00,13.05,61.15
2015-11-06:15.00.00,12.9462,60.9037
2015-11-06:18.00.00,12.9,60.65
2015-11-06:21.00.00,12.8212,60.3788
2015-11-07:00.00.00,12.8,60.05
2015-11-07:03.00.00,12.7674,59.6362
2015-11-07:06.00.00,12.7,59.25
2015-11-07:09.00.00,12.6713,58.8113
2015-11-07:12.00.00,12.75,58.35
2015-11-07:15.00.00,12.7074,57.8575
2015-11-07:18.00.00,12.75,57.3
2015-11-07:21.00.00,12.7287,56.7075
2015-11-08:00.00.00,12.7,56.1
2015-11-08:03.00.00,12.6711,55.5075
2015-11-08:06.00.00,12.65,54.9
2015-11-08:09.00.00,12.6537,54.2076
2015-11-08:12.00.00,12.65,53.5
2015-11-08:15.00.00,12.6074,52.8462
2015-11-08:18.00.00,12.45,52.25
2015-11-08:21.00.00,12.3924,51.5712
2015-11-09:00.00.00,12.25,50.9
2015-11-09:03.00.00,12.235,50.21
2015-11-09:06.00.00,12.25,49.55
2015-11-09:09.00.00,12.3424,48.895
2015-11-09:12.00.00,12.45,48.3
2015-11-09:15.00.00,12.4999,47.96
2015-11-09:18.00.00,12.6,47.65
2015-11-09:21.00.00,12.6925,47.325
2015-11-10:00.00.00,12.85,47
2015-11-10:03.00.00,13.0387,46.7713
2015-11-10:06.00.00,13.25,46.6
2015-11-10:09.00.00,13.4541,46.5591
2015-11-10:12.00.00,13.65,46.6
