time,latitude,longitude
2005-09-17:03.00.00,20,90.5
2005-09-17:06.00.00,20.1576,90.4364
2005-09-17:09.00.00,20.3221,90.2956
2005-09-17:12.00.00,20.5,90
2005-09-17:15.00.00,20.6867,89.5036
2005-09-17:18.00.00,20.8355,88.889
2005-09-17:21.00.00,20.8902,88.2721
2005-09-18:00.00.00,20.7961,87.7701
2005-09-18:03.00.00,20.5,87.5
2005-09-18:06.00.00,20,87.5
2005-09-18:09.00.00,19.5,87
2005-09-18:12.00.00,19.5,86.5
2005-09-18:15.00.00,19.5,86.5
2005-09-18:18.00.00,19,85.5
2005-09-18:21.00.00,18.5,84.5
2005-09-19:00.00.00,18.5,84.5
2005-09-19:03.00.00,18.5,84
2005-09-19:06.00.00,18.5,83.5
2005-09-19:09.00.00,18.5,83.5
2005-09-19:12.00.00,18.5,83.5
2005-09-19:15.00.00,18.5,83.5
2005-09-19:18.00.00,18.5,83
2005-09-19:21.00.00,18.5,83
2005-09-20:00.00.00,19,82.5
2005-09-20:03.00.00,19,82.5
2005-09-20:06.00.00,19,82.5
2005-09-20:09.00.00,19,81.5
2005-09-20:12.00.00,19,80.5
2005-09-20:15.00.00,18.9896,79.9862
2005-09-20:18.00.00,18.9994,79.8662
2005-09-20:21.00.00,19.0647,79.9032
2005-09-21:00.00.00,19.2202,79.8604
2005-09-21:03.00.00,19.5,79.5
2005-09-21:06.00.00,19.9214,78.6512
2005-09-21:09.00.00,20.4406,77.4235
2005-09-21:12.00.00,21,76
