time,latitude,longitude
2010-05-30:12.00.00,14.4,65
2010-05-30:15.00.00,14.465,64.8525
2010-05-30:18.00.00,14.5,64.7
2010-05-30:21.00.00,14.4925,64.5425
2010-05-31:00.00.00,14.5,64.4
2010-05-31:03.00.00,14.5775,64.2925
2010-05-31:06.00.00,14.76,64.16
2010-05-31:09.00.00,14.99,63.9717
2010-05-31:12.00.00,15.2143,63.7857
2010-05-31:15.00.00,15.365,63.6674
2010-05-31:18.00.00,15.45,63.6
2010-05-31:21.00.00,15.5463,63.4825
2010-06-01:00.00.00,15.65,63.35
2010-06-01:03.00.00,15.7712,63.2212
2010-06-01:06.00.00,16.15,62.85
2010-06-01:09.00.00,16.2824,62.7575
2010-06-01:12.00.00,16.65,62.4
2010-06-01:15.00.00,16.7325,62.2325
2010-06-01:18.00.00,17.05,61.8
2010-06-01:21.00.00,17.1212,61.6425
2010-06-02:00.00.00,17.45,61.25
2010-06-02:03.00.00,17.5462,60.8712
2010-06-02:06.00.00,17.65,60.75
2010-06-02:09.00.00,18.0075,60.3675
2010-06-02:12.00.00,18.1,60.25
2010-06-02:15.00.00,18.4112,59.91
2010-06-02:18.00.00,18.45,59.85
2010-06-02:21.00.00,18.46,59.8137
2010-06-03:00.00.00,18.5,59.55
2010-06-03:03.00.00,18.62,59.55
2010-06-03:06.00.00,19.05,59.55
2010-06-03:09.00.00,19.5175,59.5362
2010-06-03:12.00.00,20,59.5
2010-06-03:15.00.00,20.2075,59.4251
2010-06-03:18.00.00,20.65,59.35
2010-06-03:21.00.00,21.075,59.31
2010-06-04:00.00.00,21.5,59.3
2010-06-04:03.00.00,21.95,59.3137
2010-06-04:06.00.00,22.15,59.35
2010-06-04:09.00.00,22.5825,59.3925
2010-06-04:12.00.00,23,59.45
2010-06-04:15.00.00,23.165,59.51
2010-06-04:18.00.00,23.3,59.6
2010-06-04:21.00.00,23.6512,59.9849
2010-06-05:00.00.00,23.95,60.4
2010-06-05:03.00.00,24.1975,60.8251
2010-06-05:06.00.00,24.15,61
2010-06-05:09.00.00,24.0824,61.1462
2010-06-05:12.00.00,24,61.55
2010-06-05:15.00.00,23.9246,61.9586
2010-06-05:18.00.00,23.85,62.45
2010-06-05:21.00.00,23.7452,63.0919
2010-06-06:00.00.00,23.7,64.05
2010-06-06:03.00.00,23.7687,64.9825
2010-06-06:06.00.00,23.95,65.9
2010-06-06:09.00.00,24.2462,66.5506
2010-06-06:12.00.00,24.55,67.15
2010-06-06:15.00.00,24.9568,67.8899
2010-06-06:18.00.00,25.1,68.65
2010-06-06:21.00.00,25.6943,69.5633
2010-06-07:00.00.00,26.35,70.55
2010-06-07:03.00.00,26.6878,71.537
2010-06-07:06.00.00,27.05,72.9
