time,latitude,longitude
2008-10-24:06.00.00,16,85
2008-10-24:09.00.00,15.9951,85.25
2008-10-24:12.00.00,16,85.5
2008-10-24:15.00.00,16.0275,85.75
2008-10-24:18.00.00,16.1,86
2008-10-24:21.00.00,16.2349,86.2425
2008-10-25:00.00.00,16.4,86.5
2008-10-25:03.00.00,16.528,86.746
2008-10-25:06.00.00,16.6917,87.0047
2008-10-25:09.00.00,16.9628,87.1843
2008-10-25:12.00.00,17.35,87.25
2008-10-25:15.00.00,17.6426,87.3288
2008-10-25:18.00.00,17.85,87.4
2008-10-25:21.00.00,17.9408,87.4241
2008-10-26:00.00.00,18.1,87.55
2008-10-26:03.00.00,18.4525,87.8714
2008-10-26:06.00.00,18.553,87.9504
2008-10-26:09.00.00,18.8487,88.0314
2008-10-26:12.00.00,19.65,88.4
2008-10-26:15.00.00,20.4013,88.8354
2008-10-26:18.00.00,21,89.3
2008-10-26:21.00.00,21.883,89.8106
2008-10-27:00.00.00,23.04,90.24
2008-10-27:03.00.00,23.8731,90.7075
2008-10-27:06.00.00,25,90.6
