time,latitude,longitude
2013-11-19:18.00.00,7.3,103.3
2013-11-19:21.00.00,6.97748,103.235
2013-11-20:00.00.00,6.8,103.1
2013-11-20:03.00.00,6.84254,102.858
2013-11-20:06.00.00,6.9,102.6
2013-11-20:09.00.00,6.72248,102.435
2013-11-20:12.00.00,6.5,102.3
2013-11-20:15.00.00,6.37,102.15
2013-11-20:18.00.00,6.3,102
2013-11-20:21.00.00,6.27748,101.865
2013-11-21:00.00.00,6.3,101.7
2013-11-21:03.00.00,6.3275,101.472
2013-11-21:06.00.00,6.4,101.2
2013-11-21:09.00.00,6.55748,100.915
2013-11-21:12.00.00,6.7,100.6
2013-11-21:15.00.00,6.73002,100.242
2013-11-21:18.00.00,6.7,99.9
2013-11-21:21.00.00,6.67247,99.6275
2013-11-22:00.00.00,6.6,99.4
2013-11-22:03.00.00,6.44247,99.2
2013-11-22:06.00.00,6.3,99
2013-11-22:09.00.00,6.24002,98.735
2013-11-22:12.00.00,6.3,98.5
2013-11-22:15.00.00,6.51246,98.4
2013-11-22:18.00.00,6.8,98.3
2013-11-22:21.00.00,7.035,98.08
2013-11-23:00.00.00,7.3,97.8
2013-11-23:03.00.00,7.635,97.5075
2013-11-23:06.00.00,8,97.2
2013-11-23:09.00.00,8.34999,96.8925
2013-11-23:12.00.00,8.66,96.58
2013-11-23:15.00.00,8.92648,96.3499
2013-11-23:18.00.00,9.22857,96.0571
2013-11-23:21.00.00,9.63797,95.6024
2013-11-24:00.00.00,10,95.2
2013-11-24:03.00.00,10.1575,95
2013-11-24:06.00.00,10.55,94.55
2013-11-24:09.00.00,10.7575,94.1175
2013-11-24:12.00.00,11,93.7
2013-11-24:15.00.00,11.1037,93.5462
2013-11-24:18.00.00,11.45,93.15
2013-11-24:21.00.00,11.5325,92.7462
2013-11-25:00.00.00,11.85,92.6
2013-11-25:03.00.00,11.9037,92.2212
2013-11-25:06.00.00,11.95,91.85
2013-11-25:09.00.00,12,91.725
2013-11-25:12.00.00,12.3,91.6
2013-11-25:15.00.00,12.35,91.2325
2013-11-25:18.00.00,12.4,91.1
2013-11-25:21.00.00,12.45,90.9362
2013-11-26:00.00.00,12.5,90.5
2013-11-26:03.00.00,12.55,90.0537
2013-11-26:06.00.00,12.6,89.6
2013-11-26:09.00.00,12.8962,89.15
2013-11-26:12.00.00,12.95,88.7
2013-11-26:15.00.00,13.0174,88.5112
2013-11-26:18.00.00,13.15,88.05
2013-11-26:21.00.00,13.3,87.5363
2013-11-27:00.00.00,13.55,87
2013-11-27:03.00.00,13.64,86.46
2013-11-27:06.00.00,13.95,85.95
2013-11-27:09.00.00,13.9536,85.5211
2013-11-27:12.00.00,14.2,85.1
2013-11-27:15.00.00,14.2312,84.6187
2013-11-27:18.00.00,14.55,84.1
2013-11-27:21.00.00,14.6675,83.5501
2013-11-28:00.00.00,15.05,82.5
2013-11-28:03.00.00,15.2537,82.0887
2013-11-28:06.00.00,15.3,81.7
2013-11-28:09.00.00,15.4532,81.3717
2013-11-28:12.00.00,15.52,81.04
2013-11-28:15.00.00,15.3774,80.5718
2013-11-28:18.00.00,15.4,80
2013-11-28:21.00.00,15.6703,79.406
2013-11-29:00.00.00,16.1,78.8
