time,latitude,longitude
2004-11-27:06.00.00,1.6,72.4
2004-11-27:09.00.00,1.57002,71.94
2004-11-27:12.00.00,1.5,71.5
2004-11-27:15.00.00,1.36499,71.0925
2004-11-27:18.00.00,1.2,70.7
2004-11-27:21.00.00,1.04249,70.3075
2004-11-28:00.00.00,0.9,69.9
2004-11-28:03.00.00,0.770002,69.4425
2004-11-28:06.00.00,0.7,69
2004-11-28:09.00.00,0.712492,68.6425
2004-11-28:12.00.00,0.8,68.3
2004-11-28:15.00.00,0.927498,67.9075
2004-11-28:18.00.00,1.1,67.5
2004-11-28:21.00.00,1.28499,67.1
2004-11-29:00.00.00,1.5,66.7
2004-11-29:03.00.00,1.72749,66.3075
2004-11-29:06.00.00,2,65.9
2004-11-29:09.00.00,2.32751,65.4425
2004-11-29:12.00.00,2.7,65
2004-11-29:15.00.00,3.09247,64.635
2004-11-29:18.00.00,3.5,64.3
2004-11-29:21.00.00,3.81999,63.96
2004-11-30:00.00.00,4.03333,63.7333
2004-11-30:03.00.00,4.19424,63.3742
2004-11-30:06.00.00,4.8,62.95
2004-11-30:09.00.00,5.21502,62.4363
2004-11-30:12.00.00,5.6,61.65
2004-11-30:15.00.00,5.95748,61.1425
2004-11-30:18.00.00,6.05,60.65
2004-11-30:21.00.00,6.14625,60.4062
2004-12-01:00.00.00,6.25,59.95
2004-12-01:03.00.00,6.62121,59.81
2004-12-01:06.00.00,7,59.45
2004-12-01:09.00.00,7.13248,59.3325
2004-12-01:12.00.00,7.25,59.2
2004-12-01:15.00.00,7.59374,58.5363
2004-12-01:18.00.00,7.65,58.35
2004-12-01:21.00.00,7.68669,58.0732
2004-12-02:00.00.00,7.73251,57.6996
2004-12-02:03.00.00,7.80992,57.2543
2004-12-02:06.00.00,7.90655,56.7677
2004-12-02:09.00.00,8.02876,56.2638
2004-12-02:12.00.00,8.12884,55.7645
2004-12-02:15.00.00,8.15737,55.3473
2004-12-02:18.00.00,8.16,55
2004-12-02:21.00.00,8.19249,54.6925
2004-12-03:00.00.00,8.2,54.4
2004-12-03:03.00.00,8.24997,54.1425
2004-12-03:06.00.00,8.3,53.9
2004-12-03:09.00.00,8.31498,53.65
2004-12-03:12.00.00,8.3,53.4
2004-12-03:15.00.00,8.27243,53.1725
2004-12-03:18.00.00,8.2,52.9
2004-12-03:21.00.00,8.07252,52.5225
2004-12-04:00.00.00,7.9,52.1
2004-12-04:03.00.00,7.72242,51.7151
2004-12-04:06.00.00,7.5,51.3
2004-12-04:09.00.00,7.22996,50.8225
2004-12-04:12.00.00,6.9,50.3
2004-12-04:15.00.00,6.56739,49.7727
2004-12-04:18.00.00,6.1,49.2
2004-12-04:21.00.00,5.37991,48.5799
2004-12-05:00.00.00,4.6,47.9
2004-12-05:03.00.00,4.00017,47.045
2004-12-05:06.00.00,3.4,46.4
2004-12-05:09.00.00,2.68744,46.2852
2004-12-05:12.00.00,1.9,46.5
