time,P_min,W10_max
2020-05-14:00.00.00,1005,9
2020-05-14:03.00.00,1007,10
2020-05-14:06.00.00,1006.5,9
2020-05-14:09.00.00,1004,10
2020-05-14:12.00.00,1004,10
2020-05-14:15.00.00,1006,10
2020-05-14:18.00.00,1005,10
2020-05-14:21.00.00,1003,10
2020-05-15:00.00.00,1005.5,10
2020-05-15:03.00.00,1004,11
2020-05-15:06.00.00,1004,11
2020-05-15:09.00.00,1002,11
2020-05-15:12.00.00,1002,11
2020-05-15:15.00.00,1002.5,12
2020-05-15:18.00.00,1001,13
2020-05-15:21.00.00,998,12
2020-05-16:00.00.00,997,13
2020-05-16:03.00.00,998,14
2020-05-16:06.00.00,997,14
2020-05-16:09.00.00,994,16
2020-05-16:12.00.00,990,16
2020-05-16:15.00.00,990,20
2020-05-16:18.00.00,988,20
2020-05-16:21.00.00,986,22
2020-05-17:00.00.00,981,24
2020-05-17:03.00.00,981,24
2020-05-17:06.00.00,978,24
2020-05-17:09.00.00,975,24
2020-05-17:12.00.00,975,24
2020-05-17:15.00.00,975,24
2020-05-17:18.00.00,975,24
2020-05-17:21.00.00,972,27
2020-05-18:00.00.00,970,24
2020-05-18:03.00.00,970,27
2020-05-18:06.00.00,970,27
2020-05-18:09.00.00,965,27
2020-05-18:12.00.00,960,27
2020-05-18:15.00.00,965,27
2020-05-18:18.00.00,960,27
2020-05-18:21.00.00,960,30
2020-05-19:00.00.00,950,30
2020-05-19:03.00.00,950,30
2020-05-19:06.00.00,950,33
2020-05-19:09.00.00,945,35
2020-05-19:12.00.00,955,33
2020-05-19:15.00.00,960,30
2020-05-19:18.00.00,960,30
2020-05-19:21.00.00,960,30
2020-05-20:00.00.00,965,27
2020-05-20:03.00.00,965,27
2020-05-20:06.00.00,970,27
