time,latitude,longitude
2005-11-26:06.00.00,9.4,96.1
2005-11-26:09.00.00,9.56002,95.8076
2005-11-26:12.00.00,9.7,95.5
2005-11-26:15.00.00,9.82002,95.1775
2005-11-26:18.00.00,10,94.9
2005-11-26:21.00.00,10.3573,94.7724
2005-11-27:00.00.00,10.7,94.6
2005-11-27:03.00.00,10.845,94.2099
2005-11-27:06.00.00,10.9,93.7
2005-11-27:09.00.00,10.9798,93.1876
2005-11-27:12.00.00,11,92.6
2005-11-27:15.00.00,10.945,91.915
2005-11-27:18.00.00,10.8,91.2
2005-11-27:21.00.00,10.52,90.5122
2005-11-28:00.00.00,10.3,89.9
2005-11-28:03.00.00,10.3778,89.6362
2005-11-28:06.00.00,10.5,89.3333
2005-11-28:09.00.00,10.5486,88.7385
2005-11-28:12.00.00,10.6,88.3
2005-11-28:15.00.00,10.6887,87.8462
2005-11-28:18.00.00,10.8,87.65
2005-11-28:21.00.00,10.9138,87.4425
2005-11-29:00.00.00,11.05,87
2005-11-29:03.00.00,11.2324,86.5963
2005-11-29:06.00.00,11.65,85.95
2005-11-29:09.00.00,12.0088,85.2713
2005-11-29:12.00.00,12.3,84.6
2005-11-29:15.00.00,12.2537,84.4637
2005-11-29:18.00.00,12.2,84.35
2005-11-29:21.00.00,12.2313,84.235
2005-11-30:00.00.00,12.3,84.15
2005-11-30:03.00.00,12.39,84.1025
2005-11-30:06.00.00,12.7,84.1
2005-11-30:09.00.00,12.6613,84.1613
2005-11-30:12.00.00,12.6,84.2
2005-11-30:15.00.00,12.5813,84.1112
2005-11-30:18.00.00,12.6,84
2005-11-30:21.00.00,12.6787,83.9713
2005-12-01:00.00.00,12.75,83.95
2005-12-01:03.00.00,12.74,83.8825
2005-12-01:06.00.00,12.7,83.55
2005-12-01:09.00.00,12.6787,83.475
2005-12-01:12.00.00,12.65,83.4
2005-12-01:15.00.00,12.6037,83.3288
2005-12-01:18.00.00,12.8,83
2005-12-01:21.00.00,12.7186,82.89
2005-12-02:00.00.00,12.6,82.5667
2005-12-02:03.00.00,12.3759,82.4439
2005-12-02:06.00.00,12.1,82.2
2005-12-02:09.00.00,12.1551,81.8076
2005-12-02:12.00.00,12.3,81.4
2005-12-02:15.00.00,12.4499,81.1275
2005-12-02:18.00.00,12.6,80.9
2005-12-02:21.00.00,12.7375,80.6425
2005-12-03:00.00.00,12.8,80.4
2005-12-03:03.00.00,12.7225,80.1849
2005-12-03:06.00.00,12.6,80
2005-12-03:09.00.00,12.5369,79.837
2005-12-03:12.00.00,12.5,79.7
2005-12-03:15.00.00,12.4829,79.5829
2005-12-03:18.00.00,12.4804,79.4804
2005-12-03:21.00.00,12.4878,79.3878
2005-12-04:00.00.00,12.5,79.3
