time,latitude,longitude
2002-12-21:06.00.00,1.9,78.7
2002-12-21:09.00.00,2.04,78.77
2002-12-21:12.00.00,2.2,78.9
2002-12-21:15.00.00,2.39251,79.1275
2002-12-21:18.00.00,2.6,79.4
2002-12-21:21.00.00,2.79999,79.65
2002-12-22:00.00.00,3,79.9
2002-12-22:03.00.00,3.22251,80.1725
2002-12-22:06.00.00,3.4,80.4
2002-12-22:09.00.00,3.46499,80.53
2002-12-22:12.00.00,3.7,80.38
2002-12-22:15.00.00,3.895,80.355
2002-12-22:18.00.00,4.04286,80.4
2002-12-22:21.00.00,4.14626,80.5218
2002-12-23:00.00.00,4.2,80.65
2002-12-23:03.00.00,4.26375,80.6888
2002-12-23:06.00.00,4.35,80.75
2002-12-23:09.00.00,4.58774,80.9514
2002-12-23:12.00.00,4.85,81.2
2002-12-23:15.00.00,4.97249,81.3613
2002-12-23:18.00.00,5.05,81.5
2002-12-23:21.00.00,5.10258,81.5989
2002-12-24:00.00.00,5.25,81.8
2002-12-24:03.00.00,5.57499,82.1963
2002-12-24:06.00.00,5.65,82.35
2002-12-24:09.00.00,5.9925,82.7713
2002-12-24:12.00.00,6.1,82.95
2002-12-24:15.00.00,6.475,83.3825
2002-12-24:18.00.00,6.6,83.55
2002-12-24:21.00.00,6.69998,83.6825
2002-12-25:00.00.00,7.05,84.3
2002-12-25:03.00.00,7.17499,84.425
2002-12-25:06.00.00,7.3,85.05
2002-12-25:09.00.00,7.57715,85.6688
2002-12-25:12.00.00,7.8,86.06
2002-12-25:15.00.00,7.91171,86.26
2002-12-25:18.00.00,8.2,86.7
