time,latitude,longitude
2008-11-11:18.00.00,10.5,89
2008-11-11:21.00.00,10.68,89.1748
2008-11-12:00.00.00,10.9,89.2
2008-11-12:03.00.00,11.1725,88.9752
2008-11-12:06.00.00,11.4,88.6
2008-11-12:09.00.00,11.48,88.2224
2008-11-12:12.00.00,11.5,87.8
2008-11-12:15.00.00,11.5575,87.3575
2008-11-12:18.00.00,11.6,86.9
2008-11-12:21.00.00,11.6001,86.4124
2008-11-13:00.00.00,11.6,86
2008-11-13:03.00.00,11.6349,85.7475
2008-11-13:06.00.00,11.7,85.6
2008-11-13:09.00.00,11.77,85.4775
2008-11-13:12.00.00,11.82,85.42
2008-11-13:15.00.00,12.0251,85.2947
2008-11-13:18.00.00,12.2286,85.1714
2008-11-13:21.00.00,12.3121,85.1191
2008-11-14:00.00.00,12.5,85.1
2008-11-14:03.00.00,12.9075,85.0225
2008-11-14:06.00.00,13.3,84.9
2008-11-14:09.00.00,13.6575,84.4825
2008-11-14:12.00.00,14,84.05
2008-11-14:15.00.00,14.3687,83.6463
2008-11-14:18.00.00,14.45,83.5
2008-11-14:21.00.00,14.4437,83.0962
2008-11-15:00.00.00,14.4,82.95
2008-11-15:03.00.00,14.3637,82.5825
2008-11-15:06.00.00,14.35,82.45
2008-11-15:09.00.00,14.3925,82.0151
2008-11-15:12.00.00,14.45,81.55
2008-11-15:15.00.00,14.4712,81.0787
2008-11-15:18.00.00,14.75,80.6
2008-11-15:21.00.00,14.8642,80.2328
2008-11-16:00.00.00,15.08,79.68
2008-11-16:03.00.00,15.2168,79.0403
2008-11-16:06.00.00,15.4,78.8
