time,latitude,longitude
2020-05-15:06.00.00,10.1142,86.7589
2020-05-15:09.00.00,10.0318,86.3914
2020-05-15:12.00.00,9.45457,85.8138
2020-05-15:15.00.00,10.1554,86.1026
2020-05-15:18.00.00,10.444,86.3914
2020-05-15:21.00.00,10.2315,85.8606
2020-05-16:00.00.00,10.4,87.0
2020-05-16:03.00.00,10.7,86.5
2020-05-16:06.00.00,10.9,86.3
2020-05-16:09.00.00,10.9,86.3
2020-05-16:12.00.00,10.9,86.3
2020-05-16:15.00.00,11.0,86.2
2020-05-16:18.00.00,11.1,86.1
2020-05-16:21.00.00,11.3,86.1
2020-05-17:00.00.00,11.4,86.0
2020-05-17:03.00.00,11.4,86.0
2020-05-17:06.00.00,11.5,86.0
2020-05-17:09.00.00,11.7,86.0
2020-05-17:12.00.00,12.0,86.0
2020-05-17:15.00.00,12.8,86.2
2020-05-17:18.00.00,12.5,86.1
2020-05-17:21.00.00,12.9,86.4
2020-05-18:00.00.00,13.2,86.3
2020-05-18:03.00.00,13.3,86.2
2020-05-18:06.00.00,13.4,86.2
2020-05-18:09.00.00,13.7,86.2
2020-05-18:12.00.00,14.0,86.3
2020-05-18:15.00.00,14.5,86.4
2020-05-18:18.00.00,14.9,86.5
2020-05-18:21.00.00,15.2,86.6
2020-05-19:00.00.00,15.6,86.7
2020-05-19:03.00.00,16.0,86.8
2020-05-19:06.00.00,16.5,86.9
2020-05-19:09.00.00,17.0,86.9
2020-05-19:12.00.00,17.4,87.0
2020-05-19:15.00.00,18.1,87.1
2020-05-19:18.00.00,18.4,87.2
2020-05-19:21.00.00,18.7,87.2
2020-05-20:00.00.00,19.1,87.5
2020-05-20:03.00.00,19.8,87.7
2020-05-20:06.00.00,20.6,88.0
2020-05-20:09.00.00,21.4,88.1
