time,latitude,longitude
2019-11-30:18.00.00,4.6,58
2019-11-30:21.00.00,4.71002,57.78
2019-12-01:00.00.00,4.8,57.6
2019-12-01:03.00.00,4.85749,57.485
2019-12-01:06.00.00,4.9,57.4
2019-12-01:09.00.00,4.9425,57.3
2019-12-01:12.00.00,5,57.2
2019-12-01:15.00.00,5.085,57.0925
2019-12-01:18.00.00,5.2,57
2019-12-01:21.00.00,5.3425,56.935
2019-12-02:00.00.00,5.5,56.9
2019-12-02:03.00.00,5.6575,56.8925
2019-12-02:06.00.00,5.8,56.9
2019-12-02:09.00.00,5.9075,56.8925
2019-12-02:12.00.00,5.94,56.84
2019-12-02:15.00.00,6.03061,56.801
2019-12-02:18.00.00,6.15714,56.7857
2019-12-02:21.00.00,6.31102,56.8031
2019-12-03:00.00.00,6.5,56.85
2019-12-03:03.00.00,6.72875,56.8537
2019-12-03:06.00.00,6.9,56.85
2019-12-03:09.00.00,6.97421,56.9155
2019-12-03:12.00.00,7,57
2019-12-03:15.00.00,7.04625,57.0325
2019-12-03:18.00.00,7.1,57.05
2019-12-03:21.00.00,7.15421,57.0784
2019-12-04:00.00.00,7.25,57.1
2019-12-04:03.00.00,7.40999,57.1187
2019-12-04:06.00.00,7.5,57.1
2019-12-04:09.00.00,7.58002,57.0041
2019-12-04:12.00.00,7.75,56.9
2019-12-04:15.00.00,8.11249,56.8824
2019-12-04:18.00.00,8.55,56.85
2019-12-04:21.00.00,8.99689,56.7246
2019-12-05:00.00.00,9.3,56.55
2019-12-05:03.00.00,9.31627,56.3512
2019-12-05:06.00.00,9.4,56.05
2019-12-05:09.00.00,9.34377,55.4425
2019-12-05:12.00.00,9.3,54.95
2019-12-05:15.00.00,9.14996,54.66
2019-12-05:18.00.00,8.85,54.3
2019-12-05:21.00.00,8.60998,53.8963
2019-12-05:00.00.00,8.3,53.4
2019-12-06:03.00.00,8.14246,53.1113
2019-12-06:06.00.00,7.95,52.75
2019-12-06:09.00.00,7.85997,52.5475
2019-12-06:12.00.00,7.85,52.15
2019-12-06:15.00.00,7.80002,51.6076
2019-12-06:18.00.00,7.75,51.05
2019-12-06:21.00.00,7.74374,50.56
2019-12-07:00.00.00,7.65,49.75
2019-12-07:03.00.00,7.61281,49.3686
2019-12-07:06.00.00,7.53333,48.9
2019-12-07:09.00.00,7.36795,48.5
2019-12-07:12.00.00,7.2,48.2
2019-12-07:15.00.00,7.1176,47.8125
2019-12-07:18.00.00,7.1,47.4
