time,latitude,longitude
2014-06-08:06.00.00,12.4,68.3
2014-06-08:09.00.00,12.62,68.1401
2014-06-08:12.00.00,12.8,68
2014-06-08:15.00.00,12.915,67.8925
2014-06-08:18.00.00,13,67.8
2014-06-08:21.00.00,13.1,67.6775
2014-06-09:00.00.00,13.2,67.6
2014-06-09:03.00.00,13.2849,67.5751
2014-06-09:06.00.00,13.4,67.7
2014-06-09:09.00.00,13.5626,68.055
2014-06-09:12.00.00,13.8,68.5
2014-06-09:15.00.00,14.1351,68.9247
2014-06-09:18.00.00,14.5,69.2
2014-06-09:21.00.00,14.8074,69.1827
2014-10-26:00.00.00,15.1,69
2014-06-10:03.00.00,15.415,68.8225
2014-06-10:06.00.00,15.7,68.6
2014-06-10:09.00.00,15.838,68.386
2014-06-10:12.00.00,16.0667,68.0667
2014-06-10:15.00.00,16.295,67.775
2014-06-10:18.00.00,16.45,67.55
2014-06-10:21.00.00,16.4928,67.3731
2014-06-11:00.00.00,16.55,67.2
2014-06-11:03.00.00,16.7387,66.9787
2014-06-11:06.00.00,16.95,66.7
2014-06-11:09.00.00,17.1325,66.475
2014-06-11:12.00.00,17.4,66.2
2014-06-11:15.00.00,17.5575,65.9749
2014-06-11:18.00.00,17.6,65.75
2014-06-11:21.00.00,17.675,65.5788
2014-06-12:00.00.00,17.9,65.25
2014-06-12:03.00.00,18.0463,64.9462
2014-06-12:06.00.00,18.15,64.65
2014-06-12:09.00.00,18.3357,64.3357
2014-06-12:12.00.00,18.5,64.1
2014-06-12:15.00.00,18.7779,63.9862
2014-06-12:18.00.00,19.3,64.1
2012-06-12:21.00.00,19.8741,64.4002
2012-06-13:00.00.00,20.4,64.6
2012-06-13:03.00.00,20.7,64.4
2012-06-13:06.00.00,21.2,64
2012-06-13:09.00.00,21.3885,63.9042
2012-06-13:12.00.00,21.4,64
2012-06-13:15.00.00,21.4575,64.0775
2012-06-13:18.00.00,21.5,64.2
2012-06-13:21.00.00,21.55,64.3425
2012-06-14:00.00.00,21.6,64.5
2012-06-14:03.00.00,21.6575,64.6425
2012-06-14:06.00.00,21.7,64.8
2014-06-14:09.00.00,21.7101,64.99
2014-06-14:12.00.00,21.7,65.2
