time,latitude,longitude
2020-11-22:06.00.00,7.8,86.1
2020-11-22:09.00.00,8.16503,85.8501
2020-11-22:12.00.00,8.5,85.6
2020-11-22:15.00.00,8.77998,85.35
2020-11-22:18.00.00,9,85.1
2020-11-22:21.00.00,9.1,85.3
2020-11-23:00.00.00,9.3,84.5
2020-11-23:03.00.00,9.5,84.2
2020-11-23:06.00.00,9.6,84
2020-11-23:09.00.00,9.73,83.95
2020-11-23:12.00.00,9.8,83.65
2020-11-23:15.00.00,9.9,83.6
2020-11-23:18.00.00,9.95,83.45
2020-11-23:21.00.00,9.85,83.3
2020-11-24:00.00.00,9.8,82.95
2020-11-24:03.00.00,9.85,82.85
2020-11-24:06.00.00,9.9,82.7
2020-11-24:09.00.00,10,82.6
2020-11-24:12.00.00,10.1,82.5
2020-11-24:15.00.00,10.1,82.4
2020-11-24:18.00.00,10.2,82.3
2020-11-24:21.00.00,10.3,82.2
2020-11-25:00.00.00,10.5,82
2020-11-25:03.00.00,10.7,81.7
2020-11-25:06.00.00,11,81.3
2020-11-25:09.00.00,11.2,81
2020-11-25:12.00.00,11.4,80.7
2020-11-25:15.00.00,11.7,80.4
2020-11-25:18.00.00,12,80.1
2020-11-25:21.00.00,12.1,79.9
2020-11-26:00.00.00,12.3,79.7
2020-11-26:03.00.00,12.6,79.4
2020-11-26:06.00.00,12.9,79.6
2020-11-26:09.00.00,13.3,79.8
2020-11-26:12.00.00,13.4,79.4
2020-11-26:15.00.00,13.6,79.6
2020-11-26:18.00.00,13.76,79.8
2020-11-26:21.00.00,13.8425,80.645
2020-11-27:00.00.00,14,80.7
2020-11-27:03.00.00,14.1775,80.645
2020-11-27:06.00.00,14.4,80.5
2020-11-27:09.00.00,14.6825,80.3101
2020-11-27:12.00.00,15,80.1
