time,latitude,longitude
2010-05-16:18.00.00,9.8,90.4
2010-05-16:21.00.00,10.1825,90.0702
2010-05-17:00.00.00,10.5,89.7
2010-05-17:03.00.00,10.715,89.2649
2010-05-17:06.00.00,10.82,88.74
2010-05-17:09.00.00,11.0175,88.3175
2010-05-17:12.00.00,11.2286,87.9429
2010-05-17:15.00.00,11.4224,87.5937
2010-05-17:18.00.00,11.6,87.2
2010-05-17:21.00.00,11.6618,86.804
2010-05-18:00.00.00,11.8,86.25
2010-05-18:03.00.00,12.1425,85.4399
2010-05-18:06.00.00,12.5,84.6
2010-05-18:09.00.00,12.9113,84.0064
2010-05-18:12.00.00,13.05,83.45
2010-05-18:15.00.00,13.0899,82.9773
2010-05-18:18.00.00,13.1,82.55
2010-05-18:21.00.00,13.1425,82.11
2010-05-19:00.00.00,13.45,81.95
2010-05-19:03.00.00,13.5212,81.8275
2010-05-19:06.00.00,13.6,81.5
2010-05-19:09.00.00,13.9137,81.4675
2010-05-19:12.00.00,14,81.45
2010-05-19:15.00.00,14.1425,81.4075
2010-05-19:18.00.00,14.55,81.1
2010-05-19:21.00.00,14.6863,81.0288
2010-05-20:00.00.00,15.05,80.95
2010-05-20:03.00.00,15.3825,80.6175
2010-05-20:06.00.00,15.55,80.55
2010-05-20:09.00.00,15.675,80.51
2010-05-20:12.00.00,15.85,80.5
2010-05-20:15.00.00,15.9212,80.5137
2010-05-20:18.00.00,16,80.55
2010-05-20:21.00.00,16.1,80.6925
2010-05-21:00.00.00,16.3143,80.8
2010-05-21:03.00.00,16.5433,80.9567
2010-05-21:06.00.00,16.76,81.18
2010-05-21:09.00.00,16.8075,81.2925
2010-05-21:12.00.00,16.9,81.5
2010-05-21:15.00.00,16.9975,81.7025
2010-05-21:18.00.00,17.1,81.9
