time,latitude,longitude
2001-09-24:00.00.00,16.6,69.8
2001-09-24:03.00.00,16.6475,69.65
2001-09-24:06.00.00,16.7,69.5
2001-09-24:09.00.00,16.806,69.38
2001-09-24:12.00.00,16.8667,69.3
2001-09-24:15.00.00,16.8858,69.1387
2001-09-24:18.00.00,16.9,68.95
2001-09-24:21.00.00,16.9174,68.9341
2001-09-25:00.00.00,16.95,68.85
2001-09-25:03.00.00,16.9963,68.5288
2001-09-25:06.00.00,17.05,68.2
2001-09-25:09.00.00,17.1,68.1287
2001-09-25:12.00.00,17.15,68.05
2001-09-25:15.00.00,17.1962,67.9575
2001-09-25:18.00.00,17.25,67.85
2001-09-25:21.00.00,17.3175,68.2325
2001-09-26:00.00.00,17.4,67.6
2001-09-26:03.00.00,18,67.2075
2001-09-26:06.00.00,17.85,66.8
2001-09-26:09.00.00,18.1825,66.3825
2001-09-26:12.00.00,18.4,65.95
2001-09-26:15.00.00,18.5575,65.7537
2001-09-26:18.00.00,18.6,65.3
2001-09-26:21.00.00,18.6287,65.0962
2001-09-27:00.00.00,18.65,64.65
2001-09-27:03.00.00,18.675,63.9675
2001-09-27:06.00.00,18.7,63.8
2001-09-27:09.00.00,18.725,63.5431
2001-09-27:12.00.00,18.75,63.25
2001-09-27:15.00.00,18.8142,62.9819
2001-09-27:18.00.00,18.9,62.6667
2001-09-27:21.00.00,19.026,62.3
2001-09-28:00.00.00,19.2,62
2001-09-28:03.00.00,19.1925,61.7424
2001-09-28:06.00.00,19.2,61.5
2001-09-28:09.00.00,19.2775,61.2901
2001-09-28:12.00.00,19.4,61.1
