time,latitude,longitude
2008-11-24:06.00.00,8.7,81.8
2008-11-24:09.00.00,8.81007,81.5201
2008-11-24:12.00.00,8.9,81.3
2008-11-24:15.00.00,8.95747,81.1775
2008-11-24:18.00.00,9,81.1
2008-11-24:21.00.00,9.0425,81
2008-11-25:00.00.00,9.1,80.9
2008-11-25:03.00.00,9.185,80.8
2008-11-25:06.00.00,9.3,80.7
2008-11-25:09.00.00,9.254,80.668
2008-11-25:12.00.00,9.23333,80.6667
2008-11-25:15.00.00,9.42857,80.6971
2008-11-25:18.00.00,9.7,80.5
2008-11-25:21.00.00,10.0213,80.3
2008-11-26:00.00.00,10.1,80.35
2008-11-26:03.00.00,10.45,80.3613
2008-11-26:06.00.00,10.55,80.35
2008-11-26:09.00.00,10.6325,80.3362
2008-11-26:12.00.00,10.85,80.3
2008-11-26:15.00.00,11.0038,80.2325
2008-11-26:18.00.00,11.05,80.15
2008-11-26:21.00.00,11.0962,80.0825
2008-11-27:00.00.00,11.3,79.95
2008-11-27:03.00.00,11.4787,79.6475
2008-11-27:06.00.00,11.6803,79.4009
2008-11-27:09.00.00,11.7617,79.0532
2008-11-27:12.00.00,11.76,78.58
2008-11-27:15.00.00,11.8773,78.18
2008-11-27:18.00.00,12.1,77.7
2008-11-27:21.00.00,12.308,77.0902
2008-11-28:00.00.00,12.5,76.4
