,in_vor200,in_vor600,in_vor850,in_hum200,in_hum600,in_hum850
0,-1.2908980352221988e-05,5.6661323469597846e-05,3.5258148272987455e-05,98.88756561279297,93.05734252929688,84.56623840332031
1,-1.4730318071087822e-05,5.728595351683907e-05,3.540340549079701e-05,99.85987091064453,93.42291259765625,86.88115692138672
2,6.0952152125537395e-06,5.768854316556826e-05,3.0262066502473317e-05,100.40826416015625,96.19005584716797,91.60723876953125
3,1.4732017007190734e-05,6.36943950667046e-05,3.4160570066887885e-05,99.65325927734375,95.66687774658203,89.68280029296875
4,-1.5211285244731698e-06,6.0938957176404074e-05,3.25685141433496e-05,99.25285339355469,94.7635726928711,89.02009582519531
5,-2.0225008483976126e-05,6.989354733377695e-05,3.565428778529167e-05,99.8136215209961,96.73323822021484,86.88368225097656
6,8.609658266323095e-07,7.035376620478928e-05,4.0237202483695e-05,97.54491424560547,96.63948822021484,88.85872650146484
7,3.890309017151594e-06,7.480772910639644e-05,5.271099507808685e-05,96.74436950683594,95.76546478271484,89.20199584960938
8,-8.151866495609283e-06,7.047411054372787e-05,5.69857656955719e-05,98.10638427734375,94.34398651123047,87.92039489746094
9,-1.1904630810022354e-05,7.007119711488485e-05,4.4580898247659206e-05,99.759033203125,93.24299621582031,86.37911987304688
10,-1.3836368452757597e-05,7.334398105740547e-05,3.854604437947273e-05,99.19232177734375,90.541259765625,88.28471374511719
11,-1.4265242498368025e-05,7.428799290210009e-05,4.4687301851809025e-05,95.17506408691406,90.34901428222656,88.23075866699219
12,-1.9560742657631636e-05,6.560375913977623e-05,5.600624717772007e-05,93.41046905517578,89.57574462890625,88.04408264160156
13,-1.5524914488196373e-05,6.166461389511824e-05,6.244098767638206e-05,89.7333755493164,90.29460906982422,87.99637603759766
14,-1.4143937733024359e-05,5.963293369859457e-05,6.005831528455019e-05,97.05859375,94.72612762451172,88.61582946777344
15,-1.9590137526392937e-05,6.256456254050136e-05,6.19752099737525e-05,99.69961547851562,93.30003356933594,89.07382202148438
16,-2.3485335987061262e-05,6.656849291175604e-05,6.168382242321968e-05,92.53541564941406,93.85808563232422,92.44780731201172
17,-2.7177506126463413e-05,6.77815405651927e-05,5.572778172791004e-05,82.48561096191406,91.79483795166016,93.84191131591797
18,-2.8241247491678223e-05,5.4530402849195525e-05,6.185866368468851e-05,79.91775512695312,87.46349334716797,89.32430267333984
19,-3.387965261936188e-05,4.794809501618147e-05,6.364902947098017e-05,77.89054870605469,85.72901153564453,90.41532897949219
20,-3.054447006434202e-05,5.3295574616640806e-05,5.8674486353993416e-05,69.182861328125,86.2471923828125,90.82151794433594
21,-2.9619724955409765e-05,5.389982834458351e-05,5.685666110366583e-05,61.47216796875,87.57254028320312,90.43963623046875
22,-3.433879464864731e-05,5.621020682156086e-05,6.365531589835882e-05,63.53312683105469,88.68223571777344,90.95470428466797
23,-3.720325184985995e-05,5.161948502063751e-05,6.318511441349983e-05,59.36951446533203,84.86528778076172,88.04248809814453
24,-3.5958713851869106e-05,4.8232555855065584e-05,5.962769500911236e-05,58.52859878540039,82.8808822631836,83.56605529785156
25,-3.60364792868495e-05,4.634785000234842e-05,5.053565837442875e-05,64.57474517822266,81.88052368164062,81.30110168457031
26,-4.461454227566719e-05,4.6221306547522545e-05,4.4527812860906124e-05,69.63656616210938,81.42474365234375,81.23199462890625
27,-4.7683948650956154e-05,4.243198782205582e-05,4.427204839885235e-05,73.77796936035156,79.70855712890625,82.17111206054688
28,-4.209292819723487e-05,3.909762017428875e-05,4.183629062026739e-05,79.23435974121094,79.25074768066406,82.80699920654297
29,-3.834359813481569e-05,3.5448349080979824e-05,4.0837679989635944e-05,77.44305419921875,79.70878601074219,83.02521514892578
30,-3.633852247730829e-05,3.19022910844069e-05,3.8588736060773954e-05,58.74604415893555,81.69715118408203,84.56080627441406
