,in_vor200,in_vor600,in_vor850,in_hum200,in_hum600,in_hum850
0,-1.1467491276562214e-05,6.843660958111286e-05,9.01627354323864e-05,98.01718139648438,90.20159912109375,91.88871765136719
1,-1.4401855878531933e-05,6.368139293044806e-05,8.682941552251577e-05,98.91474151611328,90.14747619628906,93.21183013916016
2,-1.4395161997526884e-05,6.570550613105297e-05,9.188649710267782e-05,96.83787536621094,90.21481323242188,92.79337310791016
3,-1.3731943909078836e-05,6.760936230421066e-05,9.896524716168642e-05,98.87323760986328,90.15519714355469,91.7862548828125
4,-1.712635457806755e-05,6.526133802253753e-05,9.246523404726759e-05,99.54764556884766,89.36709594726562,87.6775894165039
5,-4.420697223395109e-06,7.56287481635809e-05,0.00010497472248971462,100.95396423339844,87.84689331054688,92.28553771972656
6,-1.972599420696497e-06,8.09250632300973e-05,0.00010745157487690449,100.0440902709961,87.197021484375,94.11898040771484
7,1.033127773553133e-06,8.729379624128342e-05,0.00010132743045687675,99.01046752929688,88.40843200683594,92.0390853881836
8,1.745822373777628e-06,9.460386354476213e-05,0.00010561046656221151,99.01615905761719,89.9382095336914,90.75015258789062
9,-5.155045073479414e-06,8.745596278458834e-05,0.00010897521860897541,92.45100402832031,91.44339752197266,92.51323699951172
10,-4.222233201289782e-06,8.483551209792495e-05,9.664393292041495e-05,95.3443832397461,89.3226318359375,92.40216827392578
11,9.157811291515827e-07,9.005051106214523e-05,9.830435737967491e-05,96.50916290283203,86.67845916748047,91.48003387451172
12,1.768232323229313e-06,9.712879545986652e-05,0.00010654435027390718,95.42488861083984,87.8522720336914,90.85796356201172
13,7.132708560675383e-06,9.71498666331172e-05,0.00010086037218570709,94.31900024414062,87.71937561035156,90.99821472167969
14,1.480363039263466e-06,8.914079808164388e-05,9.257829515263438e-05,88.13168334960938,86.63536834716797,90.70558166503906
15,8.920731488615274e-06,9.80735057964921e-05,0.0001074580941349268,83.88037872314453,88.88016510009766,91.66795349121094
16,1.770201743056532e-05,9.237198537448421e-05,0.00010966666013700888,80.7806625366211,90.23896789550781,90.6624984741211
17,3.094208659604192e-05,9.703479008749127e-05,0.00011774292215704918,80.29423522949219,89.58572387695312,91.70551300048828
18,2.397113166807685e-05,9.666925325291231e-05,0.00010251413914375007,75.1667251586914,87.39617919921875,90.08334350585938
19,1.9126164261251688e-05,0.00010008725803345442,0.0001085520489141345,65.87248229980469,80.51943969726562,91.54167175292969
20,2.2990958314039744e-05,9.214012243319303e-05,0.00011076634109485894,69.72116088867188,73.56549072265625,91.60372161865234
21,8.89698276296258e-06,9.898585267364979e-05,0.00011674733832478523,71.71361541748047,72.40343475341797,92.59405517578125
22,8.232076652348042e-06,9.957107249647379e-05,0.00011159025598317385,76.64588165283203,70.79747009277344,93.1895751953125
23,1.8336577340960503e-06,9.205308742821217e-05,0.00010804785415530205,73.31049346923828,75.90713500976562,92.05284118652344
24,9.08400397747755e-06,9.0955407358706e-05,0.00010801036842167377,58.93098449707031,79.57846069335938,92.10270690917969
25,8.613220416009426e-06,9.037461131811142e-05,0.00010533793829381466,52.57240295410156,77.47129821777344,92.29076385498047
26,2.9574559903267073e-06,8.615478873252869e-05,9.429226338397712e-05,49.1645622253418,72.429443359375,93.45384979248047
27,1.4239340089261532e-06,8.36268300190568e-05,9.304319974035025e-05,53.267051696777344,71.1092300415039,95.02890014648438
28,3.420501343498472e-06,8.222054020734504e-05,8.917607920011505e-05,51.63093185424805,68.57752227783203,95.74186706542969
29,5.272857379168272e-06,8.610007353127003e-05,9.162537753582001e-05,50.50957489013672,72.49755096435547,95.1764144897461
30,5.423789843916893e-06,8.307804819196463e-05,8.843827527016401e-05,41.558353424072266,74.24517059326172,95.29270935058594
31,9.380921255797148e-06,8.392310701310635e-05,8.901278488337994e-05,31.03944969177246,74.36869812011719,96.7685317993164
32,1.9155291738570668e-05,7.999755325727165e-05,7.790179370203987e-05,28.57150650024414,64.71939849853516,96.4167251586914
33,2.731796121224761e-05,8.412578608840704e-05,8.080853149294853e-05,30.184574127197266,60.9792594909668,95.97925567626953
34,2.3913336917757988e-05,8.319085463881493e-05,7.67227029427886e-05,26.59600257873535,61.260765075683594,96.21216583251953
35,9.998329915106297e-06,7.744738832116127e-05,7.212453056126833e-05,27.19482421875,64.52662658691406,96.89138793945312
36,1.8325004020880442e-06,7.135234773159027e-05,6.694460171274841e-05,25.47434425354004,72.96511840820312,95.60246276855469
37,-1.968446213140851e-06,6.882838351884857e-05,6.320641114143655e-05,23.792850494384766,75.442626953125,96.37911987304688
38,3.3493784030724782e-06,6.656382902292535e-05,6.348661554511636e-05,23.641935348510742,73.70823669433594,96.17813873291016
39,1.5170138794928789e-05,6.687210407108068e-05,6.7870132625103e-05,23.0396728515625,74.84710693359375,95.91702270507812
40,6.85668783262372e-06,6.493611726909876e-05,7.015711162239313e-05,31.983118057250977,70.78184509277344,94.08832550048828
41,-1.6223639249801636e-06,6.41185324639082e-05,7.358833681792021e-05,37.7086181640625,66.2957992553711,94.37024688720703
42,1.9291765056550503e-06,5.991326179355383e-05,7.469381671398878e-05,40.47423553466797,65.28255462646484,94.68157958984375
43,1.2335751307546161e-05,5.8483648899709806e-05,7.15108762960881e-05,37.409889221191406,64.63440704345703,93.93695831298828
44,1.927244011312723e-05,5.8538164012134075e-05,7.232907228171825e-05,30.02959442138672,57.60694122314453,91.55020904541016
45,2.0532868802547455e-05,5.3027993999421597e-05,6.995524745434523e-05,26.339641571044922,54.857078552246094,91.50850677490234
46,1.35251902975142e-05,4.277774132788181e-05,6.773637142032385e-05,22.18051528930664,54.203121185302734,91.74810028076172
47,1.8681224901229143e-05,3.404438029974699e-05,6.702309474349022e-05,23.43088722229004,53.65005874633789,93.96155548095703
48,2.9457185064529767e-06,2.4684088202775456e-05,6.035608384991065e-05,29.547298431396484,57.201385498046875,93.51395416259766
49,-9.826791938394308e-06,2.0946143195033073e-05,6.451411172747612e-05,36.225589752197266,50.566123962402344,93.87540435791016
50,-1.0763586033135653e-05,1.563900150358677e-05,6.33099116384983e-05,39.740047454833984,42.94612121582031,93.2848892211914
51,-2.4553737603127956e-06,1.1561904102563858e-05,6.074877455830574e-05,46.05923843383789,43.76885223388672,92.74003601074219
52,5.332356067810906e-06,1.0533463864703663e-05,5.4945277952356264e-05,56.62191390991211,35.941184997558594,92.8082046508789
53,-1.9232393242418766e-06,1.3649463653564453e-05,5.541800055652857e-05,72.95179748535156,30.770845413208008,93.89308166503906
54,-9.121664334088564e-06,1.0121962986886501e-05,5.077139940112829e-05,82.27262878417969,27.556936264038086,95.3767318725586
55,-4.565110430121422e-06,7.0265959948301315e-06,5.0092581659555435e-05,71.26502990722656,32.388694763183594,94.62077331542969
56,-1.0337040293961763e-05,1.0190648026764393e-05,5.105056334286928e-05,83.37071990966797,32.4039421081543,94.15705871582031
