,Pmin
0,1007.735
1,1007.938125
2,1009.74125
3,1008.1125
4,1006.7775
5,1007.04125
6,1008.418125
7,1007.9775
8,1007.805625
9,1008.378125
10,1010.68375
11,1010.24125
12,1009.585
13,1010.279375
14,1010.788125
15,1010.095625
16,1009.0075
17,1008.775
18,1010.694375
19,1009.99125
20,1008.29125
21,1008.034375
22,1008.7925
23,1007.969375
24,1007.284375
25,1007.493125
26,1009.830625
27,1009.47125
28,1008.13375
29,1008.89375
30,1010.079375
31,1010.258125
32,1009.3275
33,1009.89875
34,1012.56375
35,1013.015
36,1011.833125
37,1011.824375
38,1013.635625
39,1014.151875
40,1013.763125
41,1014.0875
42,1015.68125
43,1016.435625
44,1015.061875
45,1015.029375
46,1016.55
47,1016.461875
48,1015.65375
49,1014.78625
50,1016.228125
51,1016.74
52,1015.76875
53,1015.0225
54,1016.1325
55,1016.22
56,1015.236875
57,1014.249375
58,1015.4725
59,1015.55875
60,1014.160625
