time,lat,lon
2019-10-16:00.00.00,17.2667,132.767
2019-10-16:03.00.00,17.5316,132.29
2019-10-16:06.00.00,17.7667,131.833
2019-10-16:09.00.00,17.9175,131.389
2019-10-16:12.00.00,18.0333,131.1
2019-10-16:15.00.00,18.1591,130.674
2019-10-16:18.00.00,18.3,130.433
2019-10-16:21.00.00,18.4733,130.267
2019-10-17:00.00.00,18.6667,130.167
2019-10-17:03.00.00,18.8717,130.08
2019-10-17:06.00.00,19.0667,130.033
2019-10-17:09.00.00,19.2292,130.028
2019-10-17:12.00.00,19.3667,130.033
2019-10-17:15.00.00,19.4908,130.012
2019-10-17:18.00.00,19.6,129.962
2019-10-17:21.00.00,19.68,129.882
2019-10-18:00.00.00,19.76,129.8
2019-10-18:03.00.00,19.8725,129.752
2019-10-18:06.00.00,20.025,129.675
2019-10-18:09.00.00,20.1943,129.543
2019-10-18:12.00.00,20.375,129.325
2019-10-18:15.00.00,20.5519,129.001
2019-10-18:18.00.00,20.725,128.625
2019-10-18:21.00.00,20.8781,128.267
2019-10-19:00.00.00,21.05,127.925
2019-10-19:03.00.00,21.2894,127.578
2019-10-19:06.00.00,21.525,127.325
2019-10-19:09.00.00,21.6543,127.224
2019-10-19:12.00.00,21.825,127.251
2019-10-19:15.00.00,22.1625,127.338
2019-10-19:18.00.00,22.575,127.51
2019-10-19:21.00.00,22.9466,127.649
2019-10-20:00.00.00,23.375,127.925
2019-10-20:03.00.00,23.921,128.431
2019-10-20:06.00.00,24.51,129.025
2019-10-20:09.00.00,24.9671,129.501
2019-10-20:12.00.00,25.525,130.025
2019-10-20:15.00.00,26.3106,130.693
2019-10-20:18.00.00,27.15,131.425
2019-10-20:21.00.00,28.019,132.233
2019-10-21:00.00.00,28.875,133.025
2019-10-21:03.00.00,29.6675,133.699
2019-10-21:06.00.00,30.3286,134.257
2019-10-21:09.00.00,30.8025,134.775
2019-10-21:12.00.00,31.1333,135.367
2019-10-21:15.00.00,31.5785,136.073
2019-10-21:18.00.00,31.9333,136.8
2019-10-21:21.00.00,32.1186,137.458
2019-10-22:00.00.00,32.2,138.067
