,out_div100,out_div200,out_div250,out_div300,out_div400,out_div500,out_eqt1000,out_eqt200,out_eqt250,out_eqt300,out_eqt400,out_eqt500,out_eqt600,out_eqt700,out_eqt850,out_eqt925,out_sh850_200,out_sh850_250,out_sh925_200,out_sh925_250,out_ws10,out_wstrss10
0,8.66438218002605e-06,1.463775351134679e-05,2.0306908667623796e-06,-2.2436247637337687e-06,-3.331066898994925e-06,-7.015613586198607e-07,330.4304299025658,350.5099858781898,348.49986840624797,346.1745826604908,342.8163608086876,338.91266742648156,335.19803080340745,332.52534166837995,325.1660548875784,323.67933170066084,16.97423942482955,12.20014953226798,16.635364680135012,11.885703917068279,6.160313993563442,0.9610089831823135
1,5.955064649197419e-06,1.4039268107990215e-05,1.9853372365480115e-06,-2.8587205738928556e-06,-2.8960193477557222e-06,-5.762159377475929e-07,330.2599293231964,351.0271913687388,348.960866467158,346.3542209466298,343.0672203540802,339.3154299259186,335.2843786716461,331.04103796032894,301.6732462678132,294.835876739103,16.842468853186194,12.150677627860569,16.774386348218346,12.058316726598424,6.31472077872022,0.985096441527033
2,2.6784196983253895e-06,1.2369589677578437e-05,2.6493393610779644e-06,-2.705115449932958e-06,-2.0228133610977934e-06,-1.0082594955551868e-06,329.465358583759,351.4709986057519,349.2466224258866,346.54948161746455,343.1600416191386,339.61178383095137,335.4826421618956,318.21055692405514,317.486251225191,323.2425934151758,16.152937637448805,11.90283439627605,16.379930812788206,12.085282971730834,6.322403856951172,0.9862950016624639
3,3.3748385260333007e-06,1.068362631529325e-05,2.1164092187881772e-06,-1.3245561216415624e-06,-4.248471898777062e-07,-9.25111118511831e-07,329.04635926882423,351.4429457982381,349.2177615483602,346.52768070697783,343.0670448144277,339.6450899044673,335.4952086130778,304.61934793342664,328.62204404209933,324.2637856021107,15.12422369432946,11.667493491418039,15.472108512030294,11.991304594635343,6.645526812799896,1.0367021826037672
4,4.005223820689509e-06,1.006557759956524e-05,4.8507497867884945e-06,1.2434835581028384e-06,4.7296107778387977e-07,-1.1949920258119232e-06,330.00628350575766,351.19227437178296,349.0123399098714,346.74199844996133,343.5140304724375,339.6972207864126,336.1389675060908,314.58808766240656,322.710921775463,297.0190181777483,15.884801618785907,10.998317610736315,16.25481326407753,11.375207532554244,6.840563867023835,1.0671279629226773
5,8.887568253046023e-06,1.157815250281043e-05,5.288233095325732e-06,1.091091641070944e-06,-2.3710644385209246e-07,-1.562722618669601e-06,332.8579350868861,350.9073468923569,348.83425539334615,346.59977362155917,343.28558270931245,339.67382480303445,335.84061811765037,327.44826197048314,302.82523718388126,325.6835926273201,15.494114301198472,10.856877266584585,15.849137583871682,11.248977087422585,7.06613537290444,1.1023171180238327
6,8.184377617612611e-06,1.1675344727812379e-05,4.092726807014557e-06,9.298367346925624e-07,-3.033307675720058e-07,-1.45036311106674e-07,334.7866434017817,350.5257141192754,348.71303121248883,346.5777305603027,343.1066727002462,339.74390324751533,335.62552605470023,332.49139725583274,326.4102571176928,324.11759778646484,16.160797268462677,11.896926585930244,16.457986132490138,12.24879806136402,7.517185479837159,1.172680933571731
7,6.640129613968172e-06,1.2026436780902353e-05,4.177353453900523e-06,8.160745471233466e-07,-6.513095245554156e-07,-4.5971347679534444e-07,333.64946731726326,350.32725524902344,348.66639755566916,346.72657639980315,342.87667637666067,339.6415955464045,335.2846480766932,333.51886067807095,326.0571738620137,300.93906535867006,16.546410028698542,12.561665852519218,16.834406660869718,12.900323266951212,7.867798371302585,1.2273765472462401
8,5.320685758194999e-06,1.1988230384454382e-05,4.188649358270273e-06,2.903310573897956e-06,-2.867171440537955e-06,-6.472854463114112e-07,333.3522301594416,350.63991457621256,348.7768347581228,346.94480712413787,343.0330530087153,339.43348345756533,335.7368764638901,331.89958886266913,299.0180917548005,327.220691219654,16.389690004227063,11.0388015557779,16.68238889152805,11.3146828959696,8.073063105919088,1.2593978439748752
9,6.882618623907146e-06,1.1386255563760235e-05,2.965334641301792e-06,2.6862411609200756e-06,-3.833515935213148e-06,-8.302852767913537e-07,333.5156592766444,351.1135283231735,349.19970556894935,347.34799972375237,342.9930341164271,339.4765018781026,335.7191819588343,325.9546158799847,319.87791650075314,321.9628683524796,16.022091026697307,10.477059681354634,16.37468091941749,10.82089615111472,8.049022150536379,1.2556474570184946
