,div100,div200,div250,div300,div400,div500,eqt1000,eqt200,eqt250,eqt300,eqt400,eqt500,eqt600,eqt700,eqt850,eqt925,sh850_200,sh850_250,sh925_200,sh925_250,ws10,wstrss10
0,1.2474716641008854e-05,2.3237967980094254e-05,2.0166116883046925e-05,1.7295224097324535e-05,3.7955888387841696e-07,-1.3002598279854283e-05,335.936279296875,352.3235168457031,351.2449951171875,350.0912170410156,347.28631591796875,344.538818359375,339.1212158203125,339.6846923828125,333.9642028808594,330.91571044921875,9.128341674804688,7.665345191955566,9.477923393249512,8.258563995361328,5.827025413513184,0.9090160131454468
1,2.4809862225083634e-05,3.033060784218833e-05,3.0338465876411647e-05,1.0290777936461382e-05,-1.3868941096006893e-05,-2.0486673747655004e-05,335.6766052246094,352.38543701171875,351.70147705078125,350.48974609375,347.4772644042969,344.821044921875,338.87445068359375,338.634521484375,333.7145080566406,331.4104919433594,9.644979476928711,7.2958984375,9.497936248779297,7.451412200927734,5.947817325592041,0.9278594851493835
2,3.4814180253306404e-05,3.015290349139832e-05,3.1157233024714515e-05,1.2153551324445289e-05,-1.2743463230435736e-05,-2.22356593440054e-05,336.3086242675781,351.7777404785156,350.9916076660156,349.9775085449219,347.3631896972656,344.84271240234375,340.62066650390625,339.9973449707031,333.1875,330.2329406738281,9.640926361083984,7.871023654937744,8.975675582885742,7.2907257080078125,6.343211650848389,0.9895409941673279
3,2.8015932912239805e-05,2.8111804567743093e-05,2.286169365106616e-05,1.3508888514479622e-05,-1.2807945495296735e-05,-2.2669997633784078e-05,335.9755859375,351.6251220703125,350.6451110839844,349.7742614746094,347.23626708984375,344.4270935058594,340.55303955078125,340.2110595703125,333.28179931640625,330.2898254394531,9.280118942260742,7.451042175292969,8.902009963989258,7.0835490226745605,7.157707214355469,1.1166023015975952
4,2.2837768483441323e-05,2.185640187235549e-05,1.6496425814693794e-05,7.768238901917357e-06,-1.0270362508890685e-05,-1.4508728781947866e-05,335.25372314453125,351.49310302734375,350.6335754394531,349.69244384765625,346.7622985839844,344.0094299316406,340.58331298828125,339.8853454589844,333.70428466796875,330.9503173828125,9.822807312011719,7.054542541503906,9.536673545837402,6.9113688468933105,6.914276599884033,1.078627109527588
5,1.4214077054930385e-05,1.798672747099772e-05,8.539134796592407e-06,3.223871090085595e-06,-8.997373697638977e-06,-3.7072379655000987e-06,335.6929931640625,351.5735168457031,350.5255126953125,349.4056396484375,346.3280029296875,344.42596435546875,340.82489013671875,340.16705322265625,334.0372314453125,331.24359130859375,9.740673065185547,6.792764663696289,9.446695327758789,6.696511268615723,6.692204475402832,1.0439839363098145
6,2.153156492568087e-05,1.5541721950285137e-05,1.2171980415587313e-05,8.77850288816262e-06,-7.792021960995044e-07,-1.249847628059797e-06,335.74688720703125,352.340087890625,350.25885009765625,348.95550537109375,346.170166015625,344.7999267578125,341.2514953613281,341.3208923339844,334.38262939453125,331.0423583984375,9.56224250793457,6.610846519470215,9.41175651550293,6.415092468261719,6.9180521965026855,1.0792162418365479
7,3.259343793615699e-05,4.762292974191951e-06,9.077375580091029e-07,9.823765140026808e-06,6.848493285360746e-06,2.218422196165193e-06,335.3638610839844,353.53369140625,351.03314208984375,349.2783203125,346.3727111816406,346.0160217285156,341.9021301269531,342.1076354980469,334.75341796875,331.59515380859375,9.27944564819336,7.400793552398682,9.198060989379883,7.378849983215332,7.678210735321045,1.197800874710083
8,4.251093923812732e-05,6.0640377341769636e-06,4.019155312562361e-06,1.2617194443009794e-05,6.1877503867435735e-06,-5.6439639593008906e-06,336.8186950683594,354.2286071777344,351.3431396484375,349.7033996582031,346.9784240722656,346.6858215332031,342.228759765625,342.41986083984375,335.19805908203125,332.0819091796875,9.573404312133789,8.812185287475586,9.696290969848633,8.908382415771484,8.404159545898438,1.3110488653182983
9,3.9541246223961934e-05,1.3593582480098121e-05,1.0633376405166928e-05,1.2981013242097106e-05,-4.931972398480866e-06,-1.3261418644106016e-05,337.3759765625,353.34820556640625,351.4198913574219,350.0260009765625,347.5280456542969,346.73956298828125,342.02325439453125,342.24041748046875,335.2353820800781,332.2955322265625,9.872278213500977,9.568690299987793,9.710329055786133,9.532584190368652,8.491281509399414,1.324639916419983
