time,lat,lon
2015-07-26:00.00.00,22,90.8
2015-07-26:03.00.00,22,90.8
2015-07-26:06.00.00,22,90.5
2015-07-26:09.00.00,21.9999,90.4386
2015-07-26:12.00.00,22,90.5
2015-07-26:15.00.00,22,90.5
2015-07-26:18.00.00,22,90.5
2015-07-26:21.00.00,22,90.5
2015-07-27:00.00.00,22,90.5
2015-07-27:03.00.00,22,90.5
2015-07-27:06.00.00,22,90.5
2015-07-27:09.00.00,22,90.5
2015-07-27:12.00.00,22,90.5
2015-07-27:15.00.00,22,90.5
2015-07-27:18.00.00,22,90.5
2015-07-27:21.00.00,22,90.5
2015-07-28:00.00.00,22,90.5
2015-07-28:03.00.00,22,90.5
2015-07-28:06.00.00,21.58,90.4
2015-07-28:09.00.00,21.3719,90.3706
2015-07-28:12.00.00,21.2857,90.4572
2015-07-28:15.00.00,21.25,90.6813
2015-07-28:18.00.00,21.15,90.85
2015-07-28:21.00.00,21.0159,91.004
2015-07-29:00.00.00,20.95,91.1
2015-07-29:03.00.00,21.0137,91.1038
2015-07-29:06.00.00,21.1,91.15
2015-07-29:09.00.00,21.223,91.2263
2015-07-29:12.00.00,21.35,91.3
2015-07-29:15.00.00,21.4325,91.3288
2015-07-29:18.00.00,21.5,91.35
2015-07-29:21.00.00,21.5457,91.4
2015-07-30:00.00.00,21.65,91.45
2015-07-30:03.00.00,21.875,91.4862
2015-07-30:06.00.00,22.05,91.5
2015-07-30:09.00.00,22.1425,91.4825
2015-07-30:12.00.00,22.25,91.45
2015-07-30:15.00.00,22.4675,91.3899
2015-07-30:18.00.00,22.7143,91.2286
2015-07-30:21.00.00,22.9392,91.0634
2015-07-31:00.00.00,23.08,90.18
2015-07-31:03.00.00,23.1,90
2015-07-31:06.00.00,23.1,89.8
2015-07-31:09.00.00,23.1,89.6261
2015-07-31:12.00.00,23.1,89.5
2015-07-31:15.00.00,23.0925,89.4425
2015-07-31:18.00.00,23.1,89.4
2015-07-31:21.00.00,23.1534,89.2864
2015-08-01:00.00.00,23.2,89.2
2015-08-01:03.00.00,23.2,89.2
2015-08-01:06.00.00,23.5,88.8
2015-08-01:09.00.00,23.7008,88.593
2015-08-01:12.00.00,23.8,88.4
2015-08-01:15.00.00,23.8227,87.9799
2015-08-01:18.00.00,23.8,87.5
2015-08-01:21.00.00,23.8608,87.1551
2015-08-02:00.00.00,23.8,86.7
2015-08-02:03.00.00,23.5,86
2015-08-02:06.00.00,23.3,85.7
2015-08-02:09.00.00,23.1,85.5
