time,lat,lon
2019-10-22:18.00.00,14.7,66.4
2019-10-22:21.00.00,14.9201,66.7898
2019-10-23:00.00.00,15.1,67.2
2019-10-23:03.00.00,15.215,67.6426
2019-10-23:06.00.00,15.3,68.1
2019-10-23:09.00.00,15.4073,68.535
2019-10-23:12.00.00,15.5,69
2019-10-23:15.00.00,15.5728,69.5875
2019-10-23:18.00.00,15.6,70.1
2019-10-23:21.00.00,15.5873,70.36
2019-10-24:00.00.00,15.5,70.5
2019-10-24:03.00.00,15.296,70.6061
2019-10-24:06.00.00,15.2,70.6667
2019-10-24:09.00.00,15.3113,70.7838
2019-10-24:12.00.00,15.45,70.95
2019-10-24:15.00.00,15.5,71.1325
2019-10-24:18.00.00,15.55,71.3
2019-10-24:21.00.00,15.6387,71.4352
2019-10-25:00.00.00,15.75,71.55
2019-10-25:03.00.00,15.8712,71.6575
2019-10-25:06.00.00,16,71.8
2019-10-25:09.00.00,16.125,71.8012
2019-10-25:12.00.00,16.25,71.8
2019-10-25:15.00.00,16.3325,71.705
2019-10-25:18.00.00,16.45,71.45
2019-10-25:21.00.00,16.5363,71.1325
2019-10-26:00.00.00,16.55,70.75
2019-10-26:03.00.00,16.6,70.4212
2019-10-26:06.00.00,16.6,70
2019-10-26:09.00.00,16.6212,69.7425
2019-10-26:12.00.00,16.7,69.4
2019-10-26:15.00.00,16.7212,69.1287
2019-10-26:18.00.00,16.8,68.9
2019-10-26:21.00.00,16.8925,68.5325
2019-10-27:00.00.00,17,68.2
2019-10-27:03.00.00,17.125,67.8213
2019-10-27:06.00.00,17.25,67.4
2019-10-27:09.00.00,17.3962,67.0999
2019-10-27:12.00.00,17.5,66.8
2019-10-27:15.00.00,17.5962,66.5288
2019-10-27:18.00.00,17.85,66.25
2019-10-27:21.00.00,18.0362,65.775
2019-10-28:00.00.00,18.15,65.45
2019-10-28:03.00.00,18.2288,65.0637
2019-10-28:06.00.00,18.3,64.75
2019-10-28:09.00.00,18.3924,64.5387
2019-10-28:12.00.00,18.5,64.35
2019-10-28:15.00.00,18.6712,64.15
2019-10-28:18.00.00,18.8,63.95
2019-10-28:21.00.00,18.925,63.7962
2019-10-29:00.00.00,19.1,63.55
2019-10-29:03.00.00,19.2287,63.4212
2019-10-29:06.00.00,19.4,63.25
2019-10-29:09.00.00,19.4612,63.125
2019-10-29:12.00.00,19.55,63.05
2019-10-29:15.00.00,19.5612,62.8825
2019-10-29:18.00.00,19.6,62.75
2019-10-29:21.00.00,19.5863,62.5288
2019-10-30:00.00.00,19.55,62.25
2019-10-30:03.00.00,19.4825,62.05
2019-10-30:06.00.00,19.3,61.8
2019-10-30:09.00.00,19.1712,61.6363
2019-10-30:12.00.00,18.95,61.4
2019-10-30:15.00.00,18.8576,61.0713
2019-10-30:18.00.00,18.7,60.8
2019-10-30:21.00.00,18.4862,60.535
2019-10-31:00.00.00,18.3,60.35
2019-10-31:03.00.00,17.9675,60.1137
2019-10-31:06.00.00,17.7,60
2019-10-31:09.00.00,17.5212,59.9213
2019-10-31:12.00.00,17.4,59.85
2019-10-31:15.00.00,17.2112,59.6575
2019-10-31:18.00.00,16.9,59.6
2019-10-31:21.00.00,16.7037,59.4976
2019-11-01:00.00.00,16.45,59.3
2019-11-01:03.00.00,16.225,58.9688
2019-11-01:06.00.00,15.95,58.6
2019-11-01:09.00.00,15.7188,58.2388
2019-11-01:12.00.00,15.35,57.6
2019-11-01:15.00.00,14.8961,57.4288
2019-11-01:18.00.00,14.4,57.1
2019-11-01:21.00.00,14.0023,56.6239
2019-11-02:00.00.00,13.75,56.05
2019-11-02:03.00.00,13.5578,55.2226
2019-11-02:06.00.00,13.25,54.3
2019-11-02:09.00.00,12.8549,53.7658
2019-11-02:12.00.00,12.6333,53
2019-11-02:15.00.00,12.08,52.26
2019-11-02:18.00.00,11.1,51.9
2019-11-02:21.00.00,10.3307,51.9255
2019-11-03:00.00.00,9.8,52.1
2019-11-03:03.00.00,9.45224,52.1873
2019-11-03:06.00.00,9.2,52.2
