time,lat,lon
2015-06-06:06.00.00,13.1,68.5
2015-06-06:09.00.00,13.45,68.5599
2015-06-06:12.00.00,13.8,68.6
2015-06-06:15.00.00,14.15,68.6075
2015-06-06:18.00.00,14.5,68.6
2015-06-06:21.00.00,14.865,68.6075
2015-06-07:00.00.00,15.2,68.6
2015-06-07:03.00.00,15.26,68.54
2015-06-07:06.00.00,15.4667,68.4
2015-06-07:09.00.00,15.816,68.3008
2015-06-07:12.00.00,16.2,68.25
2015-06-07:15.00.00,16.5318,68.2815
2015-06-07:18.00.00,16.85,68.25
2015-06-07:21.00.00,17.2432,68.0473
2015-06-08:00.00.00,17.7,67.55
2015-06-08:03.00.00,17.9635,67.1588
2015-06-08:06.00.00,18,67
2015-06-08:09.00.00,18.4599,66.6175
2015-06-08:12.00.00,18.7,66.4
2015-06-08:15.00.00,18.9462,66.1037
2015-06-08:18.00.00,19.3,65.7
2015-06-08:21.00.00,19.6574,65.365
2015-06-09:00.00.00,20.1,65.05
2015-06-09:03.00.00,20.2189,64.8
2015-06-09:06.00.00,20.45,64.35
2015-06-09:09.00.00,20.6361,63.7924
2015-06-09:12.00.00,20.95,63.25
2015-06-09:15.00.00,21.0863,62.8075
2015-06-09:18.00.00,21.1,62.6
2015-06-09:21.00.00,21.1576,62.2812
2015-06-10:00.00.00,21.15,62
2015-06-10:03.00.00,21.1287,61.7525
2015-06-10:06.00.00,21.1,61.55
2015-06-10:09.00.00,21.0287,61.2887
2015-06-10:12.00.00,21,61.25
2015-06-10:15.00.00,20.7829,61.083
2015-06-10:18.00.00,20.75,61.1
2015-06-10:21.00.00,20.8,61.15
2015-06-11:00.00.00,20.8,60.9
2015-06-11:03.00.00,20.8101,60.7659
2015-06-11:06.00.00,20.8,60.55
2015-06-11:09.00.00,20.8,60.3675
2015-06-11:12.00.00,20.8,60.15
2015-06-11:15.00.00,20.8,59.9425
2015-06-11:18.00.00,20.8,59.9
2015-06-11:21.00.00,20.8038,59.825
2015-06-12:00.00.00,20.8,59.75
2015-06-12:03.00.00,20.78,59.7062
2015-06-12:06.00.00,20.75,59.65
