time,lat,lon
2013-12-05:00.00.00,9,84.3
2013-12-05:03.00.00,9.0525,84.2025
2013-12-05:06.00.00,9.1,84.1
2013-12-05:09.00.00,9.1425,83.9925
2013-12-05:12.00.00,9.2,83.9
2013-12-05:15.00.00,9.29249,83.8425
2013-12-05:18.00.00,9.4,83.8
2013-12-05:21.00.00,9.5075,83.7425
2013-12-06:00.00.00,9.6,83.7
2013-12-06:03.00.00,9.726,83.748
2013-12-06:06.00.00,9.8,83.8
2013-12-06:09.00.00,9.88695,83.8529
2013-12-06:12.00.00,10,83.9
2013-12-06:15.00.00,10.1,83.9175
2013-12-06:18.00.00,10.2,83.95
2013-12-06:21.00.00,10.2835,84.0229
2013-12-07:00.00.00,10.35,84.1
2013-12-07:03.00.00,10.3925,84.1538
2013-12-07:06.00.00,10.55,84.25
2013-12-07:09.00.00,10.6887,84.3288
2013-12-07:12.00.00,10.9,84.4
2013-12-07:15.00.00,11.0175,84.4787
2013-12-07:18.00.00,11.25,84.5
2013-12-07:21.00.00,11.55,84.5463
2013-12-08:00.00.00,11.85,84.55
2013-12-08:03.00.00,12.0788,84.6
2013-12-08:06.00.00,12.35,84.7
2013-12-08:09.00.00,12.625,84.7113
2013-12-08:12.00.00,12.95,84.7
2013-12-08:15.00.00,13.175,84.675
2013-12-08:18.00.00,13.4,84.65
2013-12-08:21.00.00,13.6287,84.6425
2013-12-09:00.00.00,13.85,84.65
2013-12-09:03.00.00,14.0575,84.6675
2013-12-09:06.00.00,14.3,84.7
2013-12-09:09.00.00,14.4325,84.75
2013-12-09:12.00.00,14.6,84.8
2013-12-09:15.00.00,14.7037,84.8288
2013-12-09:18.00.00,14.8,84.9
2013-12-09:21.00.00,14.8425,84.9213
2013-12-10:00.00.00,15,85.05
2013-12-10:03.00.00,15.265,85.2687
2013-12-10:06.00.00,15.4,85.3
2013-12-10:09.00.00,15.5263,85.2263
2013-12-10:12.00.00,15.3,84.95
2013-12-10:15.00.00,15.0825,84.725
2013-12-10:18.00.00,14.9,84.55
2013-12-10:21.00.00,14.6612,84.3925
2013-12-11:00.00.00,14.4,84.1
2013-12-11:03.00.00,14.1037,83.8288
2013-12-11:06.00.00,13.8,83.6
2013-12-11:09.00.00,13.575,83.4325
2013-12-11:12.00.00,13.35,83.25
2013-12-11:15.00.00,13.1075,83.0102
2013-12-11:18.00.00,12.85,82.7
2013-12-11:21.00.00,12.6132,82.3514
2013-12-12:00.00.00,12.3,81.95
2013-12-12:03.00.00,11.8612,81.5176
2013-12-12:06.00.00,11.4,81.2
2013-12-12:09.00.00,10.8773,80.8413
2013-12-12:12.00.00,10.4,80.3
