time,lat,lon
2020-05-14:00.00.00,10.0318,86.4177
2020-05-14:03.00.00,10.6914,86.1814
2020-05-14:06.00.00,10.6501,86.6277
2020-05-14:09.00.00,10.9799,86.7327
2020-05-14:12.00.00,10.3615,85.5776
2020-05-14:15.00.00,9.53704,85.9451
2020-05-14:18.00.00,10.1554,85.7876
2020-05-14:21.00.00,10.6089,85.9189
2020-05-15:00.00.00,10.1142,85.6826
2020-05-15:03.00.00,10.2379,85.4988
2020-05-15:06.00.00,10.1142,86.7689
2020-05-15:09.00.00,10.0318,86.3914
2020-05-15:12.00.00,9.45457,85.8138
2020-05-15:15.00.00,10.1554,86.1026
2020-05-15:18.00.00,10.444,86.3914
2020-05-15:21.00.00,10.2315,85.8606
2020-05-16:00.00.00,10.4,87.1
2020-05-16:03.00.00,10.7,86.51
2020-05-16:06.00.00,10.9,86.3
2020-05-16:09.00.00,10.9,86.3
2020-05-16:12.00.00,10.9,86.3
2020-05-16:15.00.00,11.1,86.2
2020-05-16:18.00.00,11.1,86.1
2020-05-16:21.00.00,11.3,86.1
2020-05-17:00.00.00,11.4,86.1
2020-05-17:03.00.00,11.4,86.1
2020-05-17:06.00.00,11.51,86.1
2020-05-17:09.00.00,11.7,86.1
2020-05-17:12.00.00,12.1,86.1
2020-05-17:15.00.00,12.81,86.2
2020-05-17:18.00.00,12.51,86.1
2020-05-17:21.00.00,12.9,86.4
2020-05-18:00.00.00,13.2,86.3
2020-05-18:03.00.00,13.3,86.2
2020-05-18:06.00.00,13.4,86.2
2020-05-18:09.00.00,13.7,86.2
2020-05-18:12.00.00,14.1,86.3
2020-05-18:15.00.00,14.51,86.4
2020-05-18:18.00.00,14.9,86.51
2020-05-18:21.00.00,15.2,86.6
2020-05-19:00.00.00,15.6,86.7
2020-05-19:03.00.00,16.1,86.8
2020-05-19:06.00.00,16.51,86.9
2020-05-19:09.00.00,17.1,86.9
2020-05-19:12.00.00,17.4,87.1
2020-05-19:15.00.00,18.1,87.1
2020-05-19:18.00.00,18.4,87.2
2020-05-19:21.00.00,18.7,87.2
2020-05-20:00.00.00,19.1,87.51
2020-05-20:03.00.00,19.8,87.7
2020-05-20:06.00.00,20.6,88.1
