,mslp_2020,wind10
0,1004.566875,12.84219741821289
1,1002.108125,11.755289077758789
2,1001.76625,10.468782424926758
3,1003.603125,11.919233322143555
4,1003.39375,12.092264175415039
5,1002.135,11.097455978393555
6,1001.153125,12.027970314025879
7,1002.05625,12.654735565185547
8,1000.89125,12.257806777954102
9,998.8075,12.541275024414062
10,998.1625,12.925209045410156
11,999.253125,12.381693840026855
12,998.315625,12.829837799072266
13,997.049375,12.119784355163574
14,996.385625,13.669565200805664
15,997.55875,15.49142837524414
16,996.031875,14.327330589294434
17,993.974375,14.21419620513916
18,994.14125,15.469094276428223
19,995.95,13.824169158935547
20,993.38375,16.872337341308594
21,992.7125,15.608393669128418
22,993.059375,14.271891593933105
23,993.410625,13.409463882446289
24,994.458125,12.123736381530762
25,992.5625,9.591513633728027
26,992.015625,8.379044532775879
27,994.130625,8.202300071716309
28,995.65125,8.210618019104004
29,995.04125,8.225443840026855
30,996.069375,8.0327730178833
31,999.02,7.6491522789001465
32,1000.3325,9.318950653076172
33,998.359375,8.274950981140137
34,997.98,8.310635566711426
35,1000.6175,10.284313201904297
36,1000.555,8.8009033203125
37,998.930625,9.545647621154785
38,998.51,9.80274486541748
39,999.22125,11.609859466552734
40,999.133125,11.290905952453613
41,997.288125,13.13576889038086
42,997.53875,12.763931274414062
43,998.96875,12.25080394744873
44,999.239375,10.832479476928711
45,997.449375,11.24102783203125
46,996.791875,12.208212852478027
47,997.761875,13.23244857788086
48,997.838125,15.550741195678711
49,995.635625,17.22270393371582
50,994.7675,15.95751953125
51,996.488125,16.504613876342773
52,996.580625,16.848909378051758
53,994.201875,16.96782684326172
54,993.869375,18.44227409362793
55,994.491875,19.887102127075195
56,994.733125,19.854415893554688
57,992.4,20.054344177246094
58,990.26375,20.46257972717285
59,990.89,20.81782341003418
60,991.988125,19.12528419494629
61,991.145625,19.592342376708984
62,991.0175,19.981107711791992
63,992.020625,19.029821395874023
64,993.1125,19.837657928466797
65,992.868125,18.428421020507812
66,993.43625,18.491056442260742
67,994.940625,19.175256729125977
68,996.05625,18.697351455688477
69,997.44,15.930648803710938
70,997.771875,16.819740295410156
71,998.465,18.342552185058594
72,1000.243125,17.920848846435547
73,998.99125,17.91864013671875
74,998.9825,17.21435546875
75,1000.31375,16.130666732788086
76,1001.421875,16.466102600097656
77,1001.16375,18.302255630493164
78,1003.364375,14.402316093444824
79,1004.1775,16.515623092651367
80,1004.61125,14.31441879272461
